month_label,year,month,date_cours,masi_mom_3m,breadth_ma50,is_bull,is_neutral,is_bear,regime,hmm_regime,masi_ret_1m
2015-01,2015,1,2015-01-30,-0.003674356500297127,0.5471698113207547,0,1,0,neutral,neutral,0.06262928659785238
2015-02,2015,2,2015-02-27,0.04860811772607443,0.6415094339622641,1,0,0,bull,neutral,0.02328174828321572
2015-03,2015,3,2015-03-31,0.06570782226096328,0.4444444444444444,0,1,0,neutral,neutral,-0.018239871517886308
2015-04,2015,4,2015-04-30,-0.026937576499387994,0.3018867924528302,0,0,1,bear,bear,-0.03236674521412297
2015-05,2015,5,2015-05-29,-0.07240147477410364,0.36538461538461536,0,0,1,bear,bear,-0.02274236721878964
2015-06,2015,6,2015-06-30,-0.05930014437100417,0.3888888888888889,0,0,1,bear,bear,-0.013705541940399968
2015-07,2015,7,2015-07-31,-0.019864350836234834,0.5185185185185185,0,1,0,neutral,bear,0.016881910151070656
2015-08,2015,8,2015-08-31,-0.02528133832563273,0.4444444444444444,0,1,0,neutral,bear,-0.04048254620123193
2015-09,2015,9,2015-09-30,-0.048869826560641316,0.3333333333333333,0,0,1,bear,bear,-0.024760050076505946
2015-10,2015,10,2015-10-30,-0.06296880964909579,0.5555555555555556,0,1,0,neutral,bear,-0.003565825131935485
2015-11,2015,11,2015-11-30,-0.017238211549061355,0.5,0,1,0,neutral,bear,0.001255257768284057
2015-12,2015,12,2015-12-31,-0.025131610563795426,0.38181818181818183,0,0,1,bear,bear,-0.018420358069766385
2016-01,2016,1,2016-01-29,-0.013272422854735288,0.34545454545454546,0,1,0,neutral,bear,-0.0029913620220263226
2016-02,2016,2,2016-02-29,-0.022011439361503626,0.32727272727272727,0,0,1,bear,bear,0.0010562984605011483
2016-03,2016,3,2016-03-31,0.04507209518581168,0.7454545454545455,1,0,0,bull,neutral,0.047101611961744005
2016-04,2016,4,2016-04-29,0.11606233847599667,0.6666666666666666,1,0,0,bull,neutral,0.06943610634648367
2016-05,2016,5,2016-05-31,0.07131956567087161,0.6545454545454545,1,0,0,bull,neutral,-0.021833054322002554
2016-06,2016,6,2016-06-30,0.00716223088659107,0.3333333333333333,0,1,0,neutral,bear,-0.02581498068231891
2016-07,2016,7,2016-07-29,0.014870499311931518,0.38181818181818183,0,1,0,neutral,bear,0.03957500525983604
2016-08,2016,8,2016-08-31,0.010545301755500613,0.4,0,1,0,neutral,bear,-0.002165509704316948
2016-09,2016,9,2016-09-30,0.05175430325507335,0.45454545454545453,0,1,0,neutral,neutral,0.018081697225377447
2016-10,2016,10,2016-10-31,0.06905344963672055,0.6,1,0,0,bull,neutral,0.052345329760635995
2016-11,2016,11,2016-11-30,0.07513070809030187,0.7454545454545455,1,0,0,bull,neutral,0.010213354031387789
2016-12,2016,12,2016-12-30,0.1635589663648902,0.8545454545454545,1,0,0,bull,bull,0.09104708362614211
2017-01,2017,1,2017-01-31,0.1666237371569217,0.8571428571428571,1,0,0,bull,bull,0.050213840366877927
2017-02,2017,2,2017-02-28,0.11191392957365665,0.5454545454545454,0,1,0,neutral,neutral,-0.024728307533792848
2017-03,2017,3,2017-03-31,-0.015996956254809902,0.45454545454545453,0,1,0,neutral,bear,-0.04584748249696047
2017-04,2017,4,2017-04-28,-0.048328140715845236,0.6,0,1,0,neutral,bear,0.022689526085924783
2017-05,2017,5,2017-05-31,-0.03252222742161914,0.6727272727272727,0,1,0,neutral,neutral,-0.005146976688234051
2017-06,2017,6,2017-06-30,0.050497455893409704,0.6363636363636364,1,0,0,bull,neutral,0.03781309379858344
2017-07,2017,7,2017-07-31,0.04841079576212204,0.6727272727272727,1,0,0,bull,neutral,0.015438006624610923
