cell,configuration,mois,date_rebalance,portfolio,ticker,weight,recommendation,predicted_return,conviction_score,score_opt,liquidity_vmq_20j,L_sigmoid,held,sell_mode,eligible_vmq,n_candidates,n_positions,expected_alpha_raw,cvar_95,liquidity_L_weighted,status,portfolio_ret_month,turnover,liquidite_ponderee,n_titres,ret_holding,contribution,eligible_vmq_500k,liquidity_role,min_vmq_threshold,protocol_window
1,C1 Ridge,2023-01,2023-01-31,P_selected,AFI,0.19451043453244735,BUY,0.3824780109494257,0.3824780109494257,0.3824780109494257,11583.6,0.02156964936465813,1,exclude,0,56,42,0.263433,0.008251,0.2532,ok,0.019905689988395148,0.999629340895459,0.13236916657734524,42,0.00014705882352950006,2.860447566655355e-05,0,none,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,MAB,0.1147058294673684,NEUTRAL,0.02712366509308689,0.02712366509308689,0.013561832546543445,16659.63,0.023351948616152435,1,exclude,0,56,42,0.263433,0.008251,0.2532,ok,0.019905689988395148,0.999629340895459,0.13236916657734524,42,-0.0034802784222738303,-0.00039920822320430396,0,none,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,CSR,0.09674790865263541,BUY,0.8647683893090082,0.8647683893090082,0.8647683893090082,2767953.9,1.0,1,exclude,1,56,42,0.263433,0.008251,0.2532,ok,0.019905689988395148,0.999629340895459,0.13236916657734524,42,0.04651162790697683,0.004499902728029562,1,none,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,BAL,0.0748630008458621,BUY,0.13424328481003933,0.13424328481003933,0.13424328481003933,15.9225,0.017990710265729647,1,exclude,0,56,42,0.263433,0.008251,0.2532,ok,0.019905689988395148,0.999629340895459,0.13236916657734524,42,0.0,0.0,0,none,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,SRM,0.05599523120516585,BUY,0.12357679244727558,0.12357679244727558,0.12357679244727558,29.95,0.01799467588621466,1,exclude,0,56,42,0.263433,0.008251,0.2532,ok,0.019905689988395148,0.999629340895459,0.13236916657734524,42,-0.03993288590604016,-0.0022360511789982274,0,none,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,M2M,0.04456600213533186,BUY,0.34597465753636863,0.34597465753636863,0.34597465753636863,63022.17,0.04780474186817434,1,exclude,0,56,42,0.263433,0.008251,0.2532,ok,0.019905689988395148,0.999629340895459,0.13236916657734524,42,0.0,0.0,0,none,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,AFM,0.04148348786592089,BUY,0.272817853084736,0.272817853084736,0.272817853084736,6667.95,0.01997076791029023,1,exclude,0,56,42,0.263433,0.008251,0.2532,ok,0.019905689988395148,0.999629340895459,0.13236916657734524,42,0.007936507936507908,0.00032923403068191065,0,none,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,CRS,0.04058727597551344,NEUTRAL,0.08589425057820502,0.08589425057820502,0.04294712528910251,2268.5005,0.01863863841475671,1,exclude,0,56,42,0.263433,0.008251,0.2532,ok,0.019905689988395148,0.999629340895459,0.13236916657734524,42,0.12563025210084033,0.005098989712890134,0,none,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,S2M,0.03991119875143027,BUY,0.18244036361037233,0.18244036361037233,0.18244036361037233,10.0,0.01798903621304637,1,exclude,0,56,42,0.263433,0.008251,0.2532,ok,0.019905689988395148,0.999629340895459,0.13236916657734524,42,-0.025000000000000022,-0.0009977799687857576,0,none,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,CTM,0.03644966052550386,BUY,0.1129254638936418,0.1129254638936418,0.1129254638936418,6032.49,0.019772741188709794,1,exclude,0,56,42,0.263433,0.008251,0.2532,ok,0.019905689988395148,0.999629340895459,0.13236916657734524,42,0.040000000000000036,0.0014579864210201557,0,none,500000.0,2023-01_2025-06
