date_cours,net_return
2018-08-02,-0.00018455762066634353
2018-08-03,-0.006739009887447227
2018-08-06,0.0014478541361118533
2018-08-07,0.0015373712497254136
2018-08-08,0.006809501080893496
2018-08-09,-0.007241561523499137
2018-08-10,0.0029986621948316972
2018-08-13,0.0018292616021841556
2018-08-15,-0.0027253920066135457
2018-08-16,-0.0038062815253775513
2018-08-17,0.006739196694317739
2018-08-24,0.006513003914895102
2018-08-27,-0.004296032087125634
2018-08-28,-0.007537548899676546
2018-08-29,-0.005148893432435002
2018-08-30,0.007492620852854272
2018-08-31,0.004866629552889182
2018-09-04,-0.000639809664389381
2018-09-05,-0.0007526807438882008
2018-09-06,-0.0036392998954962717
2018-09-07,-0.01699802243935601
2018-09-10,0.003800176135774052
2018-09-12,0.0008396743897362995
2018-09-13,0.0037972952620224593
2018-09-14,-0.006473110357001653
2018-09-17,0.0020171475095295444
2018-09-18,-0.004105868293138697
2018-09-19,-0.014022628078329913
2018-09-20,-0.00471248349849113
2018-09-21,0.011872378788807593
2018-09-24,0.00018960221220386654
2018-09-25,0.004201238287851386
2018-09-26,0.003218198859500189
2018-09-27,0.0035914363964704584
2018-09-28,0.006737867909928298
2018-10-01,-0.003897235490618543
2018-10-02,-0.0027591873325675796
2018-10-03,0.0020083305504220526
2018-10-04,0.0007414992980292873
2018-10-05,0.0021411792795951227
2018-10-08,0.0051745216970123945
2018-10-09,-0.0027202550881405825
2018-10-10,0.0012278572831113147
2018-10-11,-0.0010405691104065729
2018-10-12,0.0025043638690727416
2018-10-15,-0.0010334075739027457
2018-10-16,-0.00039440609190754525
2018-10-17,-0.002678996746697861
2018-10-18,-0.003310391733348221
2018-10-19,-0.0017136771129393324
2018-10-22,0.0039064566730417005
2018-10-23,0.0010817247245808205
2018-10-24,-0.0023945907846920334
2018-10-25,-0.002918008399846211
2018-10-26,0.0071636129067969255
2018-10-29,-0.01652089635395264
2018-10-30,-0.006173410214560187
2018-10-31,0.0010258806883187278
2018-11-02,-0.014467666558937496
2018-11-05,0.0054984664502316025
2018-11-07,0.01842466049714763
2018-11-08,0.0005711811059482399
2018-11-09,-0.013664602163856244
2018-11-12,0.012811260763300887
2018-11-13,0.0005443276584280712
2018-11-14,-0.013017640872775862
2018-11-15,0.011625978210326533
2018-11-16,-0.0034294031475730733
2018-11-19,-0.00037243758096599237
2018-11-22,0.00963794083870507
2018-11-23,0.0015722666224787607
2018-11-26,-0.009949426063818677
2018-11-27,0.007164757882553536
2018-11-28,0.0050318920480553735
2018-11-29,-0.00022290747267231096
2018-11-30,-0.015258037573578858
2018-12-04,-0.008449938969904446
2018-12-05,0.010763121673874393
2018-12-06,-0.003530746327742502
2018-12-07,-0.0009558784889515199
2018-12-10,0.002420503065715821
2018-12-11,0.006484366316929325
2018-12-12,0.0010165935244996645
2018-12-13,-0.004617551334005004
2018-12-14,0.0007297280052397106
2018-12-17,-0.0034283692439116744
2018-12-18,0.0021827046513268754
2018-12-19,0.0009217747009987145
2018-12-20,-0.0006983948683687446
2018-12-21,-0.005691453306862752
2018-12-24,0.003267604849023007
2018-12-25,-0.003347438882973177
2018-12-26,0.005092980850567403
2018-12-27,0.009108759050360852
2018-12-28,-0.017272943486094924
2018-12-31,0.029016463917508038
2019-01-03,-0.003266171483269118
2019-01-04,-0.004131406723152542
2019-01-07,0.003180672317177897
2019-01-08,-0.0017601344845635549
2019-01-09,-0.0002452469974425605
2019-01-10,-0.0013029990868792104
2019-01-14,-0.009539064828104082
2019-01-15,0.007023366675950957
2019-01-16,0.0020770971220506252
2019-01-17,0.00919745787564268
2019-01-18,-0.003900592056534639
2019-01-21,0.001968599756868617
2019-01-22,0.001706889973309854
2019-01-23,0.00523991849056008
2019-01-24,0.0015670526373912255
2019-01-25,-0.003516534508047805
2019-01-28,0.009192064484596672
2019-01-29,0.003387309698104013
2019-01-30,0.0057026447692792425
2019-01-31,-0.012965424012926306
2019-02-04,0.004966805368024819
2019-02-05,-0.0040603121646565505
2019-02-06,-0.0006167439975105096
2019-02-07,0.0012307009253678077
2019-02-08,0.002146895293397052
2019-02-11,-0.006322271928775043
2019-02-12,-0.0007198281463746467
2019-02-13,0.0008333632974458443
2019-02-14,-0.007232220508538718
2019-02-15,0.003872877194948529
2019-02-18,0.001747061300733494
2019-02-19,0.00470765228984077
2019-02-20,-0.0036437673895200486
2019-02-21,-0.0035510806681362896
2019-02-22,-0.006917606855851335
2019-02-25,0.008363730582757016
2019-02-26,-0.001773107057331033
2019-02-27,-0.0025216882186383143
2019-02-28,-0.0026983252646475444
2019-03-04,-0.002559587999264439
2019-03-05,0.0015725067392329357
2019-03-06,-0.012121997565194715
2019-03-07,-0.005907092176111651
2019-03-08,-0.008735236355585691
2019-03-11,-0.0016231513749255533
2019-03-12,0.0026857868217991646
2019-03-13,0.0012362102001239354
2019-03-14,-0.005232540797895021
2019-03-15,-0.004136498703287509
2019-03-18,-0.0015555477700675145
2019-03-19,0.005749798845326777
2019-03-20,0.01347321638213189
2019-03-21,-0.006308991476366143
2019-03-22,-0.012297214863293804
2019-03-25,0.012681438237460404
2019-03-26,0.004907435398994787
2019-03-27,0.0020477109785804345
2019-03-28,-0.00022924943699496165
2019-03-29,-0.006993656723674106
2019-04-01,-0.00252462153071555
2019-04-02,-0.006493912025848789
2019-04-03,-0.003927080569761313
2019-04-04,0.0022727233340839046
2019-04-05,0.0013103004729015538
2019-04-08,-0.0046969508532651635
2019-04-09,0.00018003225893132606
2019-04-10,-0.002294876713404296
2019-04-11,0.005769760636390821
2019-04-12,0.0011276725630348025
2019-04-15,-0.0007219293455836981
2019-04-16,0.0020123909927319493
2019-04-17,-0.004176530653699402
2019-04-18,0.007363014358500581
2019-04-19,0.00351295397870663
2019-04-22,-0.006950714444822633
2019-04-23,-0.00723731880929746
2019-04-24,-0.00521822879793583
2019-04-25,-0.0084767198885435
2019-04-26,-0.006317008956792493
2019-04-29,0.0077174771850191965
2019-04-30,-0.0015869987724357252
2019-05-03,-0.006800964009479297
2019-05-06,0.00035158597016197985
2019-05-07,0.0013062466657277013
2019-05-08,0.0020709700190692884
2019-05-09,-0.002439329837797489
2019-05-10,0.002491345402100224
2019-05-13,-0.00149809312773152
2019-05-14,0.00280475015983098
2019-05-15,0.004086551872701268
2019-05-16,0.0032833807879499104
2019-05-17,-2.7220373726624887e-05
2019-05-20,-0.0022311933506467445
2019-05-21,-0.0065953297034161305
2019-05-22,3.033639560767214e-05
2019-05-23,-0.002107945688686431
2019-05-24,-0.013430178055956492
2019-05-27,0.0006153686722608801
2019-05-28,-0.004411515718333415
2019-05-29,-0.0028445187932407477
2019-05-30,-0.008680928506717233
2019-05-31,-0.001451369904028598
2019-06-04,-0.0025768821781852946
2019-06-10,0.008655709984956456
2019-06-11,-6.594539344478884e-05
2019-06-12,-0.011446537736524215
2019-06-13,0.007531194304710411
2019-06-14,0.007370211025428534
2019-06-17,-0.002020382146718151
2019-06-18,0.011442444238349876
2019-06-19,-0.009160498807064918
2019-06-20,0.005814153304763381
2019-06-21,0.004382384028851385
2019-06-24,-0.013551572795763061
2019-06-25,0.0055775276462641235
2019-06-26,0.006575230067421715
2019-06-27,-0.0011003953796029848
2019-06-28,-0.006197802885360465
2019-07-01,-0.005187377308258436
2019-07-02,-0.009696650819247157
2019-07-03,-0.0067020525939207164
2019-07-04,0.00033614121645989453
2019-07-05,0.007713542849741752
2019-07-08,0.001178187991977214
2019-07-09,-0.0017149824700947167
2019-07-10,0.0022526753655217543
2019-07-11,-0.003351588133759572
2019-07-12,0.0011382133139749679
2019-07-15,0.002631554893185601
2019-07-16,0.0004078641563473405
2019-07-17,0.0007866855727908495
2019-07-18,0.01109374214112886
2019-07-19,-0.0020046373943203946
2019-07-22,-0.0002027971593043429
2019-07-23,0.0017590501276853637
2019-07-24,0.003404100477759572
2019-07-25,0.003143452419384459
2019-07-26,0.004716418182186496
2019-07-29,-0.0023192659820356477
2019-07-31,0.0012118414268175825
2019-08-02,-0.004292834559242822
2019-08-05,0.0006394007494530131
2019-08-06,0.00039860501340793786
2019-08-07,-0.002576294460312616
2019-08-08,-0.002596210298735252
2019-08-09,0.0011321478611246657
2019-08-15,-0.0012460319249514313
2019-08-16,0.009251696131185207
2019-08-19,-0.0014372377102747516
2019-08-22,0.0005632569711807242
2019-08-23,0.002401028717432542
2019-08-26,0.004663043677436023
2019-08-27,0.0017623389823645396
2019-08-28,-0.006849593154286864
2019-08-29,0.005687190771691917
2019-08-30,0.00327474577013763
2019-09-03,-0.0071414121104316965
2019-09-04,0.004100271496287031
2019-09-05,0.0017929929255372835
2019-09-06,-0.0025356050794113657
2019-09-09,0.002403242482322174
2019-09-10,-0.0056382898234367965
2019-09-11,-0.0045417139906345555
2019-09-12,0.005115079627490656
2019-09-13,-0.00017510437438262303
2019-09-16,7.085768277836091e-05
2019-09-17,-0.003702273154596134
2019-09-18,0.0001830130263863807
2019-09-19,0.002131817213959478
2019-09-20,-0.0021316975871392987
2019-09-23,0.00507394050726531
2019-09-24,0.004466052217536429
2019-09-25,0.0008779123523780845
2019-09-26,0.0023524328470886564
2019-09-27,0.006167210837249443
2019-09-30,0.007528787914285188
2019-10-02,0.0001597044888385999
2019-10-03,-0.0022907286552389453
2019-10-04,0.001577389454436675
2019-10-07,-0.000814830888229943
2019-10-08,-0.003988834476783003
2019-10-09,-0.0017878010251345183
2019-10-10,-0.0005570574742668982
2019-10-11,0.00148434659805202
2019-10-14,-0.0003591592187677986
2019-10-15,0.003588055300431738
2019-10-16,-0.0028040349163227754
2019-10-17,0.007776159132666895
2019-10-18,0.004744397667178544
2019-10-21,-0.0048714891125340685
2019-10-22,0.0008410698262673487
2019-10-23,0.0007242202492951662
2019-10-24,0.0025962199326062313
2019-10-25,0.002589915704339694
2019-10-28,-0.0008965591482539642
2019-10-29,-0.0069804522534705786
2019-10-30,0.003748971712410752
2019-10-31,-0.003510211638545355
2019-11-04,-0.00014520591378995064
2019-11-05,-0.004024180443158787
2019-11-07,-0.0011068513106764195
2019-11-08,0.0035537665837195773
2019-11-12,-0.013445490475521578
2019-11-13,-0.000312355193834259
2019-11-14,-0.0003692709568818375
2019-11-15,0.006885721693134815
2019-11-19,-0.0013525621701538334
2019-11-20,-0.00038264677284608774
2019-11-21,0.009096070308247934
2019-11-22,0.004459695301736256
2019-11-25,-0.0017185374517269898
2019-11-26,0.002073501157909301
2019-11-27,0.002350432580844677
2019-11-28,0.0005823083808479512
2019-11-29,0.002184357438623771
