date,ret_net,ret_gross,wealth100_net,drawdown_net
2018-08-02,0.0015204254380430226,0.004520425438043023,100.1520425438043,0.0
2018-08-03,-0.0025190962822217496,-0.0025190962822217496,99.89974990577528,-0.0025190962822218
2018-08-06,-2.8332276800682038e-05,-2.8332276800682038e-05,99.89691951840864,-0.0025473571872892675
2018-08-07,0.003306359543151085,0.003306359543151085,100.22721465158972,0.0
2018-08-08,0.005357838573915603,0.005357838573915603,100.76421588840614,0.0
2018-08-09,0.0029301763109925525,0.0029301763109925525,101.05947280679808,0.0
2018-08-10,0.0038819343499972483,0.0038819343499972483,101.45177904567939,0.0
2018-08-13,-0.011010295474584302,-0.011010295474584302,100.33476498196421,-0.01101029547458443
2018-08-15,0.00042170280497495327,0.00042170280497495327,100.37707643379359,-0.01059323574209492
2018-08-16,-0.001326306612190501,-0.001326306612190501,100.2439456536071,-0.011905492475676072
2018-08-17,0.012410277008905036,0.012410277008905036,101.48800078763398,0.0
2018-08-24,0.0014473264169295405,0.0014473264169295405,101.63488705217527,0.0
2018-08-27,-0.020028031824521397,-0.020028031824521397,99.59934029981267,-0.020028031824521397
2018-08-28,-0.009668016266733987,-0.009668016266733987,98.63641225763811,-0.029502416753785177
2018-08-29,-0.010918939130152287,-0.010918939130152287,97.55940727618034,-0.040099220791210644
2018-08-30,0.0003150540283259572,0.0003150540283259572,97.5901437604438,-0.03979680018392773
2018-08-31,0.009024909735559538,0.009024909735559538,98.47088599896206,-0.031131052977792284
2018-09-04,-0.011324125860017277,-0.006400947931055773,97.3557892923624,-0.04210264687573417
2018-09-05,-0.000645265697417274,-0.000645265697417274,97.29296894108705,-0.04272074517935209
2018-09-06,-0.0019071820210977938,-0.0019071820210977938,97.1074135399434,-0.044546450963316
2018-09-07,-0.0224449998459879,-0.0224449998459879,94.92783765799507,-0.06599160572429297
2018-09-10,0.011535482368599958,0.011535482368599958,96.0228760555882,-0.05521736836000113
2018-09-12,0.010248356410516631,0.010248356410516631,97.00695271296874,-0.04553489922048848
2018-09-13,0.008321104972934631,0.008321104972934631,97.81415774959785,-0.037592694923899606
2018-09-14,-0.00625885065401741,-0.00625885065401741,97.20195354439461,-0.043616258514706296
2018-09-17,-0.0010671838815348605,-0.0010671838815348605,97.09822118631834,-0.04463689582818131
2018-09-18,-0.00776435953265962,-0.00776435953265962,96.34431568704606,-0.05205467845320921
2018-09-19,0.007598398227700698,0.007598398227700698,97.07637816461155,-0.04485181240201075
2018-09-20,0.0008142979281472424,0.0008142979281472424,97.15542725822303,-0.04407403721177616
2018-09-21,-0.006460959376348279,-0.006460959376348279,96.52770998951588,-0.050250236024147577
2018-09-24,0.009423249273864348,0.009423249273864348,97.43731466258238,-0.041300507250409235
2018-09-25,0.005295405959630654,0.005295405959630654,97.95328479933703,-0.036223804243008195
2018-09-26,-0.012725699390182121,-0.012725699390182121,96.70676074269977,-0.04848853038962497
2018-09-27,0.01688088812955313,0.01688088812955313,98.33925675216874,-0.03242617171714557
2018-09-28,-0.009829910543621149,-0.009829910543621149,97.37259065536873,-0.041937335893515115
