date,ret_net,ret_gross,wealth100_net,drawdown_net
2023-02-02,0.004751690243797473,0.007751690243797473,100.47516902437974,0.0
2023-02-03,0.01558258116101507,0.01558258116101507,102.04083150036884,0.0
2023-02-06,0.001145889945176414,0.001145889945176414,102.15775906318257,0.0
2023-02-07,0.001026349951430946,0.001026349951430946,102.26260867423535,0.0
2023-02-08,0.004089534518742563,0.004089534518742563,102.68081514238531,0.0
2023-02-09,0.014634106954844633,0.014634106954844633,104.18345717338961,0.0
2023-02-10,-0.001879577108352044,-0.001879577108352044,103.98763633221752,-0.0018795771083521817
2023-02-13,-0.002354871683259307,-0.002354871683259307,103.74275879200971,-0.004230022628702534
2023-02-14,-0.005972133868696269,-0.005972133868696269,103.12319314859597,-0.01017689423599255
2023-02-15,0.00021218200871214943,0.00021218200871214943,103.14507403486306,-0.009966871581141734
2023-02-16,-0.0023261196731435073,-0.0023261196731435073,102.90514624896272,-0.012269807118220677
2023-02-17,0.006156897034994625,0.006156897034994625,103.53872263878866,-0.006188454022292178
2023-02-20,-0.0011322391823161808,-0.0011322391823161808,103.42149204013005,-0.007313686394486374
2023-02-21,-0.007731725786710389,-0.007731725786710389,102.62186542322331,-0.014988864763504472
2023-02-22,0.0013525237682321305,0.0013525237682321305,102.76066393534855,-0.013656613791123817
2023-02-23,0.0024907737376107385,0.0024907737376107385,103.01661749833816,-0.011199855588488572
2023-02-24,0.012418343455940867,0.012418343455940867,104.29591323610181,0.0
2023-02-27,-0.0008029116296455726,-0.0008029116296455726,104.21217283444004,-0.0008029116296455197
2023-02-28,-0.0012033268711521224,-0.0012033268711521224,104.08677152656722,-0.0020052723356583924
2023-03-02,-0.006930530577282242,-0.0027146156284871856,103.36539497381176,-0.00892190531170256
2023-03-03,-0.001777430729006068,-0.001777430729006068,103.18167014446946,-0.010683477972046385
2023-03-06,0.0031128146957446526,0.0031128146957446526,103.50285556362664,-0.007603918963534739
2023-03-07,-0.0013014474201880966,-0.0013014474201880966,103.36815203927125,-0.008895470283004525
2023-03-08,-0.0033816059274586092,-0.0033816059274586092,103.01860168362482,-0.012246995235426494
2023-03-09,-0.005042569498944881,-0.005042569498944881,102.49912322495103,-0.01722780840974336
2023-03-10,-0.003929856078396315,-0.003929856078396315,102.09631642251516,-0.021089961680543334
2023-03-13,-0.000449980566982902,-0.000449980566982902,102.05037506416448,-0.02153045217461158
2023-03-14,-0.0040078887368894065,-0.0040078887368894065,101.64136851534948,-0.025452049254730214
2023-03-15,-0.0024186810852244354,-0.0024186810852244354,101.39553045984509,-0.02780916994984195
2023-03-16,0.002384014776288821,0.002384014776288821,101.637258902711,-0.025491452645629797
2023-03-17,-0.0005546589308210715,-0.0005546589308210715,101.58088488935644,-0.026031972514581447
2023-03-20,0.0038636323269547117,0.0038636323269547117,101.97335608001563,-0.022268918158168338
2023-03-21,-0.0038552327072534226,-0.0038552327072534226,101.58022506238756,-0.026038299003783294
