date_cours,net_return
2018-08-02,-0.002446429996756382
2018-08-03,-0.007737208016095861
2018-08-06,-0.006720655668382781
2018-08-07,0.002292993398535572
2018-08-08,0.013702578357892176
2018-08-09,-0.010156601575981727
2018-08-10,0.006450364611228246
2018-08-13,0.0019423926366015083
2018-08-15,-0.006887192317922802
2018-08-16,-0.0017055344417511455
2018-08-17,0.005707825329724266
2018-08-24,0.007010370914510077
2018-08-27,-0.0032944761588763485
2018-08-28,-0.006648866090520414
2018-08-29,-0.0034906481050689117
2018-08-30,0.006566101186648588
2018-08-31,0.0027148537043649155
2018-09-04,-0.0005051216710301163
2018-09-05,0.00014041392252587967
2018-09-06,-0.004848804668736547
2018-09-07,-0.018034925211766344
2018-09-10,0.008570978360194534
2018-09-12,-0.0038174163323874827
2018-09-13,0.0062358062038647315
2018-09-14,-0.008681305987467884
2018-09-17,-0.0016065639768380745
2018-09-18,-0.0017526472331320644
2018-09-19,-0.011530358974832068
2018-09-20,0.00034171899887690905
2018-09-21,0.004291749530722964
2018-09-24,0.00489880680872908
2018-09-25,0.004688195453513195
2018-09-26,-0.000555356447699077
2018-09-27,0.005560410695765122
2018-09-28,0.0005235122296151258
2018-10-01,-0.002294393615222734
2018-10-02,-0.012184233897104184
2018-10-03,0.0012602957796828242
2018-10-04,0.0006285572457599487
2018-10-05,0.006318102954904078
2018-10-08,0.012362882438095569
2018-10-09,-0.008709083536468572
2018-10-10,0.008070965980979899
2018-10-11,0.0001951134609660747
2018-10-12,0.0023540887571875543
2018-10-15,-0.00042681303589615173
2018-10-16,-0.0014294854143714663
2018-10-17,-0.004177509490477006
2018-10-18,-0.000784392080126892
2018-10-19,-0.001977135007762682
2018-10-22,0.003430802360428929
2018-10-23,0.0024921869990490258
2018-10-24,-0.0014375248331960047
2018-10-25,0.0009604923760825813
2018-10-26,0.0029104676574116103
2018-10-29,-0.008965132780942622
2018-10-30,-0.008858013780774693
2018-10-31,0.005168392667966199
2018-11-02,-0.009669592781918968
2018-11-05,0.00700693497651061
2018-11-07,0.02005411571536345
2018-11-08,7.78090584787716e-06
2018-11-09,-0.014820800484968612
2018-11-12,0.009960633742243773
2018-11-13,0.001225237665608953
2018-11-14,-0.011357103656055028
2018-11-15,0.012631680772170379
2018-11-16,-0.0037747599892590518
2018-11-19,-0.00096770638346654
2018-11-22,0.010884538349635348
2018-11-23,-0.003027181390629098
2018-11-26,-0.011322576521620973
2018-11-27,0.007202201584241984
2018-11-28,0.010212744782078743
2018-11-29,0.0008718242664958683
2018-11-30,-0.016543503424692758
2018-12-04,-0.004115404360820943
2018-12-05,0.008978922450391384
2018-12-06,0.0034391634803948297
2018-12-07,-0.001403529605368017
