month,decision_date,net_return,gross_return,turnover,transaction_cost,n_positions,liquidity_L,n_days
2018-07,2018-07-31,-0.0003366335821313182,0.0026629867953027464,1.0000000000000002,0.003000000000000001,29,0.5084044122913538,17
2018-08,2018-08-31,-0.013297129742448344,-0.010225402412088469,1.035162192031376,0.0031054865760941287,29,0.7262070221628114,18
2018-09,2018-09-28,-0.01251151919389637,-0.010282836409989837,0.7498080477069166,0.00224942414312075,25,0.7520831046106602,23
2018-10,2018-10-31,0.010465453277467951,0.013747293187830412,1.0761831939326798,0.0032285495817980397,19,0.301821923882464,18
2018-11,2018-11-30,0.024731180411963205,0.0279384890618799,1.0460147783666593,0.003138044335099978,23,0.5697800954665665,20
2018-12,2018-12-31,0.002294362827510499,0.006447931126151163,1.3804058997388364,0.004141217699216509,22,0.7995873964695107,20
2019-01,2019-01-31,-0.012639901445493651,-0.00957774690408153,1.0387776641555002,0.0031163329924665,26,0.671433905864405,19
2019-02,2019-02-28,-0.011258447205602096,-0.009098383733405213,0.7265034767486015,0.0021795104302458046,26,0.8214604080778231,20
2019-03,2019-03-29,0.0006138813557923228,0.004791065986891496,1.39016392012821,0.00417049176038463,29,0.4710302160482469,22
2019-04,2019-04-30,-0.019373135898502425,-0.016101863955954032,1.1053753937577497,0.0033161261812732494,32,0.7256071411939862,21
2019-05,2019-05-31,0.012892115334714127,0.015364833229916774,0.8170027452919251,0.0024510082358757757,25,0.5590593554405235,16
2019-06,2019-06-28,-0.005914571715087691,-0.002392227481395559,1.1755888905312966,0.0035267666715938896,23,0.7202089464521839,22
2019-07,2019-07-31,0.008446332671189882,0.012494722688845439,1.3338082102832725,0.004001424630849818,29,0.660214111335719,16
2019-08,2019-08-30,0.028310438898193402,0.03081761849713094,0.8075122298020612,0.0024225366894061835,22,0.5232768016558726,20
2019-09,2019-09-30,-0.0005571367964498641,0.0030409482600615156,1.1993849517410853,0.003598154855223255,28,0.6508643222612962,22
2019-10,2019-10-31,0.032586577839230246,0.03472705672219201,0.6927660305786165,0.002078298091735849,31,0.7625432435271198,17
2019-11,2019-11-29,0.006085438432287704,0.007986274623828837,0.6294015822461226,0.0018882047467383676,30,0.8147335048404588,21
2019-12,2019-12-31,0.024219249443838686,0.02670798328163304,0.8101477770791518,0.0024304433312374554,33,0.9186230496432116,21
2020-01,2020-01-31,-0.007327796662150887,-0.004973633868160077,0.7861282843522406,0.002358384853056722,34,0.8978044115159879,19
2020-02,2020-02-28,-0.17526889533379864,-0.17331979534070563,0.7722112479480175,0.0023166337438440526,32,0.7773814566836819,21
2020-03,2020-03-31,-0.006127838309537781,-0.002699500967514923,1.152071619761654,0.003456214859284962,29,0.9028017905377431,21
2020-04,2020-04-30,0.03929816932068331,0.04260417232165148,1.0666172578716597,0.00319985177361498,24,0.7571233765138542,18
2020-05,2020-05-29,0.014778854551198872,0.017274062916069255,0.8222725622654566,0.0024668176867963703,26,0.7592969124813971,21
