month,decision_date,net_return,gross_return,turnover,transaction_cost,n_positions,liquidity_L,n_days
2018-07,2018-07-31,-0.011514064288305481,-0.00853782149470994,0.9999999999999999,0.003000000000000001,28,0.4387730280315869,17
2018-08,2018-08-31,-0.009941523151880793,-0.006438253368660218,1.178025491891834,0.003534076475675502,29,0.544062043287167,18
2018-09,2018-09-28,-0.01249725660663692,-0.010129816481660558,0.7917035077780028,0.0023751105233340087,24,0.6278854816955378,23
2018-10,2018-10-31,0.00953825397222352,0.013121317998931792,1.1753264370080265,0.0035259793110240796,18,0.2698866414473334,18
2018-11,2018-11-30,0.022486487529230104,0.025036496252465845,0.8311535915574373,0.002493460774672312,23,0.4753178565152045,20
2018-12,2018-12-31,0.008791522145471742,0.012521218730364714,1.2305692305344562,0.0036917076916033694,21,0.666856170143313,20
2019-01,2019-01-31,-0.017135499627565998,-0.014489050953376048,0.9027122621589712,0.0027081367864769134,26,0.6014328498165857,19
2019-02,2019-02-28,-0.009002786558736542,-0.006531166877669192,0.8283971506522946,0.0024851914519568837,26,0.7439208253252663,20
2019-03,2019-03-29,-0.00990326284237475,-0.005657159407605916,1.4253770480431707,0.004276131144129512,28,0.378209774658643,22
2019-04,2019-04-30,-0.016897617265572706,-0.01442985402162833,0.8313688398196672,0.0024941065194590017,31,0.5867449830099459,21
2019-05,2019-05-31,0.01553492585955163,0.018079727758745667,0.8369820505634755,0.0025109461516904267,26,0.48726946161797363,16
2019-06,2019-06-28,0.0017471410155054379,0.004887915394124809,1.0409333417078894,0.003122800025123668,22,0.6172831715131529,22
2019-07,2019-07-31,0.010739362854476742,0.014517068658200127,1.2428932057946376,0.003728679617383913,28,0.4945162421195656,16
2019-08,2019-08-30,0.026530398823599866,0.02930066171528889,0.8935684025802255,0.0026807052077406765,23,0.46441453873490746,20
2019-09,2019-09-30,0.00856299362688584,0.012151062997469486,1.1877801853594525,0.0035633405560783578,28,0.6139222569883216,22
2019-10,2019-10-31,0.027451140552961828,0.029912249959332726,0.7997693933793731,0.0023993081801381194,30,0.6668432754552331,17
2019-11,2019-11-29,0.002031762759590938,0.004082288244846355,0.6821668189369289,0.002046500456810787,28,0.7535311366601518,21
2019-12,2019-12-31,0.02106325217550764,0.0236751101960746,0.8530040556460119,0.0025590121669380357,33,0.8531643137666659,21
2020-01,2020-01-31,-0.005662693138158037,-0.003146718554439154,0.8383463921137773,0.002515039176341332,34,0.8149492970235135,19
2020-02,2020-02-28,-0.17661853281661188,-0.17470292694230605,0.7603408150716596,0.0022810224452149775,31,0.7553781953586082,21
2020-03,2020-03-31,-0.02836665408617578,-0.025216770171228586,1.0789814489043863,0.00323694434671316,28,0.6086495978247903,21
2020-04,2020-04-30,0.02709621659507322,0.02934551363663096,0.7312566785258812,0.002193770035577643,25,0.5667964377289765,18
2020-05,2020-05-29,0.001215319058462283,0.003080236191282726,0.6196087217266251,0.0018588261651798755,24,0.5898897217663407,21
2020-06,2020-06-30,-0.015833238720300957,-0.012004475960991079,1.2924790750130108,0.0038774372250390326,28,0.5409020558693918,20
2020-07,2020-07-29,-0.009417808188925347,-0.006465297179077845,0.9853537067387144,0.0029560611202161433,31,0.5156756782109572,17
2020-08,2020-08-31,-0.0097670329759173,-0.006508761256431739,1.0956935495045321,0.0032870806485135965,34,0.6447529204143457,21
2020-09,2020-09-30,0.0017232793555268522,0.005544863105568343,1.2685202583911561,0.0038055607751734683,27,0.4035509392105345,19
2020-10,2020-10-28,0.008796645675471337,0.012631972196046837,1.2625497459679103,0.0037876492379037307,25,0.5909965054774449,18
2020-11,2020-11-30,0.01007414635426529,0.012978343117200142,0.9542901539014553,0.002862870461704366,24,0.6107372731475859,22
2020-12,2020-12-31,0.04073061346210216,0.04465984351936503,1.255720103588418,0.003767160310765254,26,0.5162013838889824,18
2021-01,2021-01-29,-0.03163840101332116,-0.02763881223686271,1.3779479582682466,0.004133843874804741,25,0.838660006826623,19
2021-02,2021-02-26,0.007425126186676678,0.009972266044095068,0.8459954086874207,0.002537986226062262,29,0.6719609867233219,22
2021-03,2021-03-31,0.017200923641873977,0.01965667512649949,0.8006189264542368,0.0024018567793627106,30,0.7527903987405823,21
2021-04,2021-04-30,0.02604552672445437,0.028522425875588953,0.8057964858755434,0.0024173894576266304,29,0.8474110291305051,18
2021-05,2021-05-31,0.033323346543736365,0.03514544740007208,0.5925862941985084,0.0017777588825955253,26,0.8364919276005492,21
2021-06,2021-06-30,-0.01027477973315405,-0.008187993654246828,0.7031859042422283,0.0021095577127266847,29,0.8552880773673377,18
