month,decision_date,net_return,gross_return,turnover,transaction_cost,n_positions,liquidity_L,n_days
2018-07,2018-07-31,-0.005868180434112746,-0.0028830184245343116,1.0,0.003,28,0.41419599692136483,17
2018-08,2018-08-31,-0.02209364002918457,-0.018743600156783446,1.1364314315183686,0.0034092942945551058,32,0.40836080447499334,18
2018-09,2018-09-28,-0.017759803007071806,-0.014955229630478017,0.9436863764948226,0.0028310591294844678,24,0.5195869127230252,23
2018-10,2018-10-31,0.009024219692741697,0.01252730334795693,1.1499199386177594,0.0034497598158532783,19,0.24023571308295474,18
2018-11,2018-11-30,0.023772762946917103,0.026603599816805268,0.924939738648941,0.002774819215946823,20,0.4695400074676732,20
2018-12,2018-12-31,0.007095758217479986,0.010938572815592629,1.270738286369084,0.0038122148591072523,19,0.6428180746067653,20
2019-01,2019-01-31,-0.003984399444750486,-0.0008559985198841602,1.0518481317757258,0.0031555443953271783,26,0.44958159976769385,19
2019-02,2019-02-28,-0.01648835542301441,-0.013643780400059757,0.960273610158795,0.002880820830476385,26,0.5941561366202527,20
2019-03,2019-03-29,-0.023765675988732027,-0.020142503429989467,1.2356176841302153,0.0037068530523906456,29,0.15707587486880015,22
2019-04,2019-04-30,-0.020279167306008317,-0.016683082951704065,1.2137413373671893,0.0036412240121015686,32,0.4971510481564498,21
2019-05,2019-05-31,0.01836392016887367,0.021073808934646054,0.8889358971285364,0.0026668076913856087,26,0.414689026021105,16
2019-06,2019-06-28,0.0007739228376375529,0.004056326186712811,1.0886330796913686,0.0032658992390741056,23,0.5923153259279383,22
2019-07,2019-07-31,0.006554733211726171,0.01072351158614615,1.37498617017201,0.00412495851051603,29,0.5026855865167432,16
2019-08,2019-08-30,0.02603348059191868,0.02922094444796719,1.0275610979016745,0.0030826832937050244,24,0.4224087403807749,20
2019-09,2019-09-30,0.007023326467194169,0.01111195935612308,1.3598738353861146,0.004079621506158344,29,0.4345722130552227,22
2019-10,2019-10-31,0.02881153000121528,0.032478345937090536,1.1860258728168196,0.003558077618450458,32,0.6275954945636807,17
2019-11,2019-11-29,-0.001269472677398853,0.0013255564157579336,0.8653970815603444,0.0025961912446810335,28,0.7019519380120788,21
2019-12,2019-12-31,0.012127079849907352,0.01533422825786901,1.053291812778577,0.0031598754383357305,36,0.829032308319031,21
2020-01,2020-01-31,-0.008247071633460945,-0.005415765356082569,0.94542290267082,0.00283626870801246,35,0.7340258764553047,19
2020-02,2020-02-28,-0.16262115155151713,-0.1604689514697103,0.8415202005637262,0.00252456060169118,29,0.5838176282059181,21
2020-03,2020-03-31,-0.019981363889995052,-0.017024951716241632,1.0056803595997568,0.0030170410787992703,28,0.6400957548115402,21
2020-04,2020-04-30,0.014668706293255118,0.01792635741948123,1.0684080237047127,0.0032052240711141376,25,0.33623080719793563,18
2020-05,2020-05-29,-0.0025804382009620985,-0.0002583089847557618,0.7726517430001903,0.002317955229000571,26,0.4737194567444322,21
2020-06,2020-06-30,-0.026622631880474423,-0.022540499280019777,1.3920442336671526,0.004176132701001458,30,0.4328007237784026,20
2020-07,2020-07-29,-0.00037028482961309894,0.0035077874558584465,1.2851748211525493,0.003855524463457648,32,0.4142203233800001,17
2020-08,2020-08-31,-0.010890012675911165,-0.007482856605258825,1.1435764711860874,0.0034307294135582623,32,0.4937333956709879,21
2020-09,2020-09-30,0.008921881570056467,0.014170322795171941,1.724333053798932,0.005172999161396796,27,0.3550609373068419,19
2020-10,2020-10-28,0.02750363333582806,0.03121200193363438,1.199272943015623,0.0035978188290468694,26,0.38761567596142316,18
2020-11,2020-11-30,0.013040318024060138,0.015491114463936917,0.8039405392216711,0.002411821617665013,23,0.38522938666231477,22
2020-12,2020-12-31,0.03757353642228889,0.041183772856589584,1.1573783533654414,0.003472135060096324,25,0.37923368789838446,18
2021-01,2021-01-29,-0.0330557419222276,-0.029579437853647472,1.1964584865933656,0.003589375459780097,22,0.8086712897860171,19
2021-02,2021-02-26,0.015756469674814477,0.01780642572317359,0.6774101292467598,0.0020322303877402794,28,0.6868767218872587,22
2021-03,2021-03-31,0.016190704763115793,0.018292240828516437,0.6866295586109747,0.0020598886758329245,31,0.8286856342948027,21
2021-04,2021-04-30,0.031828584485660505,0.034358495531569444,0.8191789626820135,0.0024575368880460405,28,0.7599060177677872,18
2021-05,2021-05-31,0.04190729068880805,0.04355638662720307,0.5336991152169068,0.0016010973456507206,22,0.7869229900145969,21
2021-06,2021-06-30,0.0013282772193936587,0.003466159335284491,0.7130604730633505,0.0021391814191900516,29,0.8772768814147844,18
2021-07,2021-07-29,0.05089284469559385,0.05566302985670801,1.5179575196921813,0.004553872559076545,37,0.5663272822084535,19
2021-08,2021-08-31,0.044980154871900435,0.047672485872521486,0.8610976823073896,0.002583293046922169,32,0.7929101431740436,21
2021-09,2021-09-30,0.07460845213490952,0.07780141191823065,0.9771990932658605,0.002931597279797582,29,0.8204131169324086,18
2021-10,2021-10-29,-0.024740064888060576,-0.022535977761851567,0.7504992066940053,0.002251497620082016,34,0.8546403830484216,20
2021-11,2021-11-30,-0.05021524133532951,-0.047981559082722613,0.7781597752196684,0.0023344793256590054,38,0.8247498458123911,22
2021-12,2021-12-31,0.057771630737831536,0.0611852719257624,1.0772959265829536,0.0032318877797488607,21,0.39174433956473725,19
2022-01,2022-01-31,-0.056831641258347276,-0.053318819853989896,1.229766981151286,0.003689300943453858,37,0.7103445863898356,19
2022-02,2022-02-28,-0.00982975654941698,-0.00735365097084506,0.8196236622242977,0.0024588709866728933,35,0.7203032234185404,22
2022-03,2022-03-31,0.027090189034571166,0.029705029265018723,0.8399416441147983,0.002519824932344395,37,0.80426170030137,20
2022-04,2022-04-29,-0.0351735306212837,-0.031776803075845295,1.166838210457794,0.0035005146313733817,36,0.8834587846085442,19
2022-05,2022-05-31,-0.03531206233001816,-0.03207883143737633,1.1148384910311648,0.0033445154730934947,34,0.6801052290226177,21
2022-06,2022-06-30,-0.0041521739859822215,-0.0005015805779889915,1.2113889757351106,0.003634166927205332,35,0.7765971275057938,19
2022-07,2022-07-29,0.03781975021902606,0.0415115192408686,1.1853338546378476,0.0035560015639135426,30,0.5675090970877895,22
2022-08,2022-08-31,-0.03973760882409472,-0.03621321326699212,1.223182757572053,0.0036695482727161595,35,0.624763418711097,21
2022-09,2022-09-30,-0.012770296784786583,-0.008877215613756761,1.319797710281438,0.003959393130844313,36,0.6109216376753406,19
2022-10,2022-10-31,-0.028385630737269074,-0.02423197612749739,1.4127689000580343,0.0042383067001741034,33,0.40993905892921084,20
2022-11,2022-11-30,-0.015051020962255635,-0.01216310825635325,0.9754780398375782,0.002926434119512735,38,0.401606837065722,21
2022-12,2022-12-30,-0.04563013991017961,-0.041533585210767776,1.4280608874675433,0.00428418266240263,22,0.40253435790696906,21
2023-01,2023-01-31,0.033243049983613826,0.03651999402641959,1.0609195085855754,0.0031827585257567263,36,0.5041221353107983,19
2023-02,2023-02-28,-0.03751419519988097,-0.03384460390611976,1.2571064214378447,0.0037713192643135346,36,0.42766988205726586,22
2023-03,2023-03-31,-0.00795799567701816,-0.004628225031665267,1.1175914133651537,0.003352774240095461,37,0.495723567195837,18
2023-04,2023-04-28,0.028862049527931033,0.03218426338368374,1.072635821851374,0.0032179074655541225,30,0.38608011585187707,21
2023-05,2023-05-31,0.016479455034916546,0.020678048714312114,1.3845774981625156,0.004153732494487547,33,0.5064780648876189,19
2023-06,2023-06-28,0.027142867395328008,0.03013066236433981,0.9710797842428455,0.0029132393527285367,35,0.6126357511109474,20
2023-07,2023-07-31,-0.0156565833261747,-0.012315655734951414,1.1291763427351276,0.0033875290282053827,44,0.841880692204966,20
2023-08,2023-08-31,0.05224129257058152,0.0552184331646588,0.9444258192059889,0.002833277457617967,35,0.84835104540733,18
2023-09,2023-09-27,0.025271537040600478,0.027803303554765346,0.8098249357901688,0.0024294748073705064,42,0.8499169967612971,22
2023-10,2023-10-31,-0.01507623955317361,-0.012376364500951587,0.906444820060098,0.002719334460180294,32,0.8633399422717396,20
2023-11,2023-11-30,0.003881383509294123,0.007619194700318799,1.2405932804023017,0.003721779841206905,38,0.8472722196818807,20
2023-12,2023-12-29,0.051531184819011644,0.05438169807403326,0.9069613539347365,0.0027208840618042096,36,0.7780949420477734,21
2024-01,2024-01-31,0.06514813023571286,0.06913113594893461,1.2337534079769752,0.0037012602239309255,30,0.8639367503160412,20
2024-02,2024-02-29,0.049265154118130816,0.051435915187864056,0.6920182712980616,0.0020760548138941846,28,0.9617549703407046,20
2024-03,2024-03-29,0.1319002552180104,0.13413368614151633,0.6734887264381029,0.0020204661793143085,28,0.9779539955046549,19
2024-04,2024-04-30,0.00882269362187249,0.01154403619904576,0.8970974735216011,0.002691292420564803,35,0.8812901500298018,21
2024-05,2024-05-31,-0.020965773829122902,-0.017688626921324557,1.1081696345638925,0.0033245089036916774,36,0.7893693262697016,17
2024-06,2024-06-28,0.08299573126329984,0.08579361790218076,0.8605747083219177,0.002581724124965753,37,0.8778511818124094,22
2024-07,2024-07-31,0.0403035517963104,0.04268555727789036,0.7611516505330055,0.0022834549515990165,33,0.9279556677544927,18
2024-08,2024-08-30,0.030439281588799716,0.03301952205554248,0.8242195970939515,0.0024726587912818547,33,0.8049477787381005,18
2024-09,2024-09-30,0.0003846615117815144,0.0031916664756834745,0.9259783150638246,0.002777934945191474,30,0.7614447454319171,22
2024-10,2024-10-31,0.01820155845451854,0.021255859519307307,1.004140006239058,0.0030124200187171732,24,0.7041736373965893,18
2024-11,2024-11-29,0.029963949229592668,0.03187878917739373,0.6196004268304796,0.0018588012804914387,29,0.939909708591385,21
2024-12,2024-12-31,0.06629823306458671,0.06913921776718102,0.8931111843876365,0.0026793335531629095,33,0.768718353334286,20
2025-01,2025-01-31,0.04264006199228576,0.046427445608590245,1.2118202118572556,0.003635460635571767,37,0.9480142875526218,19
2025-02,2025-02-28,0.0680598270758066,0.07101088499179342,0.9154944712626746,0.002746483413788024,34,0.9293584674619887,19
2025-03,2025-03-28,0.005987133325549454,0.008713573947152886,0.9047357044515042,0.0027142071133545126,38,0.9507835113432268,21
2025-04,2025-04-30,0.011886703110285834,0.0154629683819838,1.1711689778195307,0.003513506933458592,43,0.9399319218895936,20
2025-05,2025-05-30,0.06287759063352927,0.06585497557797737,0.9321722283983404,0.0027965166851950203,35,0.9296201753365579,18
2025-06,2025-06-30,-0.035143055025219305,-0.032336923971353904,0.9896834780102847,0.0029690504340308533,36,0.9795782817058619,21
