cell,configuration,mois,date_rebalance,portfolio,ticker,weight,recommendation,predicted_return,conviction_score,score_opt,liquidity_vmq_20j,L_sigmoid
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,CTM,0.06267927335458151,BUY,0.2074999979969959,0.2074999979969959,0.2074999979969959,39529.35,0.03332577579355919
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,COL,0.059790065924590116,BUY,0.15134893630964583,0.15134893630964583,0.15134893630964583,426211.73250000004,0.9437145525420022
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,SBM,0.05355853417626969,NEUTRAL,-0.051970586544668435,-0.051970586544668435,-0.025985293272334217,4750205.5,1.0
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,EQD,0.0527296078023094,BUY,0.13662921860539176,0.13662921860539176,0.13662921860539176,2113.9,0.01859344689077907
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,ATL,0.05058286344569212,NEUTRAL,0.08200948598037375,0.08200948598037375,0.041004742990186874,357179.41000000003,0.8474669516073305
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,GAZ,0.050389215460511214,NEUTRAL,0.04487339421610047,0.04487339421610047,0.022436697108050234,268044.0,0.5716788211108534
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,JET,0.04981755104947514,BUY,0.29668748983048776,0.29668748983048776,0.29668748983048776,1056941.62,0.9999975294466167
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,CMT,0.04951539499337173,NEUTRAL,-0.02441548065674634,-0.02441548065674634,-0.01220774032837317,497114.85,0.9811800333341677
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,LES,0.04803143879047442,NEUTRAL,-0.0433360448917281,-0.0433360448917281,-0.02166802244586405,1600116.9100000008,0.999999999584638
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,DRI,0.046847744092229485,BUY,0.43058060511023843,0.43058060511023843,0.43058060511023843,24018.2,0.026193309466106974
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,CIH,0.04580484606240806,BUY,0.10327950458196983,0.10327950458196983,0.10327950458196983,223895.5125,0.3970740019534859
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,MOX,0.04497357422854436,BUY,0.12640714922181437,0.12640714922181437,0.12640714922181437,7329.164999999999,0.02017888299544964
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,HPS,0.04410459883162129,BUY,0.13034191552316038,0.13034191552316038,0.13034191552316038,71143.80999999981,0.05407972003485135
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,S2M,0.043385698325900626,BUY,0.18268736018973783,0.18268736018973783,0.18268736018973783,9510.8,0.020880720583514163
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,SOT,0.04265399118914246,NEUTRAL,0.09979432433919225,0.09979432433919225,0.049897162169596124,812.25,0.01821719820937452
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,LBV,0.03938785588398729,BUY,0.22104022806316095,0.22104022806316095,0.22104022806316095,686098.6,0.9990683093555535
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,DHO,0.025646936533348746,NEUTRAL,0.044821332849105125,0.044821332849105125,0.022410666424552562,64475.19700000009,0.04887419245635132
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,OUL,0.024983068043591523,NEUTRAL,-0.09349026161874063,-0.09349026161874063,-0.04674513080937032,4921.0,0.019430986406341087
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,TQM,0.024981298297575824,BUY,0.12253017504338429,0.12253017504338429,0.12253017504338429,1811913.0,0.999999999985981
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,MIC,0.024823236887120112,BUY,0.1523097892303367,0.1523097892303367,0.1523097892303367,61544.357500000006,0.04673986989845904
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,SRM,0.021170073871688996,BUY,0.11917143410470887,0.11917143410470887,0.11917143410470887,4011.3,0.019155591211587174
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,RDS,0.019800157969338466,NEUTRAL,0.08226064240293542,0.08226064240293542,0.04113032120146771,52290.69,0.04056850226326277
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,DWY,0.01901511535936333,BUY,0.1733041932864632,0.1733041932864632,0.1733041932864632,44662.99249999963,0.03607573950582562
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,RIS,0.018351609142126107,BUY,0.1630644501587974,0.1630644501587974,0.1630644501587974,76117.2725000001,0.05829785994543916
