cell,mois,date_rebalance,status,error,n_candidates,n_positions_selected,expected_alpha_selected,cvar_selected,liquidity_L_selected,n_pareto
1,2024-05,2024-05-31,ok,,50,43,0.291785,0.010106,0.7557,21
1,2024-06,2024-06-28,ok,,50,48,0.247144,0.009393,0.7916,23
1,2024-07,2024-07-31,ok,,46,44,0.398824,0.009428,0.8679,20
1,2024-08,2024-08-30,ok,,52,45,0.345353,0.010092,0.8873,20
1,2024-09,2024-09-30,ok,,48,44,0.402632,0.00842,0.7422,21
1,2024-10,2024-10-31,ok,,46,36,0.430788,0.009861,0.7012,23
1,2024-11,2024-11-29,ok,,50,44,0.35496,0.009081,0.872,21
1,2024-12,2024-12-31,ok,,46,43,0.442859,0.009898,0.8408,26
1,2025-01,2025-01-31,ok,,38,34,0.284172,0.008069,0.9704,25
1,2025-02,2025-02-28,ok,,43,42,0.292095,0.008636,0.9549,24
1,2025-03,2025-03-28,ok,,42,37,0.401682,0.007318,0.9537,21
1,2025-04,2025-04-30,ok,,43,38,0.324896,0.010515,0.957,21
1,2025-05,2025-05-30,ok,,41,36,0.3126,0.011474,0.8956,25
1,2025-06,2025-06-30,ok,,46,37,0.345611,0.010533,0.9741,25
2,2018-07,2018-07-31,ok,,34,31,0.123898,0.008687,0.4267,20
2,2018-08,2018-08-31,ok,,35,31,0.143071,0.008203,0.4857,18
2,2018-09,2018-09-28,ok,,35,33,0.122252,0.00798,0.626,17
2,2018-10,2018-10-31,ok,,27,27,0.133179,0.010311,0.415,22
2,2018-11,2018-11-30,ok,,30,27,0.164497,0.00911,0.5466,24
2,2018-12,2018-12-31,ok,,42,40,0.262501,0.008641,0.701,25
2,2019-01,2019-01-31,ok,,41,33,0.329473,0.008108,0.612,19
2,2019-02,2019-02-28,ok,,37,33,0.272431,0.008122,0.7414,21
2,2019-03,2019-03-29,ok,,42,39,0.237095,0.00682,0.5376,18
2,2019-04,2019-04-30,ok,,44,38,0.305906,0.006578,0.6279,19
2,2019-05,2019-05-31,ok,,34,34,0.15723,0.007839,0.5629,24
2,2019-06,2019-06-28,ok,,43,37,0.279923,0.007192,0.6825,20
2,2019-07,2019-07-31,ok,,45,42,0.404025,0.006303,0.5568,20
2,2019-08,2019-08-30,ok,,38,37,0.2414,0.008432,0.646,20
2,2019-09,2019-09-30,ok,,44,36,0.296001,0.006486,0.6144,18
2,2019-10,2019-10-31,ok,,41,39,0.230928,0.007305,0.6732,21
2,2019-11,2019-11-29,ok,,41,33,0.247507,0.007022,0.7024,20
2,2019-12,2019-12-31,ok,,46,43,0.441501,0.007218,0.8068,26
2,2020-01,2020-01-31,ok,,49,45,0.424075,0.007096,0.8182,21
2,2020-02,2020-02-28,ok,,44,41,0.208614,0.007049,0.6376,20
2,2020-03,2020-03-31,ok,,33,27,0.186575,0.015094,0.5624,20
2,2020-04,2020-04-30,ok,,26,24,0.166118,0.013395,0.5138,17
2,2020-05,2020-05-29,ok,,35,28,0.27626,0.014064,0.6166,17
2,2020-06,2020-06-30,ok,,48,39,0.491389,0.012444,0.6661,18
2,2020-07,2020-07-29,ok,,47,39,0.317374,0.008507,0.3694,19
2,2020-08,2020-08-31,ok,,47,36,0.282099,0.009747,0.4568,20
2,2020-09,2020-09-30,ok,,45,38,0.382087,0.012021,0.5083,20
2,2020-10,2020-10-28,ok,,43,39,0.342072,0.012717,0.6464,22
2,2020-11,2020-11-30,ok,,46,42,0.298793,0.012775,0.6642,21
2,2020-12,2020-12-31,ok,,51,40,0.506601,0.011533,0.517,22
2,2021-01,2021-01-29,ok,,46,41,0.324341,0.013868,0.7063,25
2,2021-02,2021-02-26,ok,,42,39,0.170637,0.016153,0.6584,25
2,2021-03,2021-03-31,ok,,40,37,0.163596,0.014386,0.7032,19
2,2021-04,2021-04-30,ok,,42,25,0.211474,0.014427,0.7409,23
2,2021-05,2021-05-31,ok,,52,46,0.327642,0.009992,0.8312,24
2,2021-06,2021-06-30,ok,,56,48,0.341065,0.007686,0.7515,16
2,2021-07,2021-07-29,ok,,32,29,0.183018,0.016531,0.626,19
2,2021-08,2021-08-31,ok,,50,40,0.287347,0.011362,0.7421,21
2,2021-09,2021-09-30,ok,,48,36,0.299042,0.010225,0.8689,23
2,2021-10,2021-10-29,ok,,45,39,0.374481,0.01305,0.9081,20
2,2021-11,2021-11-30,ok,,37,32,0.229988,0.013823,0.7826,23
2,2021-12,2021-12-31,ok,,29,28,0.343475,0.013317,0.6896,23
2,2022-01,2022-01-31,ok,,33,28,0.346363,0.011521,0.695,23
2,2022-02,2022-02-28,ok,,31,27,0.317841,0.012838,0.7217,20
2,2022-03,2022-03-31,ok,,18,18,0.068624,0.012225,0.881,21
2,2022-04,2022-04-29,ok,,39,37,0.151136,0.008839,0.7344,19
2,2022-05,2022-05-31,ok,,16,15,-0.014959,0.011875,0.7545,22
2,2022-06,2022-06-30,ok,,22,22,0.029831,0.01204,0.7967,21
2,2022-07,2022-07-29,ok,,44,43,0.094101,0.00925,0.5821,18
2,2022-08,2022-08-31,ok,,44,37,0.219404,0.00908,0.5493,14
2,2022-09,2022-09-30,ok,,53,38,0.282104,0.009974,0.679,21
2,2022-10,2022-10-31,ok,,39,36,0.18868,0.010486,0.6512,21
2,2022-11,2022-11-30,ok,,43,41,0.203384,0.011134,0.3904,23
2,2022-12,2022-12-30,ok,,51,42,0.295099,0.011053,0.6624,19
2,2023-01,2023-01-31,ok,,51,45,0.188723,0.011214,0.5661,23
2,2023-02,2023-02-28,ok,,57,53,0.235959,0.011225,0.4588,21
2,2023-03,2023-03-31,ok,,58,53,0.226917,0.009492,0.6737,22
2,2023-04,2023-04-28,ok,,60,57,0.249123,0.009314,0.6446,20
2,2023-05,2023-05-31,ok,,57,51,0.337592,0.00781,0.5457,21
