sell_mode,Sell mode,Configuration,cell,pct_capital_BUY,pct_capital_NEUTRAL,pct_capital_SELL,contrib_BUY_mean,contrib_NEUTRAL_mean,contrib_SELL_mean,contrib_BUY_sum,contrib_NEUTRAL_sum,contrib_SELL_sum
exclude,exclu,C1 Ridge,1,0.8355706954131047,0.16422105292717415,0.0,0.00885517332217741,0.0012453477179954029,0.0,0.7438345590629025,0.10460920831161384,0.0
exclude,exclu,C2 Ridge + régime,2,0.7822800974625933,0.2175433911475812,0.0,0.008580715845340087,0.0009707749897181997,0.0,0.7207801310085673,0.08154509913632878,0.0
exclude,exclu,C3 Hybrid,3,0.7445014446325816,0.25535270688543116,0.0,0.008299045759782218,0.002717389728416516,0.0,0.6971198438217063,0.22826073718698733,0.0
exclude,exclu,C4 Hybrid + régime,4,0.7558892603623061,0.24399732775438016,0.0,0.008362298428434282,0.0017531045312963918,0.0,0.7024330679884797,0.14726078062889691,0.0
penalize,pénalisé,C1 Ridge,1,0.7802955060436968,0.15676364326096995,0.06265800375775395,0.008601929044633829,0.000785884886997747,0.0011642037349462492,0.7225620397492417,0.06601433050781075,0.09779311373548492
penalize,pénalisé,C2 Ridge + régime,2,0.7410436998546116,0.18071058374178486,0.0779617141772183,0.008706251080800925,0.0004713359123454796,0.0004028872807772058,0.7313250907872777,0.03959221663702028,0.03384253158528529
penalize,pénalisé,C3 Hybrid,3,0.6794768748916956,0.198412444537721,0.1218286416077313,0.008013812577518228,0.0015825205288634782,0.0006161034420297894,0.6731602565115311,0.13293172442453216,0.05175268913050231
penalize,pénalisé,C4 Hybrid + régime,4,0.6925766458846251,0.18516810245363527,0.12198041971835447,0.007065918868514759,0.001434153025579876,0.00039113934365795695,0.5935371849552398,0.12046885414870959,0.03285570486726838
