cell,configuration,mois,date_rebalance,portfolio,ticker,weight,recommendation,predicted_return,conviction_score,score_opt,liquidity_vmq_20j,L_sigmoid,month,mois_obj,liquidity_L_weighted,cvar_95,expected_alpha_opt
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,BAL,0.1,NEUTRAL,-0.053474432872650635,-0.053474432872650635,-0.026737216436325317,0.0,0.01798620996209156,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,LBV,0.1,BUY,0.41628093599868116,0.41628093599868116,0.41628093599868116,686098.6,0.9990683093555535,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,SOT,0.09576849613877235,BUY,0.13676234315091473,0.13676234315091473,0.13676234315091473,812.25,0.01821719820937452,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,JET,0.09050000054501091,BUY,4.124110251481176,4.124110251481176,4.124110251481176,1056941.62,0.9999975294466167,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,ATL,0.08785439732272965,BUY,0.1430980705829882,0.1430980705829882,0.1430980705829882,357179.41000000003,0.8474669516073305,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,COL,0.08203831579067951,BUY,0.31193208132157263,0.31193208132157263,0.31193208132157263,426211.73250000004,0.9437145525420022,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,TQM,0.055651336592274274,BUY,0.21668466619419025,0.21668466619419025,0.21668466619419025,1811913.0,0.999999999985981,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,SRM,0.042189628476654355,BUY,0.25599573718820756,0.25599573718820756,0.25599573718820756,4011.3,0.019155591211587174,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,M2M,0.0416110737189728,BUY,0.37213912333978405,0.37213912333978405,0.37213912333978405,12650.622500000001,0.021932909534472442,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,CTM,0.036234403353226946,BUY,0.3993473060796383,0.3993473060796383,0.3993473060796383,39529.35,0.03332577579355919,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,MIC,0.031147772861076155,BUY,0.3144763595501789,0.3144763595501789,0.3144763595501789,61544.357500000006,0.04673986989845904,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,CIH,0.030204980440116772,BUY,0.14831335186680544,0.14831335186680544,0.14831335186680544,223895.5125,0.3970740019534859,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,S2M,0.028557449800760828,BUY,0.3392037959232368,0.3392037959232368,0.3392037959232368,9510.8,0.020880720583514163,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,HPS,0.02664090125185259,BUY,0.1986563840627446,0.1986563840627446,0.1986563840627446,71143.80999999981,0.05407972003485135,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,DHO,0.025772510121245644,NEUTRAL,0.0651273494363445,0.0651273494363445,0.03256367471817225,64475.19700000009,0.04887419245635132,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,GAZ,0.02458145705510562,NEUTRAL,0.02548423040275176,0.02548423040275176,0.01274211520137588,268044.0,0.5716788211108534,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,EQD,0.023864217396366846,BUY,0.2501482047994628,0.2501482047994628,0.2501482047994628,2113.9,0.01859344689077907,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,DRI,0.016206984487739162,BUY,0.9123789557121597,0.9123789557121597,0.9123789557121597,24018.2,0.026193309466106974,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,FBR,0.013591524216560092,BUY,0.1196681549084544,0.1196681549084544,0.1196681549084544,22089.581500000022,0.0254176130818299,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,RDS,0.012162823571970353,BUY,0.1012364510908154,0.1012364510908154,0.1012364510908154,52290.69,0.04056850226326277,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,MOX,0.01206524126321413,BUY,0.2646122305317541,0.2646122305317541,0.2646122305317541,7329.164999999999,0.02017888299544964,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,MDP,0.012001875669087498,BUY,0.33023796651738924,0.33023796651738924,0.33023796651738924,5449.359500000092,0.01959271539945556,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,SID,0.00465134938749774,BUY,0.6683043662227126,0.6683043662227126,0.6683043662227126,128754.25999999998,0.1256553447962296,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,NKL,0.0020594047381308337,NEUTRAL,-0.04450053640791363,-0.04450053640791363,-0.022250268203956813,1407.833,0.018388418190039276,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,DWY,0.0015422879741731536,BUY,0.35701419815564456,0.35701419815564456,0.35701419815564456,44662.99249999963,0.03607573950582562,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,ALM,0.0014595707347643907,BUY,0.23957422219501961,0.23957422219501961,0.23957422219501961,1514.7,0.018419307295170488,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,RIS,0.0008097094145915079,BUY,0.3047057926672231,0.3047057926672231,0.3047057926672231,76117.2725000001,0.05829785994543916,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-07,2018-07-31,P_selected,SMI,0.0007794567882345227,NEUTRAL,-0.07491361221996443,-0.07491361221996443,-0.03745680610998221,329696.7,0.7816225903230185,2018-07,2018-07,0.4388,0.009709,0.581646
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,SLF,0.09935974051309104,BUY,0.1817845832245187,0.1817845832245187,0.1817845832245187,1567046.25,0.9999999992949413,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,IMO,0.09791837895252058,BUY,1.0756957760459493,1.0756957760459493,1.0756957760459493,98628.93900000001,0.08151511568636022,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,IAM,0.09617654446757347,NEUTRAL,-0.08297649504516237,-0.08297649504516237,-0.041488247522581186,8413317.717500001,1.0,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,LBV,0.08233268824168463,BUY,0.36805100533954443,0.36805100533954443,0.36805100533954443,561520.5,0.9932021511299907,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,EQD,0.07123867722829434,BUY,2.2091217142612325,2.2091217142612325,2.2091217142612325,87301.8,0.0689346059572337,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,GAZ,0.06942282138090437,BUY,1.36523757295997,1.36523757295997,1.36523757295997,9544.0,0.020891583581168063,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,JET,0.06343481443156053,BUY,0.978814871962117,0.978814871962117,0.978814871962117,658458.98,0.9985508728338357,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,ATL,0.05817540999484591,BUY,0.2647436959838031,0.2647436959838031,0.2647436959838031,233291.66400000002,0.4335618640966327,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,AFM,0.05493953269260089,BUY,0.5588410317214134,0.5588410317214134,0.5588410317214134,357814.75,0.8487763683305605,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,SBM,0.053272316151071,NEUTRAL,0.0545050779215501,0.0545050779215501,0.02725253896077505,675885.0,0.9989030893086733,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,HPS,0.051300915627534666,BUY,0.37257702699042605,0.37257702699042605,0.37257702699042605,76757.39999999982,0.0588626902630874,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,MOX,0.039664412326175076,BUY,0.5227137843370123,0.5227137843370123,0.5227137843370123,2454.4900000000002,0.018693148113017786,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,DHO,0.028946323592714658,NEUTRAL,-0.016921121458323595,-0.016921121458323595,-0.008460560729161798,1069196.7925,0.9999979693420633,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,RIS,0.027901247858061334,NEUTRAL,0.03495078720979126,0.03495078720979126,0.01747539360489563,131311.4225000001,0.1302197438337115,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,TQM,0.023099462777756655,BUY,0.12575257394823866,0.12575257394823866,0.12575257394823866,2464759.95,0.9999999999999996,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,MIC,0.02142989182209727,BUY,0.8256099213829132,0.8256099213829132,0.8256099213829132,32551.495000000003,0.029910577355310893,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,SRM,0.01568222031240193,BUY,0.4031663354619842,0.4031663354619842,0.4031663354619842,12.752500000000001,0.017989814215133442,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,M2M,0.012388207424018586,BUY,0.36674690991071573,0.36674690991071573,0.36674690991071573,10920.375,0.021346831236762013,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,ALM,0.010567514527218429,BUY,0.13199144071011903,0.13199144071011903,0.13199144071011903,20123.95,0.02465006444452681,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,SID,0.00809977722442689,BUY,0.611040435483751,0.611040435483751,0.611040435483751,30495.869999999995,0.028970857212644578,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,S2M,0.0054443416967789775,BUY,0.18787906647331865,0.18787906647331865,0.18787906647331865,12896.03,0.02201729898245884,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,CTM,0.0026947647410754303,BUY,0.3119675815481547,0.3119675815481547,0.3119675815481547,67753.68000000001,0.05137113905407706,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,DRI,0.0018763850524866883,BUY,0.570433988773052,0.570433988773052,0.570433988773052,5925.3,0.01973952802372057,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,CIH,0.0018205255404016452,BUY,0.16788462227943726,0.16788462227943726,0.16788462227943726,584119.3425,0.9952550090970593,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,COL,0.0013443374845955212,BUY,0.24851223705248726,0.24851223705248726,0.24851223705248726,147467.778,0.16239492354138899,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,RDS,0.0007159224752051543,NEUTRAL,0.03001377882738429,0.03001377882738429,0.015006889413692145,300092.811,0.6902920422483682,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,FBR,0.00044013584890373775,BUY,0.10016345821712158,0.10016345821712158,0.10016345821712158,7997.260000000024,0.020391320513186886,2018-08,2018-08,0.544,0.008057,0.593069
4,C4 Hybrid + régime,2018-08,2018-08-31,P_selected,MDP,0.00012061656559185216,BUY,0.16767625159965122,0.16767625159965122,0.16767625159965122,7620.750000000093,0.020271331856218117,2018-08,2018-08,0.544,0.008057,0.593069
