month,decision_date,net_return,gross_return,turnover,transaction_cost,n_positions,liquidity_L,n_days
2018-07,2018-07-31,0.0008902818501517196,0.003902444718954845,1.0000000000000002,0.003000000000000001,31,0.42671984854318484,17
2018-08,2018-08-31,-0.028040509545735004,-0.025273161110115683,0.9419447655425636,0.002825834296627691,31,0.48575497000466716,18
2018-09,2018-09-28,-0.015494842877643689,-0.01275220774208563,0.9205947423668346,0.0027617842271005035,33,0.6259929244731672,23
2018-10,2018-10-31,0.012134380406028544,0.01528537571921107,1.0378783820876105,0.0031136351462628317,27,0.4150168317604267,18
2018-11,2018-11-30,0.015599240660728375,0.017823680332323955,0.7287449156420222,0.0021862347469260666,27,0.5465744943575114,20
2018-12,2018-12-31,0.011545368354701324,0.014275723153650333,0.894290215617311,0.0026828706468519322,40,0.7010015610741189,20
2019-01,2019-01-31,-0.008388839988500485,-0.005459645454888751,0.9878315374583773,0.002963494612375132,33,0.6119774296481886,19
2019-02,2019-02-28,-0.00819624221607429,-0.006330431662307401,0.6265486161366273,0.001879645848409882,33,0.7415033687477264,20
2019-03,2019-03-29,0.005879805634090074,0.008699674443618743,0.9339448978045537,0.002801834693413661,39,0.5376816054410509,22
2019-04,2019-04-30,-0.01092808021159708,-0.00909432917205244,0.61378504547259,0.0018413551364177701,38,0.6278444949075073,21
2019-05,2019-05-31,0.015120330433974871,0.017078076141438858,0.6452367349479624,0.0019357102048438873,34,0.5629353726972374,16
2019-06,2019-06-28,0.012908165663810145,0.015477260196825382,0.8392428450177837,0.0025177285350533513,37,0.6825475040884257,22
2019-07,2019-07-31,0.006384493299002925,0.008772884126939884,0.7889785200363689,0.002366935560109107,42,0.556805501445641,16
2019-08,2019-08-30,0.0013247204358080023,0.003985636167568751,0.8801655695643137,0.002640496708692941,37,0.6460388608214469,20
2019-09,2019-09-30,0.004969215086661594,0.008001522396952065,1.0039136150237808,0.0030117408450713425,36,0.6143940371580859,22
2019-10,2019-10-31,0.024738894209400453,0.02721386644249857,0.8057491393603639,0.0024172474180810914,39,0.673222721308236,17
2019-11,2019-11-29,0.015615238273202436,0.018344592262471426,0.8951831729189756,0.002685549518756927,33,0.7023831658823054,21
2019-12,2019-12-31,0.021912532354185332,0.02425319905685952,0.7638329956125617,0.0022914989868376852,43,0.8067966240092272,21
2020-01,2020-01-31,-0.010947164093691564,-0.008993753200305488,0.6566823312429817,0.001970046993728945,45,0.8182388373962417,19
2020-02,2020-02-28,-0.155311851010694,-0.1534698498460616,0.7149410438811704,0.0021448231316435113,41,0.6375591703524959,21
