date,ret_net,wealth100
2018-08-02,-0.003623691751054914,99.6376308248945
2018-08-03,-0.007033126881909265,98.93686672509018
2018-08-06,-0.004698558770850723,98.47200604217853
2018-08-07,0.0022295176038803523,98.69155111313898
2018-08-08,0.008228428244923288,99.50362745985362
2018-08-09,-0.008067883076300734,98.70084382783973
2018-08-10,0.006361528262351182,99.32873203536845
2018-08-13,-3.469510284891248e-05,99.32528581479463
2018-08-15,-0.00563348623018053,98.76573818484823
2018-08-16,-0.003496004123504494,98.42045275689304
2018-08-17,0.005572604027801732,98.96891096834418
2018-08-24,0.005909604152219036,99.55377805554329
2018-08-27,-0.005078283130740218,99.04821578384238
2018-08-28,-0.005673270880660446,98.48628842545453
2018-08-29,-0.003152254210102871,98.17583460812797
2018-08-30,0.004097291824478698,98.57808965262922
2018-08-31,0.0027440572189361056,98.84859357116945
2018-09-04,-0.0012352490434750086,98.72649094051181
2018-09-05,-0.006894933251595265,98.04577837531275
2018-09-06,0.0037636935347047772,98.41479263748901
2018-09-07,-0.02304338199765211,96.14698297652363
2018-09-10,0.009378452552391083,97.0486928944245
2018-09-12,0.0011811242672652516,97.1633194607085
2018-09-13,0.00440950853687421,97.59176194734152
2018-09-14,-0.00913152697915583,96.70060014017602
2018-09-17,0.0008647683696892706,96.7842237605072
2018-09-18,-0.006599186759263118,96.14552659256131
2018-09-19,-0.0031381805317413324,95.84380457279453
2018-09-20,0.0017148395500832497,96.0081613195064
2018-09-21,-0.0019413762393491983,95.8217733563371
2018-09-24,0.0024711014489562496,96.0585586793195
2018-09-25,0.008042309561730873,96.83109134427228
2018-09-26,0.00026323383932677484,96.85658056421302
2018-09-27,0.006440266070889526,97.4803627137631
2018-09-28,0.0039549019428637856,97.86588798965083
2018-10-01,-0.0092977926196659,96.9559512585836
2018-10-02,-0.0028441257886694755,96.68019633724408
2018-10-03,0.0004454641241111344,96.72326389622435
2018-10-04,-0.0005575457400786377,96.66933625247252
2018-10-05,0.0015317945194981337,96.81741381194757
2018-10-08,0.004375285386987738,97.24101762780494
2018-10-09,-0.0022313675350156426,97.02403717799837
2018-10-10,0.0020908705131224784,97.22690187639793
2018-10-11,0.0024345721098251415,97.46360778003091
2018-10-12,0.0032612053484997513,97.78145661900723
2018-10-15,0.0005241344475136963,97.83270724874933
2018-10-16,-0.0034352441923203437,97.4966280093541
2018-10-17,-0.005133064087897206,96.99617156942821
2018-10-18,-0.0009101791651189409,96.90788767496942
2018-10-19,-0.0038632891061841953,96.53350448821139
2018-10-22,0.004953896954647291,97.01172152211696
2018-10-23,0.003148340069719108,97.31714741221748
2018-10-24,0.0002619345196582175,97.3426381324794
2018-10-25,-0.0002866393069251718,97.31473590615084
2018-10-26,0.004561815078087287,97.7586677357276
2018-10-29,-0.007874166961898499,96.98889966400372
2018-10-30,-0.005907193595745085,96.41596745705016
2018-10-31,0.0023529859559688923,96.64283287440776
2018-11-02,-0.006545523423441295,96.0102549481206
2018-11-05,0.00792142477589993,96.7707929604071
2018-11-07,0.009677449719118008,97.70728744356063
2018-11-08,-0.001030246644474674,97.60662483853118
2018-11-09,-0.0011083522322856154,97.49844231800552
2018-11-12,0.009483349128936678,98.42305408603467
2018-11-13,-0.0018839236593008201,98.23763256582134
2018-11-14,-0.004497590565403906,97.79579991642568
2018-11-15,0.0003311838085397676,97.8281883019012
2018-11-16,0.00349581913370285,98.17017795438248
2018-11-19,-0.0001367454714651488,98.1567536271143
2018-11-22,0.0013721941752761874,98.29144375270545
2018-11-23,-0.0037380201798707033,97.92402835244923
2018-11-26,-0.005778369564373762,97.35818712739656
2018-11-27,0.0009528267286976947,97.45095261034909
2018-11-28,0.007106533114673889,98.14349103213105
2018-11-29,0.0008109411016914171,98.22307962287249
2018-11-30,-0.006703545301588716,97.56463675895901
2018-12-04,-0.00018775384747443148,97.54631862303007
