month,n_positions,w_max,top3,top5,hhi
2018-07,31,0.06268950091901758,0.17605659644985328,0.27938592550267904,0.043361679376466296
2018-08,31,0.09770061233167734,0.268397572354396,0.4133414089849037,0.06131224886378318
2018-09,33,0.10001036175147965,0.2901716479000996,0.46215561112804243,0.06866235779224848
2018-10,27,0.0970382645958036,0.2458557685334412,0.38233044987960785,0.055810894995084355
2018-11,27,0.10001749611614871,0.2906258257823984,0.44798548031881946,0.06518761810486681
2018-12,40,0.08021852790740915,0.21639212963717766,0.3205322615790156,0.047144715753588834
2019-01,33,0.10000828047212858,0.28747035740076154,0.4209274220402096,0.05757094660650087
2019-02,33,0.10001162207535316,0.29974177919043526,0.44161922117922964,0.060169758009465
2019-03,39,0.10001615364417858,0.2998083218578478,0.43554989950371625,0.056643370016143176
2019-04,38,0.10001022484348265,0.30003067453044796,0.4416171931987414,0.05817411532652267
2019-05,34,0.10000000009839105,0.30000000029517315,0.45623986327571825,0.059949931136740166
2019-06,37,0.0971203071523665,0.25622129252670633,0.4071892685278603,0.05535951130707251
2019-07,42,0.100010082247293,0.2897699490220054,0.4166503330574229,0.05200329319817652
2019-08,37,0.1000042560431769,0.2975865504198268,0.41528805014291087,0.05308393381479761
2019-09,36,0.10002768541725925,0.283649648717859,0.41358237619550375,0.054768596763649986
2019-10,39,0.10000312181643016,0.2908029662058413,0.4197307409185485,0.05529907572758212
2019-11,33,0.10001039927765558,0.27398355327261303,0.41718595429892286,0.057929466033005
2019-12,43,0.1000117619651413,0.30003528589542394,0.4437723515656139,0.055879130903943995
2020-01,45,0.09494122290942571,0.2162412111733448,0.3250302936757806,0.040426506104186556
2020-02,41,0.10000439898069718,0.2732644424048314,0.4062384960310893,0.0505852345454742
2020-03,27,0.10001322238714404,0.29419861147449466,0.47273268298972804,0.07717914116174818
2020-04,24,0.10000187586724035,0.30000562760172106,0.5000093793362017,0.08229689138104682
2020-05,28,0.1000153836157119,0.29689623076738136,0.48376830858428654,0.07011185338927631
2020-06,39,0.10003695424655014,0.30011086273965043,0.4927073608884421,0.06937102936737584
2020-07,39,0.08853953189837488,0.26497356294508523,0.42593944878349443,0.0597077533332476
2020-08,36,0.09398098514401125,0.2727400138211501,0.4217833092801854,0.058668614221230854
2020-09,38,0.10001741970239167,0.30005225910717503,0.43189489014597954,0.059841675797235226
2020-10,39,0.09979140113634541,0.2914682360341663,0.4245331813299271,0.06118197006793348
2020-11,42,0.10001311249468857,0.29514406529314685,0.4373332273956473,0.060656614049098806
2020-12,40,0.10003554772345603,0.2600605945742079,0.399991522529275,0.051725162067901446
2021-01,41,0.10001632273386461,0.3000489682015938,0.46888652250151375,0.05983901000609321
2021-02,39,0.10001474934937633,0.300044248048129,0.4578827327966769,0.06526803354005194
2021-03,37,0.10001018791037478,0.30003056373112436,0.5000509395518739,0.07143280921719232
2021-04,25,0.10002726034302704,0.3000817810290811,0.48431132052292847,0.07584933072238467
2021-05,46,0.10003027173610082,0.3000908152083025,0.4385681291567254,0.05586931874849763
2021-06,48,0.10001798896226513,0.3000539668867954,0.5000899448113256,0.07058108931044045
2021-07,29,0.1000184394206195,0.2902257725925822,0.453636598608245,0.06936424129191043
2021-08,40,0.10003516097128841,0.2974630092225316,0.42451528627875584,0.05704368138762657
2021-09,36,0.10001404268403977,0.3000421280521193,0.5000702134201989,0.07022477531748568
2021-10,39,0.10002031939495486,0.30006095818486456,0.5001015969747743,0.07176156146788641
2021-11,32,0.100024125290379,0.300072375871137,0.500120626451895,0.07676851980161017
2021-12,28,0.10000651127258332,0.30001953381775,0.5000325563629167,0.08725557097764515
2022-01,28,0.10000663976989907,0.29848353521446325,0.4895016532515017,0.0786183325231288
2022-02,27,0.10001506562232791,0.3000451968669837,0.5000753281116396,0.08309883423409885
2022-03,18,0.1000000000956998,0.3000000002870994,0.500000000478499,0.09227774863100517
2022-04,37,0.10000535776001439,0.2990779806372992,0.4801581935969105,0.07271908750844364
2022-05,15,0.1000013738801008,0.30000412164030243,0.500006869400504,0.08509488286580451
2022-06,22,0.098112316106218,0.29363649612821535,0.4517643281133582,0.07049084875552937
2022-07,43,0.10000045792301561,0.28516315176617507,0.4208677382623994,0.056444462933558426
2022-08,37,0.10002751927502043,0.3000825578250613,0.4553729077450479,0.06291802772860798
2022-09,38,0.10002938215974691,0.29051243771257806,0.4645235921489378,0.06836961324880929
2022-10,36,0.10000581034692534,0.28556243267485143,0.44209746260667576,0.0631861781440786
2022-11,41,0.10000036688601896,0.30000110065805685,0.4850457999805532,0.0679289763215151
2022-12,42,0.10001579856840777,0.2762999643255747,0.42275956291982564,0.06035965714131752
2023-01,45,0.10001937669756765,0.2247627889156893,0.34167293091581413,0.04584010178469804
2023-02,53,0.09408419665107802,0.20693177078595132,0.29064135735588786,0.03811909650976703
2023-03,53,0.07019727253397516,0.20318798562845936,0.3146443371725981,0.0412441824047674
2023-04,57,0.08922212508815673,0.24335718754931285,0.3699422168403142,0.04391084645631037
2023-05,51,0.10001506851406926,0.30004520554220776,0.40468574937696,0.053536896893460806
2023-06,51,0.10001504028933723,0.2895230815907656,0.4414117594726734,0.053745041179878925
2023-07,51,0.10000571516275744,0.26719972763564703,0.3758138820795536,0.04820668454866309
2023-08,40,0.10001463086517133,0.2804785022472236,0.4163432848169988,0.05949883289520297
2023-09,49,0.1000045968473833,0.29708057534752286,0.4685793139052139,0.06340058515585002
2023-10,46,0.1000392643141345,0.2537509441851438,0.3746752882815866,0.05407422860916526
2023-11,35,0.10002467965752176,0.27171662922344697,0.41677079972986997,0.0676760165556695
2023-12,50,0.10000606038833582,0.24842636824321335,0.39068727897268396,0.05922821226238781
2024-01,47,0.10000739702940112,0.24173413008788952,0.3711373508770392,0.054666995447833336
2024-02,42,0.1000250234885998,0.2575476542953998,0.3814099166619161,0.05412080394433756
2024-03,44,0.09481015759899943,0.2786474544907842,0.43469881839205615,0.06095879797262599
2024-04,43,0.10002521766167648,0.2684331627530969,0.3845766921093548,0.05565550784156303
2024-05,49,0.10000378055781015,0.23025609108152292,0.33985598324551153,0.04530211522489203
2024-06,46,0.10001337946528245,0.2746953653590737,0.36873498238667435,0.04697340157270341
2024-07,42,0.1000151456865975,0.26129979429585454,0.35789504736324607,0.04652110138700235
2024-08,46,0.10003594680589009,0.2992767572222414,0.43126184867727285,0.058100062882186575
2024-09,46,0.10000456635187407,0.274162467066886,0.3844520182429385,0.05455505817309711
2024-10,42,0.08405479719979217,0.23086304755420872,0.35879718152176016,0.05289564630132145
2024-11,44,0.0917193032429819,0.26292200978511554,0.3891718073598958,0.050136059806154425
2024-12,43,0.09982600558769264,0.23606511014609083,0.34468489685571124,0.045448333315557234
2025-01,42,0.100000653387628,0.23321341962560344,0.3278039793145768,0.044095968670499225
2025-02,46,0.10000000002599047,0.21799079054747578,0.3209641328023118,0.04207642746945374
2025-03,36,0.10002016638598459,0.30006049915795374,0.4483735204603216,0.05823111547138391
2025-04,39,0.10001166545545513,0.3000349963663654,0.47674175515479555,0.0668512394897242
2025-05,38,0.10001514996439825,0.26730059533496875,0.3801857170737375,0.05285759514154833
2025-06,36,0.10003671082750112,0.3001101324825034,0.47829772811787163,0.06680554662215939
