titre,mois,score,rang_percentile,rang,ticker,date_cours,cell_id,cell_name,split
PRO,2021-01,2.398802651979054,1.0,1,PRO,2021-01-29,3,hybrid_static,val
AFM,2021-01,1.5094234384655867,0.9795918367346939,2,AFM,2021-01-29,3,hybrid_static,val
SID,2021-01,1.409813817317816,0.9591836734693877,3,SID,2021-01-29,3,hybrid_static,val
MIC,2021-01,1.0373620120295797,0.9387755102040817,4,MIC,2021-01-29,3,hybrid_static,val
DWY,2021-01,1.0046886399460244,0.9183673469387755,5,DWY,2021-01-29,3,hybrid_static,val
OUL,2021-01,0.9773628334136033,0.8979591836734694,6,OUL,2021-01-29,3,hybrid_static,val
SMI,2021-01,0.7516811441262434,0.8775510204081632,7,SMI,2021-01-29,3,hybrid_static,val
BCP,2021-01,0.6266376704322659,0.8571428571428572,8,BCP,2021-01-29,3,hybrid_static,val
JET,2021-01,0.5751305373377305,0.8367346938775511,9,JET,2021-01-29,3,hybrid_static,val
MSA,2021-01,0.566222020134003,0.8163265306122449,10,MSA,2021-01-29,3,hybrid_static,val
SNP,2021-01,0.5067767943530299,0.7959183673469388,11,SNP,2021-01-29,3,hybrid_static,val
ATL,2021-01,0.39599318025115376,0.7755102040816326,12,ATL,2021-01-29,3,hybrid_static,val
MNG,2021-01,0.3957335481255274,0.7551020408163265,13,MNG,2021-01-29,3,hybrid_static,val
M2M,2021-01,0.3133473991462189,0.7346938775510203,14,M2M,2021-01-29,3,hybrid_static,val
HPS,2021-01,0.28794203920537353,0.7142857142857143,15,HPS,2021-01-29,3,hybrid_static,val
BCI,2021-01,0.24343354712947213,0.6938775510204082,16,BCI,2021-01-29,3,hybrid_static,val
IAM,2021-01,0.2084416452011204,0.6734693877551021,17,IAM,2021-01-29,3,hybrid_static,val
IMO,2021-01,0.14330767651565912,0.653061224489796,18,IMO,2021-01-29,3,hybrid_static,val
TQM,2021-01,0.13639543608951762,0.6326530612244898,19,TQM,2021-01-29,3,hybrid_static,val
INV,2021-01,0.13601695763920424,0.6122448979591837,20,INV,2021-01-29,3,hybrid_static,val
DHO,2021-01,0.13002956792634834,0.5918367346938775,21,DHO,2021-01-29,3,hybrid_static,val
BOA,2021-01,0.06616656832610177,0.5714285714285714,22,BOA,2021-01-29,3,hybrid_static,val
ATW,2021-01,0.0631204078379819,0.5510204081632653,23,ATW,2021-01-29,3,hybrid_static,val
GAZ,2021-01,0.03323349569718434,0.5306122448979591,24,GAZ,2021-01-29,3,hybrid_static,val
MUT,2021-01,0.032276022656985565,0.5102040816326531,25,MUT,2021-01-29,3,hybrid_static,val
SID,2021-02,2.103528578006691,1.0,1,SID,2021-02-26,3,hybrid_static,val
SRM,2021-02,1.8474303750409595,0.9803921568627451,2,SRM,2021-02-26,3,hybrid_static,val
PRO,2021-02,1.096461241849059,0.9607843137254902,3,PRO,2021-02-26,3,hybrid_static,val
AFM,2021-02,1.034962896201802,0.9411764705882353,4,AFM,2021-02-26,3,hybrid_static,val
MIC,2021-02,0.9925192440580213,0.9215686274509804,5,MIC,2021-02-26,3,hybrid_static,val
JET,2021-02,0.9558622261205455,0.9019607843137255,6,JET,2021-02-26,3,hybrid_static,val
OUL,2021-02,0.8420231538668512,0.8823529411764706,7,OUL,2021-02-26,3,hybrid_static,val
DWY,2021-02,0.7103343558401809,0.8627450980392157,8,DWY,2021-02-26,3,hybrid_static,val
SMI,2021-02,0.6984524525509649,0.8431372549019608,9,SMI,2021-02-26,3,hybrid_static,val
SNP,2021-02,0.5935892069329185,0.8235294117647058,10,SNP,2021-02-26,3,hybrid_static,val
BCP,2021-02,0.5037958109421152,0.803921568627451,11,BCP,2021-02-26,3,hybrid_static,val
MNG,2021-02,0.5001897203834487,0.7843137254901961,12,MNG,2021-02-26,3,hybrid_static,val
M2M,2021-02,0.4903270938440041,0.7647058823529411,13,M2M,2021-02-26,3,hybrid_static,val
HPS,2021-02,0.34338721322682103,0.7450980392156863,14,HPS,2021-02-26,3,hybrid_static,val
ATL,2021-02,0.22955467573328023,0.7254901960784313,15,ATL,2021-02-26,3,hybrid_static,val
MSA,2021-02,0.19816981960130692,0.7058823529411764,16,MSA,2021-02-26,3,hybrid_static,val
DHO,2021-02,0.15597794403607984,0.6862745098039216,17,DHO,2021-02-26,3,hybrid_static,val
SBM,2021-02,0.14468132630209485,0.6666666666666667,18,SBM,2021-02-26,3,hybrid_static,val
LBV,2021-02,0.14244261317413298,0.6470588235294117,19,LBV,2021-02-26,3,hybrid_static,val
ARD,2021-02,0.10562896452257498,0.6274509803921569,20,ARD,2021-02-26,3,hybrid_static,val
BCI,2021-02,0.07900320523096116,0.607843137254902,21,BCI,2021-02-26,3,hybrid_static,val
IMO,2021-02,0.02062680988348442,0.5882352941176471,22,IMO,2021-02-26,3,hybrid_static,val
LHM,2021-02,0.016614818279634458,0.5686274509803921,23,LHM,2021-02-26,3,hybrid_static,val
INV,2021-02,0.000998000047750136,0.5490196078431373,24,INV,2021-02-26,3,hybrid_static,val
CIH,2021-02,-0.012444341429195233,0.5294117647058824,25,CIH,2021-02-26,3,hybrid_static,val
PRO,2021-03,2.454211797387224,1.0,1,PRO,2021-03-31,3,hybrid_static,val
SID,2021-03,2.004564201357814,0.9795918367346939,2,SID,2021-03-31,3,hybrid_static,val
JET,2021-03,1.3188199097883488,0.9591836734693877,3,JET,2021-03-31,3,hybrid_static,val
MIC,2021-03,1.2675446989525154,0.9387755102040817,4,MIC,2021-03-31,3,hybrid_static,val
AFM,2021-03,1.051292726219454,0.9183673469387755,5,AFM,2021-03-31,3,hybrid_static,val
DWY,2021-03,1.030680380465384,0.8979591836734694,6,DWY,2021-03-31,3,hybrid_static,val
MNG,2021-03,0.9416518817362383,0.8775510204081632,7,MNG,2021-03-31,3,hybrid_static,val
SNP,2021-03,0.891733181861706,0.8571428571428572,8,SNP,2021-03-31,3,hybrid_static,val
BCP,2021-03,0.861919651163732,0.8367346938775511,9,BCP,2021-03-31,3,hybrid_static,val
M2M,2021-03,0.8052149329115745,0.8163265306122449,10,M2M,2021-03-31,3,hybrid_static,val
ATL,2021-03,0.49212370035258457,0.7959183673469388,11,ATL,2021-03-31,3,hybrid_static,val
SMI,2021-03,0.4442554884130525,0.7755102040816326,12,SMI,2021-03-31,3,hybrid_static,val
MSA,2021-03,0.3992552089298404,0.7551020408163265,13,MSA,2021-03-31,3,hybrid_static,val
DHO,2021-03,0.36289374502289906,0.7346938775510203,14,DHO,2021-03-31,3,hybrid_static,val
IAM,2021-03,0.10965386724183465,0.7142857142857143,15,IAM,2021-03-31,3,hybrid_static,val
AGM,2021-03,0.10079375642067573,0.6938775510204082,16,AGM,2021-03-31,3,hybrid_static,val
CIH,2021-03,0.09468820504880032,0.6734693877551021,17,CIH,2021-03-31,3,hybrid_static,val
ARD,2021-03,-0.04250524317919657,0.653061224489796,18,ARD,2021-03-31,3,hybrid_static,val
ATW,2021-03,-0.06661387401419183,0.6326530612244898,19,ATW,2021-03-31,3,hybrid_static,val
LHM,2021-03,-0.0675537911123045,0.6122448979591837,20,LHM,2021-03-31,3,hybrid_static,val
IMO,2021-03,-0.09539545311120717,0.5918367346938775,21,IMO,2021-03-31,3,hybrid_static,val
CSR,2021-03,-0.1180569155356589,0.5714285714285714,22,CSR,2021-03-31,3,hybrid_static,val
LBV,2021-03,-0.1279465189856187,0.5510204081632653,23,LBV,2021-03-31,3,hybrid_static,val
LES,2021-03,-0.1295127367259915,0.5306122448979591,24,LES,2021-03-31,3,hybrid_static,val
BCI,2021-03,-0.14728362040142853,0.5102040816326531,25,BCI,2021-03-31,3,hybrid_static,val
SID,2021-04,1.8532986417897446,1.0,1,SID,2021-04-30,3,hybrid_static,val
JET,2021-04,1.535602487122746,0.9807692307692307,2,JET,2021-04-30,3,hybrid_static,val
MIC,2021-04,1.3151905117817808,0.9615384615384616,3,MIC,2021-04-30,3,hybrid_static,val
DWY,2021-04,1.106873866612636,0.9423076923076923,4,DWY,2021-04-30,3,hybrid_static,val
BCP,2021-04,0.9391104923945884,0.9230769230769231,5,BCP,2021-04-30,3,hybrid_static,val
AFM,2021-04,0.9261726816728588,0.9038461538461539,6,AFM,2021-04-30,3,hybrid_static,val
MNG,2021-04,0.8809344751238786,0.8846153846153846,7,MNG,2021-04-30,3,hybrid_static,val
M2M,2021-04,0.8717754779456094,0.8653846153846154,8,M2M,2021-04-30,3,hybrid_static,val
OUL,2021-04,0.8646095922674809,0.8461538461538461,9,OUL,2021-04-30,3,hybrid_static,val
SMI,2021-04,0.7652854904239286,0.8269230769230769,10,SMI,2021-04-30,3,hybrid_static,val
SNP,2021-04,0.6519911615124745,0.8076923076923077,11,SNP,2021-04-30,3,hybrid_static,val
SOT,2021-04,0.6188211430583472,0.7884615384615384,12,SOT,2021-04-30,3,hybrid_static,val
MSA,2021-04,0.5716785714841999,0.7692307692307692,13,MSA,2021-04-30,3,hybrid_static,val
DRI,2021-04,0.4811965415971192,0.75,14,DRI,2021-04-30,3,hybrid_static,val
ATL,2021-04,0.4698477707277188,0.7307692307692308,15,ATL,2021-04-30,3,hybrid_static,val
PRO,2021-04,0.3928937127901656,0.7115384615384616,16,PRO,2021-04-30,3,hybrid_static,val
DHO,2021-04,0.25756924476319415,0.6923076923076923,17,DHO,2021-04-30,3,hybrid_static,val
CMT,2021-04,0.20939233470707994,0.6730769230769231,18,CMT,2021-04-30,3,hybrid_static,val
LHM,2021-04,0.16156466695331095,0.6538461538461539,19,LHM,2021-04-30,3,hybrid_static,val
CSR,2021-04,0.15129939922890576,0.6346153846153846,20,CSR,2021-04-30,3,hybrid_static,val
HPS,2021-04,0.1123742836050626,0.6153846153846154,21,HPS,2021-04-30,3,hybrid_static,val
SBM,2021-04,0.06148591942658005,0.5961538461538461,22,SBM,2021-04-30,3,hybrid_static,val
LBV,2021-04,0.01772506791781661,0.5769230769230769,23,LBV,2021-04-30,3,hybrid_static,val
BOA,2021-04,0.008105246579519582,0.5576923076923077,24,BOA,2021-04-30,3,hybrid_static,val
AGM,2021-04,0.006253915680832889,0.5384615384615384,25,AGM,2021-04-30,3,hybrid_static,val
SID,2021-05,1.8297101528211044,1.0,1,SID,2021-05-31,3,hybrid_static,val
OUL,2021-05,1.223060844365526,0.9807692307692307,2,OUL,2021-05-31,3,hybrid_static,val
JET,2021-05,1.204968627042815,0.9615384615384616,3,JET,2021-05-31,3,hybrid_static,val
AFM,2021-05,1.1994604541894445,0.9423076923076923,4,AFM,2021-05-31,3,hybrid_static,val
SOT,2021-05,1.1592090709362086,0.9230769230769231,5,SOT,2021-05-31,3,hybrid_static,val
MIC,2021-05,1.0492837289284331,0.9038461538461539,6,MIC,2021-05-31,3,hybrid_static,val
M2M,2021-05,0.9515377157649452,0.8846153846153846,7,M2M,2021-05-31,3,hybrid_static,val
DWY,2021-05,0.8981355001924883,0.8653846153846154,8,DWY,2021-05-31,3,hybrid_static,val
SMI,2021-05,0.8627270076335263,0.8461538461538461,9,SMI,2021-05-31,3,hybrid_static,val
BCP,2021-05,0.8075126374513121,0.8269230769230769,10,BCP,2021-05-31,3,hybrid_static,val
MNG,2021-05,0.8015975714816309,0.8076923076923077,11,MNG,2021-05-31,3,hybrid_static,val
DRI,2021-05,0.6208564540658795,0.7884615384615384,12,DRI,2021-05-31,3,hybrid_static,val
ATL,2021-05,0.6083859621957713,0.7692307692307692,13,ATL,2021-05-31,3,hybrid_static,val
SNP,2021-05,0.4753139976772238,0.75,14,SNP,2021-05-31,3,hybrid_static,val
PRO,2021-05,0.42442881517441267,0.7307692307692308,15,PRO,2021-05-31,3,hybrid_static,val
DHO,2021-05,0.391273810056267,0.7115384615384616,16,DHO,2021-05-31,3,hybrid_static,val
MSA,2021-05,0.371370097792721,0.6923076923076923,17,MSA,2021-05-31,3,hybrid_static,val
CIH,2021-05,0.15908531261269854,0.6730769230769231,18,CIH,2021-05-31,3,hybrid_static,val
GAZ,2021-05,0.10116472245699126,0.6538461538461539,19,GAZ,2021-05-31,3,hybrid_static,val
CSR,2021-05,0.09188524465396547,0.6346153846153846,20,CSR,2021-05-31,3,hybrid_static,val
BOA,2021-05,0.07696905088708098,0.6153846153846154,21,BOA,2021-05-31,3,hybrid_static,val
CMT,2021-05,0.0393980567803022,0.5961538461538461,22,CMT,2021-05-31,3,hybrid_static,val
ATW,2021-05,0.03364661432602142,0.5769230769230769,23,ATW,2021-05-31,3,hybrid_static,val
BCI,2021-05,0.03027785746518502,0.5576923076923077,24,BCI,2021-05-31,3,hybrid_static,val
IAM,2021-05,0.02972708380765987,0.5384615384615384,25,IAM,2021-05-31,3,hybrid_static,val
BCP,2021-06,2.5769498883777997,1.0,1,BCP,2021-06-30,3,hybrid_static,val
PRO,2021-06,2.0861055924104317,0.9821428571428571,2,PRO,2021-06-30,3,hybrid_static,val
SOT,2021-06,1.7301333357727484,0.9642857142857143,3,SOT,2021-06-30,3,hybrid_static,val
