titre,mois,score,rang_percentile,rang,ticker,date_cours,cell_id,cell_name,split
SID,2021-01,0.609930838176969,1.0,1,SID,2021-01-29,2,ridge_adapt,val
AFM,2021-01,0.5440484309618836,0.9795918367346939,2,AFM,2021-01-29,2,ridge_adapt,val
OUL,2021-01,0.5018640464611875,0.9591836734693877,3,OUL,2021-01-29,2,ridge_adapt,val
MSA,2021-01,0.463244670369185,0.9387755102040817,4,MSA,2021-01-29,2,ridge_adapt,val
MNG,2021-01,0.4039816584170289,0.9183673469387755,5,MNG,2021-01-29,2,ridge_adapt,val
MIC,2021-01,0.4007702605492424,0.8979591836734694,6,MIC,2021-01-29,2,ridge_adapt,val
DWY,2021-01,0.39786990319695226,0.8775510204081632,7,DWY,2021-01-29,2,ridge_adapt,val
MOX,2021-01,0.38743387127033985,0.8571428571428572,8,MOX,2021-01-29,2,ridge_adapt,val
HPS,2021-01,0.36571053836000494,0.8367346938775511,9,HPS,2021-01-29,2,ridge_adapt,val
BCI,2021-01,0.35909098777905735,0.8163265306122449,10,BCI,2021-01-29,2,ridge_adapt,val
IAM,2021-01,0.35816444435735845,0.7959183673469388,11,IAM,2021-01-29,2,ridge_adapt,val
INV,2021-01,0.3294998283780811,0.7755102040816326,12,INV,2021-01-29,2,ridge_adapt,val
IMO,2021-01,0.32794813121137834,0.7551020408163265,13,IMO,2021-01-29,2,ridge_adapt,val
TQM,2021-01,0.32783666434870473,0.7346938775510203,14,TQM,2021-01-29,2,ridge_adapt,val
SMI,2021-01,0.31491770630709903,0.7142857142857143,15,SMI,2021-01-29,2,ridge_adapt,val
BOA,2021-01,0.3068274680350625,0.6938775510204082,16,BOA,2021-01-29,2,ridge_adapt,val
ATW,2021-01,0.3003402576233411,0.6734693877551021,17,ATW,2021-01-29,2,ridge_adapt,val
MUT,2021-01,0.29928047885841963,0.653061224489796,18,MUT,2021-01-29,2,ridge_adapt,val
GAZ,2021-01,0.2959645200271598,0.6326530612244898,19,GAZ,2021-01-29,2,ridge_adapt,val
CMT,2021-01,0.2944910682183633,0.6122448979591837,20,CMT,2021-01-29,2,ridge_adapt,val
LBV,2021-01,0.29125848515912506,0.5918367346938775,21,LBV,2021-01-29,2,ridge_adapt,val
PRO,2021-01,0.28842797283529176,0.5714285714285714,22,PRO,2021-01-29,2,ridge_adapt,val
BCP,2021-01,0.2640788006175757,0.5510204081632653,23,BCP,2021-01-29,2,ridge_adapt,val
CIH,2021-01,0.2593835439694125,0.5306122448979591,24,CIH,2021-01-29,2,ridge_adapt,val
EQD,2021-01,0.23543071830213833,0.5102040816326531,25,EQD,2021-01-29,2,ridge_adapt,val
SID,2021-02,0.6788135100116377,1.0,1,SID,2021-02-26,2,ridge_adapt,val
OUL,2021-02,0.28695441196463645,0.9803921568627451,2,OUL,2021-02-26,2,ridge_adapt,val
MNG,2021-02,0.24890080968186196,0.9607843137254902,3,MNG,2021-02-26,2,ridge_adapt,val
AFM,2021-02,0.23943388552460254,0.9411764705882353,4,AFM,2021-02-26,2,ridge_adapt,val
MIC,2021-02,0.23875763037288475,0.9215686274509804,5,MIC,2021-02-26,2,ridge_adapt,val
HPS,2021-02,0.1843477460235211,0.9019607843137255,6,HPS,2021-02-26,2,ridge_adapt,val
DWY,2021-02,0.15183609301516515,0.8823529411764706,7,DWY,2021-02-26,2,ridge_adapt,val
SMI,2021-02,0.151489754985842,0.8627450980392157,8,SMI,2021-02-26,2,ridge_adapt,val
MSA,2021-02,0.14177099170904767,0.8431372549019608,9,MSA,2021-02-26,2,ridge_adapt,val
SBM,2021-02,0.14069039081342313,0.8235294117647058,10,SBM,2021-02-26,2,ridge_adapt,val
LBV,2021-02,0.12581886147825766,0.803921568627451,11,LBV,2021-02-26,2,ridge_adapt,val
ARD,2021-02,0.12278557658287509,0.7843137254901961,12,ARD,2021-02-26,2,ridge_adapt,val
BCI,2021-02,0.1119527663422499,0.7647058823529411,13,BCI,2021-02-26,2,ridge_adapt,val
SNP,2021-02,0.10580259036054182,0.7450980392156863,14,SNP,2021-02-26,2,ridge_adapt,val
JET,2021-02,0.10518849320539192,0.7254901960784313,15,JET,2021-02-26,2,ridge_adapt,val
INV,2021-02,0.09364648903994638,0.7058823529411764,16,INV,2021-02-26,2,ridge_adapt,val
LHM,2021-02,0.09200244170686189,0.6862745098039216,17,LHM,2021-02-26,2,ridge_adapt,val
IMO,2021-02,0.09133449632906479,0.6666666666666667,18,IMO,2021-02-26,2,ridge_adapt,val
M2M,2021-02,0.0841089822241623,0.6470588235294117,19,M2M,2021-02-26,2,ridge_adapt,val
CIH,2021-02,0.08372495686992376,0.6274509803921569,20,CIH,2021-02-26,2,ridge_adapt,val
BCP,2021-02,0.07888823987851298,0.607843137254902,21,BCP,2021-02-26,2,ridge_adapt,val
GAZ,2021-02,0.07120418334074478,0.5882352941176471,22,GAZ,2021-02-26,2,ridge_adapt,val
ATW,2021-02,0.06692336873538654,0.5686274509803921,23,ATW,2021-02-26,2,ridge_adapt,val
CSR,2021-02,0.06542942516569059,0.5490196078431373,24,CSR,2021-02-26,2,ridge_adapt,val
TQM,2021-02,0.05790528340781814,0.5294117647058824,25,TQM,2021-02-26,2,ridge_adapt,val
SID,2021-03,0.6239212367009228,1.0,1,SID,2021-03-31,2,ridge_adapt,val
MNG,2021-03,0.40407357124306625,0.9795918367346939,2,MNG,2021-03-31,2,ridge_adapt,val
MIC,2021-03,0.2697997770370581,0.9591836734693877,3,MIC,2021-03-31,2,ridge_adapt,val
MSA,2021-03,0.23043375671915978,0.9387755102040817,4,MSA,2021-03-31,2,ridge_adapt,val
DWY,2021-03,0.18235724551790694,0.9183673469387755,5,DWY,2021-03-31,2,ridge_adapt,val
AFM,2021-03,0.1770437986954791,0.8979591836734694,6,AFM,2021-03-31,2,ridge_adapt,val
SNP,2021-03,0.1504559162296205,0.8775510204081632,7,SNP,2021-03-31,2,ridge_adapt,val
IAM,2021-03,0.13681323177479274,0.8571428571428572,8,IAM,2021-03-31,2,ridge_adapt,val
CIH,2021-03,0.13066938562887973,0.8367346938775511,9,CIH,2021-03-31,2,ridge_adapt,val
M2M,2021-03,0.12084126334338846,0.8163265306122449,10,M2M,2021-03-31,2,ridge_adapt,val
