titre,mois,score,rang_percentile,rang,ticker,date_cours,cell_id,cell_name,split
PRO,2021-01,2.4191510024452088,1.0,1,PRO,2021-01-29,4,hybrid_adapt,val
AFM,2021-01,1.5221255569401906,0.9795918367346939,2,AFM,2021-01-29,4,hybrid_adapt,val
SID,2021-01,1.352650058294274,0.9591836734693877,3,SID,2021-01-29,4,hybrid_adapt,val
MIC,2021-01,1.0240567812978438,0.9387755102040817,4,MIC,2021-01-29,4,hybrid_adapt,val
DWY,2021-01,1.0150244452715098,0.9183673469387755,5,DWY,2021-01-29,4,hybrid_adapt,val
OUL,2021-01,0.9962195209921525,0.8979591836734694,6,OUL,2021-01-29,4,hybrid_adapt,val
SMI,2021-01,0.7498420952170683,0.8775510204081632,7,SMI,2021-01-29,4,hybrid_adapt,val
BCP,2021-01,0.6080806337893578,0.8571428571428572,8,BCP,2021-01-29,4,hybrid_adapt,val
MSA,2021-01,0.5624187176818798,0.8367346938775511,9,MSA,2021-01-29,4,hybrid_adapt,val
JET,2021-01,0.5518870313520392,0.8163265306122449,10,JET,2021-01-29,4,hybrid_adapt,val
SNP,2021-01,0.4880000503040544,0.7959183673469388,11,SNP,2021-01-29,4,hybrid_adapt,val
ATL,2021-01,0.3794421819370341,0.7755102040816326,12,ATL,2021-01-29,4,hybrid_adapt,val
MNG,2021-01,0.3778609639754772,0.7551020408163265,13,MNG,2021-01-29,4,hybrid_adapt,val
M2M,2021-01,0.28499719774312393,0.7346938775510203,14,M2M,2021-01-29,4,hybrid_adapt,val
HPS,2021-01,0.26552785648589905,0.7142857142857143,15,HPS,2021-01-29,4,hybrid_adapt,val
BCI,2021-01,0.23806176946260763,0.6938775510204082,16,BCI,2021-01-29,4,hybrid_adapt,val
IAM,2021-01,0.2221403718371547,0.6734693877551021,17,IAM,2021-01-29,4,hybrid_adapt,val
TQM,2021-01,0.14758047444382655,0.653061224489796,18,TQM,2021-01-29,4,hybrid_adapt,val
INV,2021-01,0.14590854051398047,0.6326530612244898,19,INV,2021-01-29,4,hybrid_adapt,val
IMO,2021-01,0.14107622210683554,0.6122448979591837,20,IMO,2021-01-29,4,hybrid_adapt,val
DHO,2021-01,0.10740830807898394,0.5918367346938775,21,DHO,2021-01-29,4,hybrid_adapt,val
BOA,2021-01,0.07530193854937342,0.5714285714285714,22,BOA,2021-01-29,4,hybrid_adapt,val
ATW,2021-01,0.05509937134987539,0.5510204081632653,23,ATW,2021-01-29,4,hybrid_adapt,val
MUT,2021-01,0.05179899254973011,0.5306122448979591,24,MUT,2021-01-29,4,hybrid_adapt,val
CMT,2021-01,0.043735122763336715,0.5102040816326531,25,CMT,2021-01-29,4,hybrid_adapt,val
SID,2021-02,2.1117618395056956,1.0,1,SID,2021-02-26,4,hybrid_adapt,val
