cell,configuration,mois,date_rebalance,portfolio,ticker,weight,recommendation,predicted_return,conviction_score,score_opt,liquidity_vmq_20j,L_sigmoid,held,sell_mode,eligible_vmq,n_candidates,n_positions,expected_alpha_raw,cvar_95,liquidity_L_weighted,status,portfolio_ret_month,turnover,liquidite_ponderee,n_titres,ret_holding,contribution,eligible_vmq_500k,liquidity_role,min_vmq_threshold,protocol_window
1,C1 Ridge,2023-01,2023-01-31,P_selected,AFI,0.187739408913325,BUY,0.3824780109494257,0.3824780109494257,0.3824780109494257,11583.6,0.02156964936465813,1,exclude,0,56,51,0.271345,0.011839,0.624,ok,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,0.00014705882352950006,2.760873660491731e-05,0,pareto,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,ATW,0.06158839657317657,BUY,0.3984766275224063,0.3984766275224063,0.3984766275224063,15659908.55,1.0,1,exclude,1,56,51,0.271345,0.011839,0.624,ok,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,0.15616438356164375,0.009617913985400172,1,pareto,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,CSR,0.06135867807303851,BUY,0.8647683893090082,0.8647683893090082,0.8647683893090082,2767953.9,1.0,1,exclude,1,56,51,0.271345,0.011839,0.624,ok,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,0.04651162790697683,0.002853892003397145,1,pareto,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,IAM,0.052974522421096244,BUY,0.43277034582085794,0.43277034582085794,0.43277034582085794,13544039.144499999,1.0,1,exclude,1,56,51,0.271345,0.011839,0.624,ok,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,-0.022105263157894628,-0.0011710157587821216,1,pareto,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,EQD,0.04582558566421623,NEUTRAL,-0.03695534581443524,-0.03695534581443524,-0.01847767290721762,628779.08,0.9976721166948841,1,exclude,1,56,51,0.271345,0.011839,0.624,ok,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,0.0986254295532647,0.004519568070663255,1,pareto,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,ADI,0.039995382921511426,NEUTRAL,-0.07246722287651061,-0.07246722287651061,-0.036233611438255306,1233006.9115,0.999999852304148,1,exclude,1,56,51,0.271345,0.011839,0.624,ok,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,0.07692307692307687,0.0030765679170393382,1,pareto,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,CMA,0.03968106248188794,BUY,0.19108295778065082,0.19108295778065082,0.19108295778065082,2986329.6,1.0,1,exclude,1,56,51,0.271345,0.011839,0.624,ok,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,0.05551149881046791,0.0022027552527614253,1,pareto,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,TGC,0.039169407621413084,BUY,0.19113078942517264,0.19113078942517264,0.19113078942517264,611269.9075,0.9969217729919869,1,exclude,1,56,51,0.271345,0.011839,0.624,ok,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,0.10172413793103452,0.00398447422355754,1,pareto,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,LBV,0.03831029133760336,BUY,0.16998654107301625,0.16998654107301625,0.16998654107301625,2657280.1,1.0,1,exclude,1,56,51,0.271345,0.011839,0.624,ok,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,0.06024096385542177,0.0023078488757592415,1,pareto,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,MIC,0.03725487045098405,BUY,0.1890112592373126,0.1890112592373126,0.1890112592373126,469446.37,0.9710031334170166,1,exclude,0,56,51,0.271345,0.011839,0.624,ok,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,0.04566385264773598,0.0017012009146842291,0,pareto,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,CTM,0.03539179351616027,BUY,0.1129254638936418,0.1129254638936418,0.1129254638936418,6032.49,0.019772741188709794,1,exclude,0,56,51,0.271345,0.011839,0.624,ok,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,0.040000000000000036,0.0014156717406464121,0,pareto,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,M2M,0.03519222953389789,BUY,0.34597465753636863,0.34597465753636863,0.34597465753636863,63022.17,0.04780474186817434,1,exclude,0,56,51,0.271345,0.011839,0.624,ok,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,0.0,0.0,0,pareto,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,GAZ,0.03401126292018454,NEUTRAL,0.061276381366186364,0.061276381366186364,0.030638190683093182,1628466.1,0.9999999997361018,1,exclude,1,56,51,0.271345,0.011839,0.624,ok,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,0.03402298850574703,0.001157164807399379,1,pareto,500000.0,2023-01_2025-06
1,C1 Ridge,2023-01,2023-01-31,P_selected,TQM,0.029968480431926698,BUY,0.5169882408441534,0.5169882408441534,0.5169882408441534,574601.905,0.9944788380348597,1,exclude,1,56,51,0.271345,0.011839,0.624,ok,0.04976921390266664,0.9996758889422436,0.5141034247962223,51,0.042105263157894646,0.0012618307550284898,1,pareto,500000.0,2023-01_2025-06
