Comparaison,cell_a,cell_b,d_Return_ann,d_Sharpe,d_Sortino,d_CVaR,d_MaxDD,d_Turnover
C2 vs C1,2,1,0.01679999999999998,0.013000000000000345,0.018999999999999684,0.0011000000000000003,-0.017900000000000013,-0.0464
C3 vs C1,3,1,0.04409999999999997,0.133,0.21799999999999997,0.0010000000000000009,-0.009300000000000017,0.006800000000000028
C4 vs C1,4,1,0.045999999999999985,0.13900000000000023,0.21599999999999975,0.0010000000000000009,-0.0016000000000000042,-0.006599999999999939
C4 vs C3,4,3,0.0019000000000000128,0.006000000000000227,-0.002000000000000224,0.0,0.007700000000000012,-0.013399999999999967
