mois,sum_w,n_titres,w_min,w_max,n_above_040,n_below_0
2023-01,0.9998462581897681,37,0.00011352782478862389,0.2813897438980347,0,0
2023-02,1.0,40,0.00013222762082376542,0.18963581393779333,0,0
2023-03,0.9999999999999999,39,0.00010514606841391376,0.3163958957038183,0,0
2023-04,0.999860455965874,34,0.000250343039758725,0.24180034214928672,0,0
2023-05,0.9999027437943876,34,0.00010407734608371664,0.19417820529723454,0,0
2023-06,0.9997273361106397,38,0.00014515942470001508,0.27111551553258467,0,0
2023-07,0.9998380121929323,28,0.0001388421467985905,0.4,0,0
2023-08,0.9998105220535082,27,0.0001087469145350491,0.3972006157013419,0,0
2023-09,0.999762243833339,33,0.00014569710422944135,0.32707833270049486,0,0
2023-10,0.9998789287933426,35,0.00017696946026556323,0.3201959997076178,0,0
2023-11,0.9998617267828939,34,0.0001937045655356931,0.36457793988766113,0,0
2023-12,0.9998570181319866,32,0.00026790687442009947,0.319612776281863,0,0
2024-01,0.9999999999473338,32,0.00018613749120181225,0.28967603759997346,0,0
2024-02,0.999950745326691,30,0.0001503945909013712,0.3164629492905493,0,0
2024-03,0.9999637831938385,31,0.00011333239594004337,0.36743055276500297,0,0
2024-04,0.9999803761637571,35,0.000140013319093359,0.3100485324620883,0,0
2024-05,0.9996743750772867,31,0.00013121618022771605,0.3630581182406374,0,0
2024-06,0.9999500004274325,33,0.00010576421639296102,0.2929212599899984,0,0
2024-07,0.999881513752082,33,0.00010590739629133886,0.335296429581328,0,0
2024-08,0.9998384822463814,33,0.00011503100147501091,0.137810426102381,0,0
2024-09,0.9998501498707525,32,0.00015182100819647975,0.23335730381003916,0,0
2024-10,0.9999970376418039,28,0.00015497237334838706,0.16040466320930474,0,0
2024-11,0.9999708748143941,32,0.00021815281985678,0.12840181415135102,0,0
2024-12,0.9999315649365089,32,0.0003222725927207482,0.24046288581882627,0,0
2025-01,0.9999982832212659,39,0.00031656955135820627,0.07214601364680998,0,0
2025-02,0.999996013203665,35,0.00014503823019929745,0.09126249493618194,0,0
2025-03,0.9999516917372142,37,0.00015380122453702893,0.15044573207231524,0,0
2025-04,0.9998167033645861,39,0.0002727872067685972,0.1356157682258576,0,0
2025-05,0.9999351306291879,35,0.00010373438272376112,0.09881902895047505,0,0
2025-06,0.9998379710006732,36,0.0002180585602962162,0.126622929664339,0,0
