model_id,cell,groupe,fold_id,mois,date_rebalance,status,error,n_candidates,n_positions_selected,expected_alpha_selected,cvar_selected,liquidity_L_selected,n_pareto,turnover_vs_prev
c1_ridge,,C1_ridge,60,2023-07,2023-07-31,ok,,49,46,0.344145,0.013322,0.8594,16,0.0
c1_ridge,,C1_ridge,60,2023-08,2023-08-31,ok,,47,44,0.366772,0.011886,0.786,21,0.4779
c1_ridge,,C1_ridge,60,2023-09,2023-09-27,ok,,55,43,0.242644,0.012413,0.8748,20,0.5032
c1_ridge,,C1_ridge,60,2023-10,2023-10-31,ok,,54,46,0.289862,0.013191,0.767,19,0.4633
c1_ridge,,C1_ridge,60,2023-11,2023-11-30,ok,,54,45,0.239734,0.010773,0.7215,24,0.4531
c1_ridge,,C1_ridge,60,2023-12,2023-12-29,ok,,58,46,0.262497,0.009389,0.7641,20,0.5113
