model_id,cell,groupe,fold_id,mois,date_rebalance,status,error,n_candidates,n_positions_selected,expected_alpha_selected,cvar_selected,liquidity_L_selected,n_pareto,turnover_vs_prev
c5_hybrid_tri_regime,,C5_hybrid_tri_regime,6,2019-01,2019-01-31,ok,,25,21,0.729733,0.009912,0.6222,20,0.0
c5_hybrid_tri_regime,,C5_hybrid_tri_regime,6,2019-02,2019-02-28,ok,,25,24,0.70835,0.009428,0.7255,26,0.3841
c5_hybrid_tri_regime,,C5_hybrid_tri_regime,6,2019-03,2019-03-29,ok,,26,25,0.558935,0.008568,0.4267,19,0.4361
c5_hybrid_tri_regime,,C5_hybrid_tri_regime,6,2019-04,2019-04-30,ok,,24,24,0.906054,0.008035,0.5296,22,0.3699
c5_hybrid_tri_regime,,C5_hybrid_tri_regime,6,2019-05,2019-05-31,ok,,19,17,0.611766,0.009651,0.5587,23,0.3489
c5_hybrid_tri_regime,,C5_hybrid_tri_regime,6,2019-06,2019-06-28,ok,,22,19,0.756846,0.009388,0.655,20,0.3784
