model_id,cell,groupe,fold_id,mois,date_rebalance,status,error,n_candidates,n_positions_selected,expected_alpha_selected,cvar_selected,liquidity_L_selected,n_pareto,turnover_vs_prev
ridge,,classique,30,2021-01,2021-01-29,ok,,27,21,0.107396,0.019889,0.9994,9,0.0
ridge,,classique,30,2021-02,2021-02-26,ok,,23,20,0.170224,0.020474,0.9997,9,0.1784
ridge,,classique,30,2021-03,2021-03-31,ok,,24,23,0.154186,0.018044,1.0,9,0.3384
ridge,,classique,30,2021-04,2021-04-30,ok,,22,21,0.215787,0.01784,0.9981,9,0.4422
ridge,,classique,30,2021-05,2021-05-31,ok,,31,25,0.193377,0.015006,1.0,9,0.431
ridge,,classique,30,2021-06,2021-06-30,ok,,32,31,0.217295,0.013362,0.9982,9,0.3607
