w_ridge,w_rf,cell_id,label,delta_IC_mean_14,IC_mean_alt_14,IC_median_alt_14,dm_stat_hln,pvalue_hln,significant_5pct,n_blocks
0.5,0.5,3,hybrid_static,0.004323860228219137,0.048902275162912436,0.03532854171393281,0.33547577271016044,0.7426183788360798,False,14
0.5,0.5,4,hybrid_adapt,0.004566896719191957,0.049145311653885256,0.03786587033321417,0.3505523905550133,0.7315392458293717,False,14
0.7,0.3,3,hybrid_static,0.004518782442189263,0.04909719737688256,0.03676746637192594,0.5996720132032717,0.5590324127989855,False,14
0.7,0.3,4,hybrid_adapt,0.004667239048476476,0.049245653983169775,0.03502765587642573,0.5997001233740835,0.5590142365665353,False,14
0.8,0.2,3,hybrid_static,0.0037541128117265996,0.0483325277464199,0.04408089769804098,0.7632412636813155,0.45894704356022176,False,14
0.8,0.2,4,hybrid_adapt,0.0038177605207825663,0.048396175455475865,0.04062270890025163,0.7487174122202538,0.46735875527975934,False,14
0.9,0.1,3,hybrid_static,0.002129336404055847,0.046707751338749146,0.041188148216236425,0.9009225295908277,0.38401641318047974,False,14
0.9,0.1,4,hybrid_adapt,0.002039250157656894,0.04661766509235019,0.038378001850155156,0.7795187038090208,0.4496333064007392,False,14
0.3,0.7,3,hybrid_static,0.004394751718129496,0.048973166652822794,0.040083093507778035,0.25035601418565206,0.8062250771537292,False,14
0.3,0.7,4,hybrid_adapt,0.004620981572488227,0.049199396507181525,0.04104349393562415,0.2624807253900653,0.7970643874159076,False,14
