cellule,modele,regime,IC_mean,IC_median,IC_std,hit_mean,n_folds
1,ridge,False,0.04457841493469332,0.03482610907837348,0.11717953522416281,0.5126480447485205,14
2,ridge,True,0.04439833195437852,0.03226739929832285,0.1168592097445407,0.5082903427640021,14
3,hybrid,False,0.052964011402170885,0.040225152312461626,0.10863282778855363,0.5277783132654216,14
4,hybrid,True,0.05342197789854478,0.041852447400989166,0.1086980795870859,0.5278373780588218,14
