Configuration,cell,fold_id,test_start_month,test_end_month,mean_BUY,mean_NEUTRAL,mean_SELL,spread_BUY_NEUTRAL,spread_NEUTRAL_SELL,spread_BUY_SELL,order_ok,metric
C1 Ridge,1,0,2018-07,2018-12,0.015168793549613152,-0.016632670237067375,-0.06775520188960306,0.03180146378668053,0.051122531652535684,0.0829239954392162,True,future_excess
C1 Ridge,1,6,2019-01,2019-06,-0.0041788347907909,-0.0244056252879715,-0.043591348749391454,0.0202267904971806,0.019185723461419953,0.039412513958600556,True,future_excess
C1 Ridge,1,12,2019-07,2019-12,0.02313502426031818,0.005215047778259747,0.0043656760620096255,0.017919976482058432,0.0008493717162501215,0.018769348198308555,True,future_excess
C1 Ridge,1,18,2020-01,2020-06,0.015620290050957877,0.024478001129932845,0.032051148809577455,-0.008857711078974968,-0.00757314767964461,-0.016430858758619576,False,future_excess
C1 Ridge,1,24,2020-07,2020-12,0.009818510333738126,-0.005421317718719352,-0.027292016237484465,0.01523982805245748,0.02187069851876511,0.03711052657122259,True,future_excess
C1 Ridge,1,30,2021-01,2021-06,0.03337987706440415,0.022641493014058302,0.015465099207338056,0.01073838405034585,0.007176393806720246,0.017914777857066095,True,future_excess
C1 Ridge,1,36,2021-07,2021-12,0.013270781745077148,0.0080793139379561,0.057819695084921935,0.005191467807121049,-0.049740381146965836,-0.04454891333984479,False,future_excess
C1 Ridge,1,42,2022-01,2022-06,0.009259855240254787,0.011746538215412146,0.03587672595290779,-0.002486682975157358,-0.024130187737495645,-0.026616870712653007,False,future_excess
C1 Ridge,1,48,2022-07,2022-12,0.020186207346394314,0.027950093009576946,0.02634904223001438,-0.007763885663182632,0.001601050779562567,-0.006162834883620065,False,future_excess
C1 Ridge,1,54,2023-01,2023-06,-0.020321906737270766,-0.006258777794094929,0.024176926433519957,-0.014063128943175837,-0.030435704227614886,-0.04449883317079072,False,future_excess
C1 Ridge,1,60,2023-07,2023-12,0.020281810213722915,-0.027316503987130505,-0.015239522754315633,0.04759831420085342,-0.012076981232814872,0.03552133296803855,False,future_excess
C1 Ridge,1,66,2024-01,2024-06,0.08941464942118463,0.0571623672716648,0.00854209732779631,0.03225228214951983,0.04862026994386849,0.08087255209338831,True,future_excess
C1 Ridge,1,72,2024-07,2024-12,0.018858330763310942,-0.03359681562693357,0.04606922100153165,0.05245514639024451,-0.07966603662846522,-0.02721089023822071,False,future_excess
C1 Ridge,1,78,2025-01,2025-06,0.01718644107997901,-0.0008400229022652854,0.02549914621487847,0.018026463982244296,-0.026339169117143756,-0.00831270513489946,False,future_excess
C2 Ridge + régime,2,0,2018-07,2018-12,0.02124066357628913,0.005101149736832166,-0.03912557057227914,0.016139513839456963,0.0442267203091113,0.060366234148568274,True,future_excess
C2 Ridge + régime,2,6,2019-01,2019-06,-0.005336208901881526,-0.02232892527612698,-0.032093919256388256,0.016992716374245452,0.009764993980261278,0.02675771035450673,True,future_excess
C2 Ridge + régime,2,12,2019-07,2019-12,0.018478714646406328,0.012306468539772382,0.006617693751851402,0.006172246106633946,0.00568877478792098,0.011861020894554927,True,future_excess
C2 Ridge + régime,2,18,2020-01,2020-06,0.017693214094670246,0.024034115275648513,0.02343372231318147,-0.006340901180978267,0.0006003929624670418,-0.005740508218511225,False,future_excess
C2 Ridge + régime,2,24,2020-07,2020-12,0.009967367741501401,-0.007688071540570341,-0.03919705184775771,0.017655439282071743,0.031508980307187365,0.04916441958925911,True,future_excess
C2 Ridge + régime,2,30,2021-01,2021-06,0.03858675097618217,0.010322159574494463,0.00954010241560587,0.02826459140168771,0.0007820571588885925,0.029046648560576302,True,future_excess
C2 Ridge + régime,2,36,2021-07,2021-12,0.009730451670149904,0.025864698893803367,0.05149260645270992,-0.01613424722365346,-0.025627907558906555,-0.04176215478256002,False,future_excess
C2 Ridge + régime,2,42,2022-01,2022-06,-0.008571748596765344,0.01651858980303765,0.026403140635995397,-0.025090338399802993,-0.009884550832957747,-0.03497488923276074,False,future_excess
C2 Ridge + régime,2,48,2022-07,2022-12,0.017313121930656303,0.027478991182589323,0.025946766502700953,-0.01016586925193302,0.00153222467988837,-0.00863364457204465,False,future_excess
C2 Ridge + régime,2,54,2023-01,2023-06,-0.020415013317838543,-0.00869570903276962,0.0338833423470866,-0.011719304285068923,-0.04257905137985622,-0.05429835566492514,False,future_excess
C2 Ridge + régime,2,60,2023-07,2023-12,0.01955842171883339,-0.019422460438287516,-0.01673725296246483,0.03898088215712091,-0.0026852074758226853,0.036295674681298226,False,future_excess
C2 Ridge + régime,2,66,2024-01,2024-06,0.09083551010715636,0.0582560376812881,0.0038239855301573132,0.03257947242586826,0.05443205215113078,0.08701152457699905,True,future_excess
C2 Ridge + régime,2,72,2024-07,2024-12,0.021470308676364454,-0.022491641524309647,0.03900367970263313,0.0439619502006741,-0.061495321226942776,-0.017533371026268677,False,future_excess
C2 Ridge + régime,2,78,2025-01,2025-06,0.01610777319669601,0.00620715818800667,0.02367591079530845,0.009900615008689339,-0.01746875260730178,-0.00756813759861244,False,future_excess
C3 Hybrid,3,0,2018-07,2018-12,-0.0009321646689105399,0.03619446179705657,-0.017199126874082833,-0.03712662646596711,0.0533935886711394,0.016266962205172292,False,future_excess
C3 Hybrid,3,6,2019-01,2019-06,0.004325538259140113,-0.012394978350463746,-0.024201258178262127,0.016720516609603858,0.011806279827798381,0.02852679643740224,True,future_excess
