fold_id,cell_id,test_start_month,test_end_month,rank_ic,hit_ratio,sharpe_ls
0,1,2018-07,2018-12,0.2261181597707891,0.5799932065217391,3.1160002354656613
1,1,2018-08,2019-01,0.2626150722619161,0.6022165387894288,3.0685980111255007
2,1,2018-09,2019-02,0.2598575238870991,0.5996621621621622,4.069823544915428
3,1,2018-10,2019-03,0.224514520633165,0.5890227576974565,3.3443186039524258
4,1,2018-11,2019-04,0.1543809760323941,0.5473257971992577,1.5783122374366163
5,1,2018-12,2019-05,0.0999498202975954,0.5103516266841932,1.2076494949692034
6,1,2019-01,2019-06,0.023557506128086,0.4828755510342489,-1.1747100690983918
7,1,2019-02,2019-07,0.0287918274940759,0.4718404290982232,-0.3803400377871678
8,1,2019-03,2019-08,0.0511331308226534,0.4738466815297547,-0.1145879240829697
9,1,2019-04,2019-09,0.1042136429343705,0.5044688896528017,0.8794025653172404
10,1,2019-05,2019-10,0.1026476415863872,0.5081144386816129,0.4305032911732265
11,1,2019-06,2019-11,0.1131726572799699,0.5326236263736264,1.206842991653564
12,1,2019-07,2019-12,0.1350742646767919,0.5408866995073892,1.2862723730903889
13,1,2019-08,2020-01,0.0650743081359368,0.5343337139129016,0.156309633802373
14,1,2019-09,2020-02,0.0208268236162351,0.5290199809705043,-1.2545237466742174
15,1,2019-10,2020-03,-0.0067828171652724,0.5212682467430545,0.1801605180729704
16,1,2019-11,2020-04,-0.0213458193393169,0.5260041606657065,0.9689989282985172
17,1,2019-12,2020-05,-0.0018486202834965,0.5357085540041727,-0.4067214324900946
18,1,2020-01,2020-06,0.0028020904447507,0.5302370585389453,-0.4343515219653727
19,1,2020-02,2020-07,-0.0104218814242583,0.5015404572725799,-2.0645626711561555
20,1,2020-03,2020-08,-0.0715846087920986,0.4693446088794926,-3.829268086028486
21,1,2020-04,2020-09,-0.1288701498914111,0.4357813005499838,-3.5923122647723846
22,1,2020-05,2020-10,-0.106835707075297,0.4384364820846905,-2.292820207406851
23,1,2020-06,2020-11,-0.0986855270315969,0.4489598451862602,-1.0502652457475188
24,1,2020-07,2020-12,-0.0620921075316377,0.4634338966987837,-0.2398444705272053
25,1,2020-08,2021-01,-0.0249671091056773,0.4878636875100466,-0.248143725580741
26,1,2020-09,2021-02,-0.0310205007651206,0.5050456511292648,-0.701746440576935
27,1,2020-10,2021-03,0.0007533940672435,0.5132476598445185,1.9432909124014244
28,1,2020-11,2021-04,0.0520040209519872,0.5177791640673737,2.5410170337977167
29,1,2020-12,2021-05,0.0515598917331663,0.5241486068111455,4.030980855553498
30,1,2021-01,2021-06,0.0691494355397353,0.5296824666359871,4.513266852561755
31,1,2021-02,2021-07,0.0989720721615978,0.5334137879016443,4.42100992321796
32,1,2021-03,2021-08,0.0867312321841282,0.5245585398427066,3.421153321063813
33,1,2021-04,2021-09,0.0894830852826784,0.5260294117647059,2.724015778080961
34,1,2021-05,2021-10,0.0543750809343982,0.5112602535421328,0.381784483593941
35,1,2021-06,2021-11,0.0042933016817478,0.497027693199942,-2.006850828642594
36,1,2021-07,2021-12,-0.1115310489749652,0.4629709831095712,-2.9623014964833407
37,1,2021-08,2022-01,-0.1987636793422188,0.4428448027641808,-4.849514974827784
38,1,2021-09,2022-02,-0.23806185646531,0.4331283078243456,-8.58348759185519
39,1,2021-10,2022-03,-0.2385460843563483,0.4314168667890945,-5.5895953778236445
40,1,2021-11,2022-04,-0.2025950000113017,0.4512515558014106,-5.581056450875825
41,1,2021-12,2022-05,-0.2123596481025582,0.4448928472028945,-3.9029725876726906
42,1,2022-01,2022-06,-0.1347384235893713,0.4663038928421933,-2.276012379265559
43,1,2022-02,2022-07,-0.0997404787008594,0.4792282777073651,-2.37978299317443
44,1,2022-03,2022-08,-0.0309859716222528,0.5187439479872735,-0.7542916743694921
45,1,2022-04,2022-09,-0.0148383461703528,0.5322376738305942,0.0156213131769227
46,1,2022-05,2022-10,-0.04014687255388,0.5375796178343949,-0.76013122287804
47,1,2022-06,2022-11,-0.0092554690767888,0.549852341442835,-1.7887453967350089
48,1,2022-07,2022-12,-0.0151405011913952,0.5507185712292452,-2.956762146861355
49,1,2022-08,2023-01,-0.0030345986607967,0.5575912703758589,-1.2992551501059426
50,1,2022-09,2023-02,-0.0204466108980544,0.5241640720184108,-3.169832679375961
51,1,2022-10,2023-03,-0.0487474879494043,0.495137976346912,-2.361914271241809
52,1,2022-11,2023-04,-0.0451205557795738,0.48838430240189,-2.8224579867265907
53,1,2022-12,2023-05,-0.0092595714655218,0.4844768110387121,-1.49023473363387
54,1,2023-01,2023-06,-0.0428984930295573,0.4461972553546235,-0.8584515500389288
