cellule,modele,regime,name,IC_val,IC_pearson_val,hit_ratio_val,top25_ok_val,n_months_val,IC_test,IC_pearson_test,hit_ratio_test,top25_ok_test,n_months_test
1,ridge,False,ridge_static,-0.04915603442817457,-0.013112777278394102,0.499532037437005,True,24,0.054641007818805015,0.05396843528379995,0.4818458489631255,True,32
2,ridge,True,ridge_adapt,-0.04858259018759181,-0.01309286225007655,0.4783297336213103,True,24,0.051292899999592884,0.05054481113612954,0.48635194753108263,True,32
3,hybrid,False,hybrid_static,-0.02696941055602639,0.03208574172848686,0.4787616990640749,True,24,0.04792650311703307,0.002293962377456474,0.5398825111472857,True,32
4,hybrid,True,hybrid_adapt,-0.027379448646416307,0.030917929981906928,0.478869690424766,True,24,0.045997534377785906,-4.429799790222423e-05,0.5402363932337745,True,32
