Configuration,cell,n_blocks,mean_BUY,mean_NEUTRAL,mean_SELL,spread_BUY_NEUTRAL_mean,spread_NEUTRAL_SELL_mean,spread_BUY_SELL_mean,spread_BUY_SELL_median,spread_BUY_SELL_std,pct_blocks_BUY_gt_SELL,pct_blocks_full_order,metric,rank_BUY_SELL
C1 Ridge,1,14,-0.058047324653138,-0.4282516955761219,0.15267224823109346,0.3702043709229838,-0.5809239438072152,-0.21071957288423152,-0.08463365937172368,0.7469119016368377,0.5,0.14285714285714285,future_alpha,3
C2 Ridge + régime,2,14,-0.04821975071488512,-0.2984648080980744,0.19645141508634476,0.2502450573831892,-0.494916223184419,-0.24467116580122986,-0.17833634170911639,0.8054873426627537,0.35714285714285715,0.07142857142857142,future_alpha,4
C3 Hybrid,3,14,-0.11023992302313382,0.07594986147333452,-0.11228181374353476,-0.18618978449646834,0.1882316752168693,0.0020418907204009596,-0.047471236958148394,1.130579998859025,0.42857142857142855,0.35714285714285715,future_alpha,2
C4 Hybrid + régime,4,14,-0.10544906975556358,0.08126119015290152,-0.1158523516838773,-0.18671025990846513,0.19711354183677882,0.010403281928313706,-0.05622170443982953,1.120096283290703,0.42857142857142855,0.2857142857142857,future_alpha,1
