fold_id,cell_id,cell_name,model,regime,train_start_month,train_end_month,test_start_month,test_end_month,n_train,n_test,n_features,clip_lower,clip_upper,rank_ic,ic_pearson,hit_ratio,sharpe_ls
0,1,ridge_static,ridge,False,2015-07,2018-06,2018-07,2018-12,36666,5888,33,-5.4251587137898545,7.825901359772773,0.2047196935596903,0.14262577788558248,0.5769361413043478,3.2663050201536823
0,2,ridge_adapt,ridge,True,2015-07,2018-06,2018-07,2018-12,36666,5888,36,-5.4251587137898545,7.825901359772773,0.20499090164129805,0.14354566836653418,0.5849184782608695,3.436695610091885
0,3,hybrid_static,hybrid,False,2015-07,2018-06,2018-07,2018-12,36666,5888,33,-5.4251587137898545,7.825901359772773,0.13261468018803826,0.10211546452662115,0.5383831521739131,1.582750647687948
0,4,hybrid_adapt,hybrid,True,2015-07,2018-06,2018-07,2018-12,36666,5888,36,-5.4251587137898545,7.825901359772773,0.13505272782748934,0.10226147648046915,0.5431385869565217,1.5937317900646768
1,1,ridge_static,ridge,False,2015-08,2018-07,2018-08,2019-01,36677,5865,33,-5.65381857281098,7.868681132686727,0.2528033901326627,0.1696276501807245,0.6059676044330776,3.3337311879806775
1,2,ridge_adapt,ridge,True,2015-08,2018-07,2018-08,2019-01,36677,5865,36,-5.65381857281098,7.868681132686727,0.2511134493840381,0.16930164857623967,0.6097186700767263,3.373136763399622
1,3,hybrid_static,hybrid,False,2015-08,2018-07,2018-08,2019-01,36677,5865,33,-5.65381857281098,7.868681132686727,0.18102087517258705,0.08116117444324546,0.5561807331628303,1.8330998538123284
1,4,hybrid_adapt,hybrid,True,2015-08,2018-07,2018-08,2019-01,36677,5865,36,-5.65381857281098,7.868681132686727,0.18246187555111668,0.09246191940793709,0.5577152600170503,1.9065201462870207
2,1,ridge_static,ridge,False,2015-09,2018-08,2018-09,2019-02,36698,5920,33,-5.494654154714803,8.13023311613298,0.2491877906823161,0.1526134091672367,0.6037162162162162,4.728030639433162
2,2,ridge_adapt,ridge,True,2015-09,2018-08,2018-09,2019-02,36698,5920,36,-5.494654154714803,8.13023311613298,0.24661979230191788,0.1512818860910107,0.6160472972972973,2.6856780915007494
2,3,hybrid_static,hybrid,False,2015-09,2018-08,2018-09,2019-02,36698,5920,33,-5.494654154714803,8.13023311613298,0.11525402125012624,0.039198583538167,0.5425675675675675,1.2662502990221531
2,4,hybrid_adapt,hybrid,True,2015-09,2018-08,2018-09,2019-02,36698,5920,36,-5.494654154714803,8.13023311613298,0.12565182685947895,0.028765337801726448,0.5451013513513514,1.358175162632295
3,1,ridge_static,ridge,False,2015-10,2018-09,2018-10,2019-03,36705,5976,33,-5.219107697844064,8.243639308639892,0.2120540033352491,0.12251949312433705,0.5873493975903614,2.929786663583142
3,2,ridge_adapt,ridge,True,2015-10,2018-09,2018-10,2019-03,36705,5976,36,-5.219107697844064,8.243639308639892,0.208742804774099,0.12011827928836812,0.6000669344042838,2.4947375450118625
3,3,hybrid_static,hybrid,False,2015-10,2018-09,2018-10,2019-03,36705,5976,33,-5.219107697844064,8.243639308639892,0.07256771838374906,0.015962550124467047,0.5396586345381527,0.15681274071484352
3,4,hybrid_adapt,hybrid,True,2015-10,2018-09,2018-10,2019-03,36705,5976,36,-5.219107697844064,8.243639308639892,0.06777011650602378,0.012836348094446056,0.5363119143239625,0.2282228474224998
4,1,ridge_static,ridge,False,2015-11,2018-10,2018-11,2019-04,36796,5927,33,-5.4725407188415796,8.452141530511904,0.1411879762141164,0.07225084693490487,0.5447950059051797,1.591998730027461
4,2,ridge_adapt,ridge,True,2015-11,2018-10,2018-11,2019-04,36796,5927,36,-5.4725407188415796,8.452141530511904,0.13520257977345948,0.06828597626626424,0.560485911928463,1.4175327051590487
4,3,hybrid_static,hybrid,False,2015-11,2018-10,2018-11,2019-04,36796,5927,33,-5.4725407188415796,8.452141530511904,0.06840493059589574,-0.026686065126703313,0.5490129913953096,0.25053258199620776
4,4,hybrid_adapt,hybrid,True,2015-11,2018-10,2018-11,2019-04,36796,5927,36,-5.4725407188415796,8.452141530511904,0.06407891227213325,-0.02918186000917397,0.5447950059051797,0.1719618635900026
5,1,ridge_static,ridge,False,2015-12,2018-11,2018-12,2019-05,36771,6086,33,-4.8620426174022695,8.506510785473463,0.08472590592234164,0.028593263113736125,0.49769963851462373,1.1925223655829489
5,2,ridge_adapt,ridge,True,2015-12,2018-11,2018-12,2019-05,36771,6086,36,-4.8620426174022695,8.506510785473463,0.08034233776062728,0.02476733141909735,0.5218534341110745,0.9225601696527761
5,3,hybrid_static,hybrid,False,2015-12,2018-11,2018-12,2019-05,36771,6086,33,-4.8620426174022695,8.506510785473463,0.03978814377200235,-0.05616897011396932,0.5458429181728557,-0.1007340584896983
5,4,hybrid_adapt,hybrid,True,2015-12,2018-11,2018-12,2019-05,36771,6086,36,-4.8620426174022695,8.506510785473463,0.03558785160015416,-0.05831414990201617,0.5441998028261584,0.3293795708154947
6,1,ridge_static,ridge,False,2016-01,2018-12,2019-01,2019-06,36795,5898,33,-4.216786725820956,8.46891012110557,0.0079178783074448,-0.007958174277485932,0.4665988470668023,-1.8573619441302003
6,2,ridge_adapt,ridge,True,2016-01,2018-12,2019-01,2019-06,36795,5898,36,-4.216786725820956,8.46891012110557,0.004153923044477839,-0.011894426947659917,0.48168870803662256,-1.235922700382542
6,3,hybrid_static,hybrid,False,2016-01,2018-12,2019-01,2019-06,36795,5898,33,-4.216786725820956,8.46891012110557,-0.04413294826360469,-0.042724408037526376,0.5240759579518481,-2.010664755370868
6,4,hybrid_adapt,hybrid,True,2016-01,2018-12,2019-01,2019-06,36795,5898,36,-4.216786725820956,8.46891012110557,-0.04722575620879796,-0.04516680586757314,0.5223804679552391,-1.9983931513636788
7,1,ridge_static,ridge,False,2016-02,2019-01,2019-02,2019-07,36889,5966,33,-3.879449379011943,8.244407630308306,0.008855794699072597,-0.008136525090073286,0.4659738518270198,-0.8210285121292749
7,2,ridge_adapt,ridge,True,2016-02,2019-01,2019-02,2019-07,36889,5966,36,-3.879449379011943,8.244407630308306,0.0044671493131905665,-0.011521656673175402,0.46345960442507544,-1.0676743875334438
7,3,hybrid_static,hybrid,False,2016-02,2019-01,2019-02,2019-07,36889,5966,33,-3.879449379011943,8.244407630308306,-0.02535054054536206,-0.03009911794182414,0.5226282266174992,-0.4377840568218152
7,4,hybrid_adapt,hybrid,True,2016-02,2019-01,2019-02,2019-07,36889,5966,36,-3.879449379011943,8.244407630308306,-0.02958474001806428,-0.0320731334975354,0.522963459604425,-0.9875699671698728
8,1,ridge_static,ridge,False,2016-03,2019-02,2019-03,2019-08,36798,5831,33,-3.7493269056571172,7.8502259286370215,0.02815055911243241,0.0035474478344540753,0.4700737437832276,0.2234584923670228
8,2,ridge_adapt,ridge,True,2016-03,2019-02,2019-03,2019-08,36798,5831,36,-3.7493269056571172,7.8502259286370215,0.0247403869264321,-7.323597115065279e-05,0.468187274909964,0.24601129954318277
8,3,hybrid_static,hybrid,False,2016-03,2019-02,2019-03,2019-08,36798,5831,33,-3.7493269056571172,7.8502259286370215,0.00227907220134728,-0.05287829621299088,0.5340421883038929,-0.43580655941358726
8,4,hybrid_adapt,hybrid,True,2016-03,2019-02,2019-03,2019-08,36798,5831,36,-3.7493269056571172,7.8502259286370215,-0.0011323395313437624,-0.05511178018721222,0.5338706911335963,-0.43580655941358726
9,1,ridge_static,ridge,False,2016-04,2019-03,2019-04,2019-09,36654,5818,33,-3.837725884189899,7.748233112091993,0.09088028895260954,0.02238528336367612,0.49759367480233757,0.6729821590561974
9,2,ridge_adapt,ridge,True,2016-04,2019-03,2019-04,2019-09,36654,5818,36,-3.837725884189899,7.748233112091993,0.08834392291530996,0.02044821497713207,0.49329666552079754,0.6729821590561974
9,3,hybrid_static,hybrid,False,2016-04,2019-03,2019-04,2019-09,36654,5818,33,-3.837725884189899,7.748233112091993,0.0879572918726588,0.01289720249768351,0.5515641113784806,0.6743896850487383
9,4,hybrid_adapt,hybrid,True,2016-04,2019-03,2019-04,2019-09,36654,5818,36,-3.837725884189899,7.748233112091993,0.08524444959282651,0.011861249326618022,0.5508765898934341,0.6047595968853606
10,1,ridge_static,ridge,False,2016-05,2019-04,2019-05,2019-10,36655,5977,33,-4.000944150533811,7.748183372051262,0.09109287091515429,-0.0030067952594340745,0.5062740505270202,0.7791944862710707
10,2,ridge_adapt,ridge,True,2016-05,2019-04,2019-05,2019-10,36655,5977,36,-4.000944150533811,7.748183372051262,0.08893067981312328,-0.0029650713362441078,0.5020913501756734,0.6119401448877926
10,3,hybrid_static,hybrid,False,2016-05,2019-04,2019-05,2019-10,36655,5977,33,-4.000944150533811,7.748183372051262,0.08428224581924373,-0.05787610857754309,0.5414087334783336,0.5126996366086969
10,4,hybrid_adapt,hybrid,True,2016-05,2019-04,2019-05,2019-10,36655,5977,36,-4.000944150533811,7.748183372051262,0.08876204192095266,-0.05769076469509377,0.5437510456750878,0.5448299064958132
11,1,ridge_static,ridge,False,2016-06,2019-05,2019-06,2019-11,36649,5824,33,-4.357965413933271,7.748481812295578,0.1127181510506056,0.061635658144795887,0.5336538461538461,1.3529386827808008
11,2,ridge_adapt,ridge,True,2016-06,2019-05,2019-06,2019-11,36649,5824,36,-4.357965413933271,7.748481812295578,0.11091089342939174,0.06205801598641806,0.5125343406593407,1.1582873264598013
11,3,hybrid_static,hybrid,False,2016-06,2019-05,2019-06,2019-11,36649,5824,33,-4.357965413933271,7.748481812295578,0.05908896332671503,0.03677673263605862,0.515625,0.9544243009625332
11,4,hybrid_adapt,hybrid,True,2016-06,2019-05,2019-06,2019-11,36649,5824,36,-4.357965413933271,7.748481812295578,0.05880385975307061,0.037048984620613484,0.5157967032967034,1.0222698246963138
12,1,ridge_static,ridge,False,2016-07,2019-06,2019-07,2019-12,36411,6090,33,-4.390376079152606,7.740794715742457,0.14607948212994093,0.13291960359826438,0.545648604269294,1.8802841572057785
12,2,ridge_adapt,ridge,True,2016-07,2019-06,2019-07,2019-12,36411,6090,36,-4.390376079152606,7.740794715742457,0.14325711379734704,0.13338531927839223,0.5233169129720854,1.841878032349327
12,3,hybrid_static,hybrid,False,2016-07,2019-06,2019-07,2019-12,36411,6090,33,-4.390376079152606,7.740794715742457,0.10214941098913731,0.1427363190166107,0.5292282430213465,1.2032743183162842
12,4,hybrid_adapt,hybrid,True,2016-07,2019-06,2019-07,2019-12,36411,6090,36,-4.390376079152606,7.740794715742457,0.10112174337707545,0.14198076163377532,0.5292282430213465,1.2165537114431222
13,1,ridge_static,ridge,False,2016-08,2019-07,2019-08,2020-01,36562,6131,33,-4.272376876742622,7.747835191766214,0.07388648891956565,0.09288420250608552,0.5371065079106182,0.6596390459318417
13,2,ridge_adapt,ridge,True,2016-08,2019-07,2019-08,2020-01,36562,6131,36,-4.272376876742622,7.747835191766214,0.0714519105397141,0.09270319314408751,0.5548850106018594,0.659639045931842
13,3,hybrid_static,hybrid,False,2016-08,2019-07,2019-08,2020-01,36562,6131,33,-4.272376876742622,7.747835191766214,0.06371276390061646,0.110573180199783,0.5056271407600718,1.558281252139252
13,4,hybrid_adapt,hybrid,True,2016-08,2019-07,2019-08,2020-01,36562,6131,36,-4.272376876742622,7.747835191766214,0.06316049275310379,0.11089320526977257,0.5038329799380199,1.5582812521392517
14,1,ridge_static,ridge,False,2016-09,2019-08,2019-09,2020-02,36252,6306,33,-4.197441009554223,7.266608947464568,0.03988504507523748,0.05579623952829888,0.527117031398668,0.08088474249950815
14,2,ridge_adapt,ridge,True,2016-09,2019-08,2019-09,2020-02,36252,6306,36,-4.197441009554223,7.266608947464568,0.03789129072550158,0.055720222703707106,0.5488423723437995,-0.5093171921707615
14,3,hybrid_static,hybrid,False,2016-09,2019-08,2019-09,2020-02,36252,6306,33,-4.197441009554223,7.266608947464568,0.05001415637413316,0.11120552958538961,0.5009514747859182,0.8247565491246245
14,4,hybrid_adapt,hybrid,True,2016-09,2019-08,2019-09,2020-02,36252,6306,36,-4.197441009554223,7.266608947464568,0.052104776318884646,0.11438708927940781,0.5006343165239454,0.8247565491246246
15,1,ridge_static,ridge,False,2016-10,2019-09,2019-10,2020-03,36265,6371,33,-3.9025827140492284,6.818575973777561,0.016082406362136713,0.025008637718578378,0.5153037199811646,0.39907219029238217
15,2,ridge_adapt,ridge,True,2016-10,2019-09,2019-10,2020-03,36265,6371,36,-3.9025827140492284,6.818575973777561,0.01677501906010214,0.0263324579258882,0.5320985716528017,0.40550879024138137
15,3,hybrid_static,hybrid,False,2016-10,2019-09,2019-10,2020-03,36265,6371,33,-3.9025827140492284,6.818575973777561,0.015369968244431214,0.015810765812282808,0.48375451263537905,0.9173364878072685
15,4,hybrid_adapt,hybrid,True,2016-10,2019-09,2019-10,2020-03,36265,6371,36,-3.9025827140492284,6.818575973777561,0.016298478358069912,0.01704449304604772,0.48501020247998744,0.2658253118661438
16,1,ridge_static,ridge,False,2016-11,2019-10,2019-11,2020-04,36493,6249,33,-4.619879653064472,6.251528468665835,0.005884169719311852,0.04936039514655013,0.52296367418787,0.75813599750425
16,2,ridge_adapt,ridge,True,2016-11,2019-10,2019-11,2020-04,36493,6249,36,-4.619879653064472,6.251528468665835,0.01025021334586425,0.05403028920459134,0.5330452872459593,0.661172653811616
16,3,hybrid_static,hybrid,False,2016-11,2019-10,2019-11,2020-04,36493,6249,33,-4.619879653064472,6.251528468665835,0.0163613523274851,0.04325982449475333,0.4875980156825092,0.8759118717758532
16,4,hybrid_adapt,hybrid,True,2016-11,2019-10,2019-11,2020-04,36493,6249,36,-4.619879653064472,6.251528468665835,0.020068017203171525,0.04607519093408104,0.485837734037446,0.4827563852029646
17,1,ridge_static,ridge,False,2016-12,2019-11,2019-12,2020-05,36356,6231,33,-4.272939355495098,5.907799157898552,0.01933279764427611,0.02249953615450745,0.5307334296260632,-0.08583029866557174
17,2,ridge_adapt,ridge,True,2016-12,2019-11,2019-12,2020-05,36356,6231,36,-4.272939355495098,5.907799157898552,0.0263196438294744,0.029236240694722904,0.535387578237843,-0.3638056253974889
17,3,hybrid_static,hybrid,False,2016-12,2019-11,2019-12,2020-05,36356,6231,33,-4.272939355495098,5.907799157898552,0.03349167092596932,-0.009101270240703955,0.5162895201412293,0.20822115160256596
17,4,hybrid_adapt,hybrid,True,2016-12,2019-11,2019-12,2020-05,36356,6231,36,-4.272939355495098,5.907799157898552,0.03700808726810667,-0.00488075781849792,0.5186968383887016,0.14394388443471479
18,1,ridge_static,ridge,False,2017-01,2019-12,2020-01,2020-06,36505,6201,33,-4.145106982094829,6.192414552883428,0.013100705636325915,-0.021426620223270448,0.5228189001773907,-1.8299798108535728
