variant,pair,delta_IC,dm_stat_hln,pvalue_hln,sig_5pct,n
B,adaptation C2vsC1,-0.0002192979414619,-0.2533132901914166,0.8039879369543022,False,14
B,hybridation C3vsC1,0.0037942408426098,0.2907687331786432,0.7758151848637128,False,14
B,combine C4vsC1,0.0042276273902372,0.321066063131241,0.7532635304008102,False,14
