Configuration,cell,IC,IC_median,IC_std,Hit,pct_IC_pos,% BUY,% Neutral,% SELL,Precision BUY,Precision SELL,mean_alpha_BUY,mean_alpha_SELL,tau_mean,n_rows
C1 Ridge,1,0.030289384044171717,0.02484753269872845,0.12090811738718932,0.5077385254730568,0.6428571428571429,0.4277940560904144,0.3683549602344077,0.2038509836751779,0.4735812133072407,0.5687885010266941,0.07588341901350203,0.07039649298101186,0.0979708785109043,4778
C2 Ridge + régime,2,0.030260013744517786,0.026301893056369652,0.120241256814494,0.5025859779412551,0.6428571428571429,0.4089577228966095,0.36688991209711175,0.22415236500627878,0.4713408393039918,0.5620915032679739,0.08795698137469635,0.07968994113701733,0.10343364108784905,4778
C3 Hybrid,3,0.0329984788559335,0.0271561979222055,0.10739603497997831,0.5272268273368176,0.5,0.30096274591879446,0.3124738384261197,0.3865634156550858,0.47357440890125174,0.558202490525176,0.08259378202976306,0.01830385165989775,0.2136788628455488,4778
C4 Hybrid + régime,4,0.033154021025965597,0.02736325423908375,0.10734582065518808,0.5270053468846195,0.5,0.3007534533277522,0.3128924236082043,0.38635412306404354,0.4725121781489214,0.5557963163596966,0.09000596121045959,0.023875066318822514,0.2134610715558107,4778
