Configuration,IC,Hit,% BUY,% Neutral,% SELL,Precision BUY,Precision SELL
C1 Ridge,0.030289384044171717,0.5077385254730568,0.4277940560904144,0.3683549602344077,0.2038509836751779,0.4735812133072407,0.5687885010266941
C2 Ridge + régime,0.030260013744517786,0.5025859779412551,0.4089577228966095,0.36688991209711175,0.22415236500627878,0.4713408393039918,0.5620915032679739
C3 Hybrid,0.0329984788559335,0.5272268273368176,0.30096274591879446,0.3124738384261197,0.3865634156550858,0.47357440890125174,0.558202490525176
C4 Hybrid + régime,0.033154021025965597,0.5270053468846195,0.3007534533277522,0.3128924236082043,0.38635412306404354,0.4725121781489214,0.5557963163596966
