pair,ref_model,alt_model,metric,n_blocks,delta_mean,delta_median,ref_mean,alt_mean,wilcoxon_stat,pvalue_wilcoxon,sig_5pct_wilcoxon,dm_stat_hln,pvalue_dm_hln,sig_5pct_dm_hln,interpretation,label
hybrid_lgbm_vs_ridge,ridge,hybrid_lgbm,rank_ic,14,0.05707992205663122,0.044293534525267665,0.030289384044171717,0.08736930610080294,19.0,0.0352783203125,True,2.6617792012069104,0.01956819138853596,True,delta>0 : hybrid_lgbm meilleur que ridge en moyenne sur rank_ic,Hybrid LGBM vs Ridge
hybrid_lgbm_vs_ridge,ridge,hybrid_lgbm,ic_ir,14,0.3051257333485994,0.21140530517257738,0.3191776745183472,0.6243034078669467,27.0,0.118896484375,False,1.9028709961351442,0.07943806232724186,False,delta>0 : hybrid_lgbm meilleur que ridge en moyenne sur ic_ir,Hybrid LGBM vs Ridge
hybrid_lgbm_vs_ridge,ridge,hybrid_lgbm,spread_BUY_SELL,14,0.03143948495549659,0.0037152829799314002,0.04991006721828607,0.08134955217378266,48.0,0.8077392578125,False,0.37710917820390216,0.7121767387286866,False,delta>0 : hybrid_lgbm meilleur que ridge en moyenne sur spread_BUY_SELL,Hybrid LGBM vs Ridge
hybrid_lgbm_vs_ridge,ridge,hybrid_lgbm,rmse,14,0.1446101340437518,0.11931436142679386,1.2586106119259486,1.4032207459697001,0.0,0.0001220703125,True,-6.052885266541705,4.0798615360797974e-05,True,delta>0 : hybrid_lgbm meilleur que ridge en moyenne sur rmse,Hybrid LGBM vs Ridge
hybrid_lgbm_vs_ridge,ridge,hybrid_lgbm,turnover,14,-0.012228404009839242,-0.029952662808767516,0.37435504206615505,0.3621266380563158,43.0,0.5830078125,False,0.6110963964202689,0.5516718739198938,False,delta>0 : hybrid_lgbm meilleur que ridge en moyenne sur turnover,Hybrid LGBM vs Ridge
hybrid_lgbm_regime_vs_ridge,ridge,hybrid_lgbm_regime,rank_ic,14,0.06197805696407748,0.059889600443118744,0.030289384044171717,0.09226744100824923,14.0,0.013427734375,True,3.060344685018584,0.009116684328942146,True,delta>0 : hybrid_lgbm_regime meilleur que ridge en moyenne sur rank_ic,Hybrid LGBM + régime vs Ridge
hybrid_lgbm_regime_vs_ridge,ridge,hybrid_lgbm_regime,ic_ir,14,0.37517218524713575,0.3232315256740052,0.3191776745183472,0.6943498597654829,19.0,0.0352783203125,True,2.375846720755829,0.033567399147294834,True,delta>0 : hybrid_lgbm_regime meilleur que ridge en moyenne sur ic_ir,Hybrid LGBM + régime vs Ridge
hybrid_lgbm_regime_vs_ridge,ridge,hybrid_lgbm_regime,spread_BUY_SELL,14,0.06615423727990602,-0.02474026639429809,0.04991006721828607,0.11606430449819209,42.0,0.5416259765625,False,0.8943539826946614,0.38739121388841335,False,delta>0 : hybrid_lgbm_regime meilleur que ridge en moyenne sur spread_BUY_SELL,Hybrid LGBM + régime vs Ridge
hybrid_lgbm_regime_vs_ridge,ridge,hybrid_lgbm_regime,rmse,14,0.14653048062645818,0.1245547294486471,1.2586106119259486,1.4051410925524064,0.0,0.0001220703125,True,-6.043241238503524,4.1441858127694505e-05,True,delta>0 : hybrid_lgbm_regime meilleur que ridge en moyenne sur rmse,Hybrid LGBM + régime vs Ridge
hybrid_lgbm_regime_vs_ridge,ridge,hybrid_lgbm_regime,turnover,14,0.004354677958371035,8.734849872160666e-05,0.37435504206615505,0.3787097200245261,52.0,1.0,False,-0.19461591388992472,0.8487020813759152,False,delta>0 : hybrid_lgbm_regime meilleur que ridge en moyenne sur turnover,Hybrid LGBM + régime vs Ridge
lightgbm_vs_hybrid_rf,hybrid_rf,lightgbm,rank_ic,14,0.09077328936719488,0.05822267706328716,0.04100159092734691,0.1317748802945418,14.0,0.013427734375,True,2.6846733216728196,0.018733334682610518,True,delta>0 : lightgbm meilleur que hybrid_rf en moyenne sur rank_ic,LightGBM vs Hybrid RF (C3)
lightgbm_vs_hybrid_rf,hybrid_rf,lightgbm,ic_ir,14,0.3306022429218349,0.45181302140427226,0.379687393591551,0.7102896365133858,30.0,0.172607421875,False,1.5233567424703125,0.15161947948325144,False,delta>0 : lightgbm meilleur que hybrid_rf en moyenne sur ic_ir,LightGBM vs Hybrid RF (C3)
lightgbm_vs_hybrid_rf,hybrid_rf,lightgbm,spread_BUY_SELL,14,0.10678103479074334,0.06319665055192521,0.056256064628427804,0.16303709941917116,37.0,0.3575439453125,False,1.0474997163348838,0.31395482413108766,False,delta>0 : lightgbm meilleur que hybrid_rf en moyenne sur spread_BUY_SELL,LightGBM vs Hybrid RF (C3)
lightgbm_vs_hybrid_rf,hybrid_rf,lightgbm,rmse,14,-0.09775877301012124,-0.09234735291226104,1.425478451272203,1.3277196782620817,10.0,0.0052490234375,True,3.172693870200258,0.0073436727553635416,True,delta>0 : lightgbm meilleur que hybrid_rf en moyenne sur rmse,LightGBM vs Hybrid RF (C3)
lightgbm_vs_hybrid_rf,hybrid_rf,lightgbm,turnover,14,0.052051426875093086,0.018623086391491656,0.34846774360719873,0.4005191704822919,23.0,0.067626953125,False,-2.2732425711123616,0.04062400958873147,True,delta>0 : lightgbm meilleur que hybrid_rf en moyenne sur turnover,LightGBM vs Hybrid RF (C3)
hybrid_lgbm_regime_vs_hybrid_rf_regime,hybrid_rf_regime,hybrid_lgbm_regime,rank_ic,14,0.05038475501332037,0.044973610124065706,0.04188268599492883,0.09226744100824923,9.0,0.0040283203125,True,3.24370235227723,0.0064054075120692595,True,delta>0 : hybrid_lgbm_regime meilleur que hybrid_rf_regime en moyenne sur rank_ic,Hybrid LGBM+régime vs Hybrid RF+régime (C4)
hybrid_lgbm_regime_vs_hybrid_rf_regime,hybrid_rf_regime,hybrid_lgbm_regime,ic_ir,14,0.3005148118294687,0.24386212766172394,0.39383504793601415,0.6943498597654829,16.0,0.020263671875,True,2.5341563630764856,0.024928355739914726,True,delta>0 : hybrid_lgbm_regime meilleur que hybrid_rf_regime en moyenne sur ic_ir,Hybrid LGBM+régime vs Hybrid RF+régime (C4)
hybrid_lgbm_regime_vs_hybrid_rf_regime,hybrid_rf_regime,hybrid_lgbm_regime,spread_BUY_SELL,14,0.056639986521214596,0.0739334731933743,0.05942431797697751,0.11606430449819209,31.0,0.1937255859375,False,1.4304634124492024,0.17617877674009697,False,delta>0 : hybrid_lgbm_regime meilleur que hybrid_rf_regime en moyenne sur spread_BUY_SELL,Hybrid LGBM+régime vs Hybrid RF+régime (C4)
hybrid_lgbm_regime_vs_hybrid_rf_regime,hybrid_rf_regime,hybrid_lgbm_regime,rmse,14,-0.01733731436038006,-0.024732451273349554,1.4224784069127865,1.4051410925524064,32.0,0.216552734375,False,1.1775055931470586,0.2601018913704107,False,delta>0 : hybrid_lgbm_regime meilleur que hybrid_rf_regime en moyenne sur rmse,Hybrid LGBM+régime vs Hybrid RF+régime (C4)
hybrid_lgbm_regime_vs_hybrid_rf_regime,hybrid_rf_regime,hybrid_lgbm_regime,turnover,14,0.023839951314211676,0.013747697338122838,0.3548697687103144,0.3787097200245261,28.0,0.13525390625,False,-1.5526145747004636,0.14451298190644543,False,delta>0 : hybrid_lgbm_regime meilleur que hybrid_rf_regime en moyenne sur turnover,Hybrid LGBM+régime vs Hybrid RF+régime (C4)
