variant,cellule,IC_mean,IC_median
B,1,0.0404711910518024,0.0400261560544392
B,2,0.0404506040234228,0.0432385683483496
B,3,0.0430019198939985,0.0574375516706826
B,4,0.0430876185343881,0.0578174762517642
