cellule,config,IC_mean,IC_median,IC_std
1,Ridge sans regime,0.0445784149346933,0.0348261090783734,0.11717953522416277
2,Ridge + regime,0.0443983319543785,0.0322673992983228,0.11685920974454064
3,Hybrid sans regime,0.04890227516291244,0.03532854171393285,0.11201584689966886
4,Hybrid + regime,0.04914531165388526,0.0378658703332142,0.11221935840451058
