block_id,d_regime_ridge,d_regime_hybrid,d_hybrid_vs_ridge,d_interaction
0,-0.000424267476408724,0.00243827356838619,-0.0857253693391487,0.002862541044794914
1,-0.005315895167179799,-0.004004725452173494,-0.06467652621467121,0.001311169715006305
2,-0.0014521520847838032,-0.0007110207871866975,-0.039807404719021,0.0007411312975971057
3,0.0034941983179606,0.0019384461238541005,-0.0330470777061446,-0.0015557521941064996
4,-0.000673163089475598,0.001378610696842402,0.042781599215358596,0.002051773786318
5,-0.0026821861271354996,-0.00199026083653929,0.011143050330931603,0.0006919252905962098
6,-0.00018497779451810692,0.0005905592555780076,0.031744219875956894,0.0007755370500961145
7,-0.0011991704155203953,-0.002061848081666595,0.016740653679097592,-0.0008626776661461999
8,-0.0012302622914534007,-0.0010066675948329981,-0.017881817860272604,0.00022359469662040256
9,0.007285866762753099,0.007064918075101999,0.0332630905867561,-0.00022094868765109958
10,9.390258455499456e-05,0.0005257000717752147,0.040970692893103094,0.00043179748722022016
11,7.047203557630777e-05,0.00013234652559829252,0.004129026172111305,6.187449002198475e-05
12,-0.0005020025858556015,-0.0010590670976330097,0.045371529107819705,-0.0005570645117774081
13,0.00019847560707859924,0.00016724640651540057,0.07552837717319111,-3.122920056319867e-05
