w_ridge,w_rf,cell_id,label,IC_mean_81,IC_median_81,IC_std_81,hit_mean_81,n_folds
0.5,0.5,3,hybrid_static,0.043236590781664565,0.05739801998473518,0.12131681430560436,0.5249755540077189,81
0.5,0.5,4,hybrid_adapt,0.04326878682239069,0.05786856685752942,0.12109739885500125,0.5249220287999268,81
0.7,0.3,3,hybrid_static,0.04367373999424561,0.061165320998579645,0.12285992955036974,0.5262996508074222,81
0.7,0.3,4,hybrid_adapt,0.04362598511332165,0.060415567956030966,0.12239330014543766,0.5263613266169983,81
0.8,0.2,3,hybrid_static,0.04293058011048571,0.059801994267842315,0.12353887391710304,0.5264598324478265,81
0.8,0.2,4,hybrid_adapt,0.042922804141841395,0.05788129505832458,0.12287211828872055,0.5267003184488799,81
0.9,0.1,3,hybrid_static,0.04204529109350712,0.05315716585090529,0.12282404147809971,0.5264395084624417,81
0.9,0.1,4,hybrid_adapt,0.042120028668804,0.0530675612153942,0.12209015874933452,0.5266784367906691,81
0.3,0.7,3,hybrid_static,0.042392341514547904,0.038552494522091404,0.1196999357114017,0.5231106405549513,81
0.3,0.7,4,hybrid_adapt,0.04274282901531216,0.04152342961490614,0.11948136449752024,0.5224458391866147,81
