fold_id,train_start,train_end,test_start,test_end,train_start_month,train_end_month,test_start_month,test_end_month
63,2020-10-01,2023-09-30,2023-10-01,2024-03-31,2020-10,2023-09,2023-10,2024-03
64,2020-11-01,2023-10-31,2023-11-01,2024-04-30,2020-11,2023-10,2023-11,2024-04
65,2020-12-01,2023-11-30,2023-12-01,2024-05-31,2020-12,2023-11,2023-12,2024-05
66,2021-01-01,2023-12-31,2024-01-01,2024-06-30,2021-01,2023-12,2024-01,2024-06
67,2021-02-01,2024-01-31,2024-02-01,2024-07-31,2021-02,2024-01,2024-02,2024-07
68,2021-03-01,2024-02-29,2024-03-01,2024-08-31,2021-03,2024-02,2024-03,2024-08
69,2021-04-01,2024-03-31,2024-04-01,2024-09-30,2021-04,2024-03,2024-04,2024-09
70,2021-05-01,2024-04-30,2024-05-01,2024-10-31,2021-05,2024-04,2024-05,2024-10
71,2021-06-01,2024-05-31,2024-06-01,2024-11-30,2021-06,2024-05,2024-06,2024-11
72,2021-07-01,2024-06-30,2024-07-01,2024-12-31,2021-07,2024-06,2024-07,2024-12
73,2021-08-01,2024-07-31,2024-08-01,2025-01-31,2021-08,2024-07,2024-08,2025-01
74,2021-09-01,2024-08-31,2024-09-01,2025-02-28,2021-09,2024-08,2024-09,2025-02
75,2021-10-01,2024-09-30,2024-10-01,2025-03-31,2021-10,2024-09,2024-10,2025-03
76,2021-11-01,2024-10-31,2024-11-01,2025-04-30,2021-11,2024-10,2024-11,2025-04
77,2021-12-01,2024-11-30,2024-12-01,2025-05-31,2021-12,2024-11,2024-12,2025-05
78,2022-01-01,2024-12-31,2025-01-01,2025-06-30,2022-01,2024-12,2025-01,2025-06
79,2022-02-01,2025-01-31,2025-02-01,2025-07-31,2022-02,2025-01,2025-02,2025-07
80,2022-03-01,2025-02-28,2025-03-01,2025-08-31,2022-03,2025-02,2025-03,2025-08
