cellule,modele,regime,n_folds,IC_mean,IC_median,IC_std,IC_q25,IC_q75,pct_folds_IC_positive,hit_mean,hit_median,hit_std,sharpe_ls_mean,sharpe_ls_std
1,ridge,False,81,0.0406629064604739,0.0406437501278878,0.12139877052045903,-0.028475497173175,0.1026476415863872,0.6049382716049383,0.5118162146062708,0.5177791640673737,0.04254109543254378,0.7767155181612602,3.3055128473832016
2,ridge,True,81,0.04064065875129733,0.0452857621447155,0.12066567124234023,-0.0284033025997561,0.1003967092122798,0.6296296296296297,0.509337182463548,0.5115506985751833,0.04571104325080021,0.7651925490005247,3.235431284646955
3,hybrid,False,81,0.04323659078166456,0.0573980199847351,0.12131681430560433,-0.0224205472836566,0.1216230892018519,0.6296296296296297,0.5249755540077189,0.5243818681318682,0.043811722731698435,0.7024977808335724,4.112438776786563
4,hybrid,True,81,0.04326878682239068,0.0578685668575294,0.1210973988550012,-0.0208902305152752,0.1217903356083673,0.6419753086419753,0.5249220287999268,0.5240384615384616,0.043084163784013786,0.7398383766744603,3.9836846541884485
