Configuration,cell,fold_id,test_start_month,test_end_month,mean_BUY,mean_NEUTRAL,mean_SELL,spread_BUY_NEUTRAL,spread_NEUTRAL_SELL,spread_BUY_SELL,order_ok,metric
C1 Ridge,1,0,2018-07,2018-12,0.08638749742735645,-0.041690564072745455,-0.3159648900900025,0.1280780615001019,0.27427432601725704,0.40235238751735897,True,future_alpha
C1 Ridge,1,6,2019-01,2019-06,-0.25581084110284813,-0.18591204483826082,-0.06777772360228203,-0.06989879626458731,-0.11813432123597879,-0.18803311750056612,False,future_alpha
C1 Ridge,1,12,2019-07,2019-12,0.03640879550737555,-1.840900634804773,-0.020266659917686534,1.8773094303121485,-1.8206339748870863,0.05667545542506208,False,future_alpha
C1 Ridge,1,18,2020-01,2020-06,0.33209650277320446,0.043423511063171084,0.14130756673029538,0.28867299171003336,-0.0978840556671243,0.19078893604290909,False,future_alpha
C1 Ridge,1,24,2020-07,2020-12,-1.6764407683844655,-0.0613443045669996,-0.13019717127926575,-1.6150964638174659,0.06885286671226615,-1.5462435971051998,False,future_alpha
C1 Ridge,1,30,2021-01,2021-06,0.4098480065580815,-0.28764393635195795,-0.30159208161075673,0.6974919429100395,0.013948145258798783,0.7114400881688383,True,future_alpha
C1 Ridge,1,36,2021-07,2021-12,0.08885455017310477,-0.24946011889890482,2.092604461398614,0.3383146690720096,-2.342064580297519,-2.0037499112255093,False,future_alpha
C1 Ridge,1,42,2022-01,2022-06,0.028384757648585366,0.112877053903532,0.3927148528738923,-0.08449229625494664,-0.2798377989703603,-0.3643300952253069,False,future_alpha
C1 Ridge,1,48,2022-07,2022-12,0.09482678007767475,0.4298262870791596,0.078950002753706,-0.33499950700148484,0.3508762843254536,0.01587677732396875,False,future_alpha
C1 Ridge,1,54,2023-01,2023-06,-0.6264271918388856,-0.05572255649376672,-0.14638704402359667,-0.570704635345119,0.09066448752982995,-0.4800401478152889,False,future_alpha
C1 Ridge,1,60,2023-07,2023-12,0.1464878754030314,-0.1977746669644964,-0.03649621403156654,0.3442625423675278,-0.16127845293292986,0.18298408943459793,False,future_alpha
C1 Ridge,1,66,2024-01,2024-06,0.6395733718063421,-0.01603165989729803,0.8720463450523938,0.6556050317036402,-0.8880780049496918,-0.23247297324605165,False,future_alpha
C1 Ridge,1,72,2024-07,2024-12,-0.1012319653792737,-3.6402510318425456,0.0839121306881424,3.539019066463272,-3.724163162530688,-0.1851440960674161,False,future_alpha
C1 Ridge,1,78,2025-01,2025-06,-0.015619915813215767,-0.004919071379820333,-0.5054420997065786,-0.010700844433395435,0.5005230283267583,0.48982218389336285,False,future_alpha
C2 Ridge + régime,2,0,2018-07,2018-12,0.5400679333148122,-0.22193641620236154,-0.15001779948067065,0.7620043495171738,-0.07191861672169089,0.6900857327954828,False,future_alpha
C2 Ridge + régime,2,6,2019-01,2019-06,-0.25363345756725714,-0.23940524722859394,-0.08130916450412903,-0.0142282103386632,-0.1580960827244649,-0.1723242930631281,False,future_alpha
C2 Ridge + régime,2,12,2019-07,2019-12,-0.627360740375379,0.029481451165742918,-0.02014306129163825,-0.656842191541122,0.04962451245738117,-0.6072176790837408,False,future_alpha
C2 Ridge + régime,2,18,2020-01,2020-06,0.3803839259980702,0.07304371616553966,-0.01911169271211521,0.3073402098325305,0.09215540887765487,0.3994956187101854,True,future_alpha
C2 Ridge + régime,2,24,2020-07,2020-12,-1.2773314703536307,-0.08206183879597627,-0.18855263870528996,-1.1952696315576545,0.10649079990931369,-1.0887788316483407,False,future_alpha
C2 Ridge + régime,2,30,2021-01,2021-06,0.35256277936977654,-0.6208443807729345,-0.31844132660932045,0.973407160142711,-0.302403054163614,0.671004105979097,False,future_alpha
C2 Ridge + régime,2,36,2021-07,2021-12,0.14214608146457108,-0.1450408121737705,2.5000594520511594,0.2871868936383416,-2.6451002642249297,-2.3579133705865885,False,future_alpha
C2 Ridge + régime,2,42,2022-01,2022-06,-0.07684207324036262,0.11331415037670696,0.26962001874058816,-0.19015622361706958,-0.15630586836388122,-0.3464620919809508,False,future_alpha
C2 Ridge + régime,2,48,2022-07,2022-12,0.09481432798038023,0.22723591847983574,0.4661477526854132,-0.1324215904994555,-0.23891183420557746,-0.37133342470503294,False,future_alpha
C2 Ridge + régime,2,54,2023-01,2023-06,-0.6376820187079744,-0.11100343550102837,0.010432132707039339,-0.526678583206946,-0.12143556820806771,-0.6481141514150137,False,future_alpha
C2 Ridge + régime,2,60,2023-07,2023-12,0.1509978243857697,-0.1541861007284075,-0.04344231768104496,0.3051839251141772,-0.11074378304736254,0.19444014206681465,False,future_alpha
C2 Ridge + régime,2,66,2024-01,2024-06,0.6516586635010778,0.05896768783267064,0.8360070538561825,0.5926909756684072,-0.7770393660235119,-0.18434839035510464,False,future_alpha
C2 Ridge + régime,2,72,2024-07,2024-12,-0.09756792245625684,-3.125906744900527,0.032081932315826324,3.02833882244427,-3.1579886772163532,-0.12964985477208316,False,future_alpha
C2 Ridge + régime,2,78,2025-01,2025-06,-0.017290363321988928,0.019834738910062762,-0.5430105301631746,-0.03712510223205169,0.5628452690732373,0.5257201668411856,False,future_alpha
C3 Hybrid,3,0,2018-07,2018-12,-0.10588493213014111,0.35574020813683344,-0.033316105891480374,-0.46162514026697454,0.3890563140283138,-0.07256882623866073,False,future_alpha
C3 Hybrid,3,6,2019-01,2019-06,-0.6959541418233274,-0.1416292651021535,-0.05148335252250507,-0.5543248767211739,-0.09014591257964844,-0.6444707893008224,False,future_alpha
C3 Hybrid,3,12,2019-07,2019-12,-0.05545283197967453,0.14731941916610827,-1.239744482228238,-0.2027722511457828,1.3870639013943462,1.1842916502485634,False,future_alpha
C3 Hybrid,3,18,2020-01,2020-06,0.5044463744742653,0.07739585142230604,0.06606694220114542,0.4270505230519593,0.011328909221160616,0.43837943227311993,True,future_alpha
C3 Hybrid,3,24,2020-07,2020-12,-2.1185486905971307,-0.09962968528738231,-0.0010280547769718905,-2.0189190053097485,-0.09860163051041042,-2.1175206358201586,False,future_alpha
C3 Hybrid,3,30,2021-01,2021-06,-0.25728406483429356,0.26524955774039644,-0.2349104171566575,-0.5225336225746899,0.500159974897054,-0.022373647677636055,False,future_alpha
C3 Hybrid,3,36,2021-07,2021-12,0.04656976677548352,0.18813568155550303,1.86266439409715,-0.1415659147800195,-1.6745287125416468,-1.8160946273216663,False,future_alpha
C3 Hybrid,3,42,2022-01,2022-06,-0.02180242528480757,0.1764873577110277,0.4532583698960277,-0.19828978299583527,-0.276771012185,-0.47506079518083527,False,future_alpha
C3 Hybrid,3,48,2022-07,2022-12,0.1726291563538575,0.09323572099039323,0.4822808218888756,0.07939343536346427,-0.3890451008984824,-0.3096516655350181,False,future_alpha
C3 Hybrid,3,54,2023-01,2023-06,-0.7243288904262272,-0.05004251710242297,-0.4286192155908423,-0.6742863733238043,0.37857669848841935,-0.29570967483538485,False,future_alpha
C3 Hybrid,3,60,2023-07,2023-12,0.14061495664450568,-0.045213648078425525,-0.13495343200981663,0.18582860472293122,0.0897397839313911,0.2755683886543223,True,future_alpha
C3 Hybrid,3,66,2024-01,2024-06,1.2652841863506257,0.19166457354547484,0.13375639130271227,1.073619612805151,0.05790818224276256,1.1315277950479135,True,future_alpha
C3 Hybrid,3,72,2024-07,2024-12,0.26765901604790093,-0.12278363679260124,-1.904113459789679,0.39044265284050217,1.7813298229970778,2.17177247583758,True,future_alpha
C3 Hybrid,3,78,2025-01,2025-06,0.03869359810508966,0.02736844272162582,-0.5418037918292067,0.01132515538346384,0.5691722345508325,0.5804973899342963,True,future_alpha
C4 Hybrid + régime,4,0,2018-07,2018-12,-0.13032495138788572,0.3948054931098687,-0.032894167453899954,-0.5251304444977544,0.4276996605637686,-0.09743078393398577,False,future_alpha
C4 Hybrid + régime,4,6,2019-01,2019-06,-0.658662179250716,-0.1700890156625356,-0.053544759620147805,-0.4885731635881804,-0.11654425604238779,-0.6051174196305682,False,future_alpha
C4 Hybrid + régime,4,12,2019-07,2019-12,-0.058272285663271285,0.15023325321816627,-1.2503895493367438,-0.20850553888143755,1.4006228025549101,1.1921172636734725,False,future_alpha
C4 Hybrid + régime,4,18,2020-01,2020-06,0.5075367461247208,0.08787360679766132,0.05876374198094201,0.41966313932705945,0.02910986481671931,0.44877300414377874,True,future_alpha
C4 Hybrid + régime,4,24,2020-07,2020-12,-2.1185486905971307,-0.09962968528738231,-0.0010280547769718905,-2.0189190053097485,-0.09860163051041042,-2.1175206358201586,False,future_alpha
C4 Hybrid + régime,4,30,2021-01,2021-06,-0.2539534028565865,0.2575414161013282,-0.23894077791091323,-0.5114948189579147,0.4964821940122414,-0.015012624945673292,False,future_alpha
