cellule,modele,regime,n,IC_mean,IC_median,IC_std,hit_mean,hit_std,pct_IC_pos
1,ridge,False,14,0.0445784149346933,0.0348261090783734,0.11717953522416277,0.5126480447485205,0.045112900782237945,0.6428571428571429
2,ridge,True,14,0.0443983319543785,0.0322673992983228,0.11685920974454064,0.5082903427640021,0.04645764435347621,0.6428571428571429
3,hybrid,False,14,0.04890227516291244,0.03532854171393285,0.11201584689966886,0.5277579314165222,0.040186909272434436,0.5
4,hybrid,True,14,0.04914531165388526,0.0378658703332142,0.11221935840451058,0.5276397881692856,0.04039475321862885,0.5
