contrast,formula,label,n,mean,median,std,ci95_low,ci95_high,wilcoxon_stat,pvalue_wilcoxon,significant_5pct,conclusion
regime_on_ridge,C2-C1,Effet regime | Ridge,14,-0.00018008298031480918,-0.00046313503113216276,0.002859867855436814,-0.001831321519242891,0.0014711555586132726,33.0,0.2412109375,False,Pas d'effet significatif
regime_on_hybrid,C4-C3,Effet regime | Hybrid,14,0.00024303649097282308,0.00014979646605684654,0.002605479354550519,-0.0012613225004527286,0.0017473954823983746,52.0,1.0,False,Pas d'effet significatif
hybrid_vs_ridge,C3-C1,Hybrid vs Ridge (sans regime),14,0.004323860228219135,0.013941852005014597,0.04647101528327836,-0.02250770516491149,0.031155425621349757,44.0,0.625732421875,False,Pas d'effet significatif
interaction,C4-C3-(C2-C1),Interaction modele x regime,14,0.0004231194712876322,0.00032769609192031136,0.0011439176894496646,-0.00023735893878643922,0.0010835978813617036,32.0,0.216552734375,False,Pas d'effet significatif
