Configuration,IC,Hit,% BUY,% Neutral,% SELL,Precision BUY,Precision SELL
C1 Ridge,0.04066290646047391,0.5118162146062708,0.4394906756123075,0.34260361432745373,0.2179057100602388,0.485801050558109,0.5568614467803343
C2 Ridge + régime,0.04064065875129734,0.509337182463548,0.4311943151895538,0.33012300256105037,0.23868268224939582,0.4796720762924544,0.5525162460329455
C3 Hybrid,0.04323659078166456,0.5249755540077189,0.3156224073873679,0.30014789164231864,0.38422970097031345,0.4859428571428571,0.5603642508449117
C4 Hybrid + régime,0.04326878682239068,0.5249220287999266,0.3161274032391877,0.3006168163618656,0.3832557803989467,0.485851209493382,0.56
