fold_id,cell_id,cell_name,model,regime,test_start_month,test_end_month,n_train,n_test,rank_ic,ic_pearson,hit_ratio,rf_n_estimators,rf_max_depth,rf_min_samples_leaf
10,1,ridge_static,ridge,False,2019-05,2019-10,36655,5977,0.10264997718890952,0.0006729714063026232,0.5092855947799899,100,4,20
10,2,ridge_adapt,ridge,True,2019-05,2019-10,36655,5977,0.10122053199663189,0.0005204288625364778,0.5104567508783671,100,4,20
10,3,hybrid_static,hybrid,False,2019-05,2019-10,36655,5977,0.10183286598537074,-0.035440241248062145,0.5465952819140036,100,4,20
10,4,hybrid_adapt,hybrid,True,2019-05,2019-10,36655,5977,0.1044439251360545,-0.03561057087993489,0.5477664380123808,100,4,20
11,1,ridge_static,ridge,False,2019-06,2019-11,36649,5824,0.11311905098881923,0.05858544981934431,0.5305631868131868,100,4,20
11,2,ridge_adapt,ridge,True,2019-06,2019-11,36649,5824,0.10955571150621156,0.05871757346837272,0.5137362637362637,100,4,20
11,3,hybrid_static,hybrid,False,2019-06,2019-11,36649,5824,0.06563229649802739,0.0534620847533213,0.5243818681318682,100,4,20
11,4,hybrid_adapt,hybrid,True,2019-06,2019-11,36649,5824,0.06408348761016829,0.05331726596744565,0.5243818681318682,100,4,20
12,1,ridge_static,ridge,False,2019-07,2019-12,36411,6090,0.1350090906826982,0.12827077541886361,0.5413793103448276,100,4,20
12,2,ridge_adapt,ridge,True,2019-07,2019-12,36411,6090,0.1335439252077347,0.12861463250535646,0.5190476190476191,100,4,20
12,3,hybrid_static,hybrid,False,2019-07,2019-12,36411,6090,0.09528937115528793,0.14966030352668433,0.5295566502463054,100,4,20
12,4,hybrid_adapt,hybrid,True,2019-07,2019-12,36411,6090,0.09455297213020729,0.14913487947387008,0.5287356321839081,100,4,20
13,1,ridge_static,ridge,False,2019-08,2020-01,36562,6131,0.06500652222287912,0.09015052992641827,0.5338443973250693,100,4,20
13,2,ridge_adapt,ridge,True,2019-08,2020-01,36562,6131,0.06395010025968237,0.08995272314189534,0.5495025281357038,100,4,20
13,3,hybrid_static,hybrid,False,2019-08,2020-01,36562,6131,0.05743755167068268,0.11738887084148429,0.4925786984178764,100,4,20
13,4,hybrid_adapt,hybrid,True,2019-08,2020-01,36562,6131,0.057817476251764297,0.11888676177021423,0.49290490947643123,100,4,20
14,1,ridge_static,ridge,False,2019-09,2020-02,36252,6306,0.020781416664771114,0.0475631689466735,0.5304471931493815,100,4,20
14,2,ridge_adapt,ridge,True,2019-09,2020-02,36252,6306,0.020111607905771444,0.04770415609395874,0.5466222645099905,100,4,20
14,3,hybrid_static,hybrid,False,2019-09,2020-02,36252,6306,0.040587854545070176,0.10817304288698731,0.49207104345068187,100,4,20
14,4,hybrid_adapt,hybrid,True,2019-09,2020-02,36252,6306,0.04386346787228354,0.11167925029785544,0.49429115128449097,100,4,20
15,1,ridge_static,ridge,False,2019-10,2020-03,36265,6371,-0.006773777190402501,0.015880845521544236,0.5218960916653587,100,4,20
15,2,ridge_adapt,ridge,True,2019-10,2020-03,36265,6371,-0.006020603804846155,0.0174802080300944,0.5341390676502904,100,4,20
15,3,hybrid_static,hybrid,False,2019-10,2020-03,36265,6371,0.007352144972558141,0.026821222185272806,0.46821535080835036,100,4,20
15,4,hybrid_adapt,hybrid,True,2019-10,2020-03,36265,6371,0.008806927322893766,0.02553094854733938,0.4700988855752629,100,4,20
16,1,ridge_static,ridge,False,2019-11,2020-04,36493,6249,-0.021378289168565726,0.03681776707237054,0.5261641862698032,100,4,20
16,2,ridge_adapt,ridge,True,2019-11,2020-04,36493,6249,-0.016418705284477565,0.04207274138972534,0.532725236037766,100,4,20
16,3,hybrid_static,hybrid,False,2019-11,2020-04,36493,6249,-0.00700925320657921,0.029362590282806078,0.48823811809889583,100,4,20
16,4,hybrid_adapt,hybrid,True,2019-11,2020-04,36493,6249,-0.0038192725326011098,0.03268182747760639,0.4890382461193791,100,4,20
17,1,ridge_static,ridge,False,2019-12,2020-05,36356,6231,-0.001865480390161984,0.01890608204012888,0.5365109934199968,100,4,20
17,2,ridge_adapt,ridge,True,2019-12,2020-05,36356,6231,0.004504093159650686,0.02614544865244706,0.5403627026159525,100,4,20
17,3,hybrid_static,hybrid,False,2019-12,2020-05,36356,6231,0.028416475860308873,0.002684923820163814,0.5132402503610978,100,4,20
17,4,hybrid_adapt,hybrid,True,2019-12,2020-05,36356,6231,0.033069027680052196,0.007315344692115168,0.5143636655432515,100,4,20
