Configuration,cell,n_blocks,mean_BUY,mean_NEUTRAL,mean_SELL,spread_BUY_NEUTRAL_mean,spread_NEUTRAL_SELL_mean,spread_BUY_SELL_mean,spread_BUY_SELL_median,spread_BUY_SELL_std,pct_blocks_BUY_gt_SELL,pct_blocks_full_order,metric,rank_BUY_SELL
C1 Ridge,1,14,0.018648559252920967,0.003057222914477026,0.00873833490669293,0.015591336338443942,-0.005681111992215903,0.009910224346228038,0.005875971486723015,0.041785174210147234,0.5,0.42857142857142855,future_excess,3
C2 Ridge + régime,2,14,0.01761852339417288,0.007533040075957753,0.008333368272024327,0.010085483318215125,-0.0008003281960665754,0.009285155122148553,0.003060256338021851,0.04097916348453458,0.5,0.42857142857142855,future_excess,4
C3 Hybrid,3,14,0.020587151583898115,0.014747523669652604,0.008533520839710554,0.005839627914245512,0.006214002829942049,0.01205363074418756,0.014645160072743899,0.03745605823274299,0.6428571428571429,0.35714285714285715,future_excess,1
C4 Hybrid + régime,4,14,0.019779361087028966,0.016390847435810752,0.008119751124303092,0.0033885136512182136,0.00827109631150766,0.011659609962725873,0.01322017680951498,0.036123281755362856,0.6428571428571429,0.35714285714285715,future_excess,2
