cellule,modele,regime,n,IC_mean,IC_median,IC_std,hit_mean,hit_std,pct_IC_pos
1,ridge,False,81,0.0406629064604739,0.0406437501278878,0.12139877052045903,0.5118162146062708,0.04254109543254378,0.6049382716049383
2,ridge,True,81,0.04064065875129733,0.0452857621447155,0.12066567124234023,0.509337182463548,0.04571104325080021,0.6296296296296297
3,hybrid,False,81,0.04323659078166456,0.0573980199847351,0.12131681430560433,0.5249755540077189,0.043811722731698435,0.6296296296296297
4,hybrid,True,81,0.04326878682239068,0.0578685668575294,0.1210973988550012,0.5249220287999268,0.043084163784013786,0.6419753086419753
