pair,label,delta_IC_mean,mean_loss_diff,dm_stat,dm_stat_hln,pvalue,pvalue_hln,n_blocks,significant_5pct_hln
C1_vs_C2,adaptation (C2 vs C1),-0.00018008298031479963,-0.00018008298031480918,-0.23560837338907567,-0.22703790950657168,0.8174075970929322,0.8239255564952415,14,False
C1_vs_C3,hybridation (C3 vs C1),0.004323860228219144,0.004323860228219135,0.34813966218886666,0.3354757727101612,0.7333081247647495,0.7426183788360792,14,False
C1_vs_C4,combine (C4 vs C1),0.004566896719191964,0.004566896719191958,0.3637854079339478,0.35055239055501436,0.7218661474041297,0.731539245829371,14,False
C2_vs_C4,hybridation | regime (C4 vs C2),0.004746979699506763,0.004746979699506765,0.3855280598019234,0.37150413414641265,0.7060808696991416,0.7162466642272853,14,False
C3_vs_C4,adaptation | hybrid (C4 vs C3),0.00024303649097281999,0.00024303649097282308,0.34901803390453606,0.3363221928743799,0.7326639671351506,0.7419947713831512,14,False
