contrast,formula,label,n,mean,median,std,ci95_low,ci95_high,wilcoxon_stat,pvalue_wilcoxon,significant_5pct,conclusion
regime_on_ridge,C2-C1,Effet regime | Ridge,81,-2.224770917657274e-05,3.4910070537103044e-05,0.0035822874079242915,-0.0008143565019466322,0.0007698610835934868,1607.0,0.8011237406683931,False,Pas d'effet significatif
regime_on_hybrid,C4-C3,Effet regime | Hybrid,81,3.2196040726126384e-05,3.22360070963007e-05,0.0029920287485286586,-0.000629395844583718,0.0006937879260359708,1646.0,0.9455706445611634,False,Pas d'effet significatif
hybrid_vs_ridge,C3-C1,Hybrid vs Ridge (sans regime),81,0.002573684321190648,0.007322360001585815,0.04515191292700748,-0.007410223491665277,0.012557592134046574,1375.0,0.17887911437683568,False,Pas d'effet significatif
interaction,C4-C3-(C2-C1),Interaction modele x regime,81,5.444374990269915e-05,5.0099552742704535e-05,0.001970208182243561,-0.0003812050540683145,0.0004900925538737129,1541.0,0.5736803273736797,False,Pas d'effet significatif
