date,C1 — Ridge,C2 — Random Forest,C3 — LightGBM,C4 — Ridge + RF + LightGBM,C5 — Ridge + RF + LightGBM + régime,MASI
2018-07-31,,,,,,100.08009065580615
2018-08-01,,,,,,99.7648402021011
2018-08-02,99.73477218880494,99.93085267991981,99.71359882448179,99.76789553583706,99.82981420503252,100.20278272427512
2018-08-03,99.2191049640937,99.58398599689856,99.30148017231127,99.24849306072377,99.30230752558067,99.9642148133632
2018-08-06,99.09249258054554,99.2607960420545,99.49353802098835,99.94351683882738,99.44014525589255,100.12184004021572
2018-08-07,99.11207641099821,99.34173835403094,99.79562067323619,100.01608925767277,99.69233354653774,100.31269436894526
2018-08-08,99.39265274504359,99.71920927118397,100.46877413073389,100.53684183802847,100.28094685338809,100.41323370282957
2018-08-09,98.9468046071077,99.30098553277837,99.88091594684872,100.06995902877256,99.67199037978288,100.32377073623759
2018-08-10,98.7970925929717,99.16916699391604,99.94437236504777,100.33918552824504,99.90500052306828,99.71031039389264
2018-08-13,98.65030752011738,98.85066875824445,99.45140199145305,100.10195476837904,99.53937674942853,98.99119854814383
2018-08-15,98.19237321033374,98.6376977652061,99.09143623791826,99.50817937343082,98.93905491462016,98.92729642914956
2018-08-16,98.09553286328719,98.59260318250952,99.01829557270142,99.68662645594867,98.91305820656595,98.86680242316834
2018-08-17,99.01216789785178,99.74471863894634,99.57449437330598,100.20570404159474,99.60260628032955,99.86026736646586
2018-08-24,99.38783893943392,99.80709410867047,99.91366751489153,100.5658249889834,100.24757787343512,99.7111624221459
2018-08-27,99.08568290050914,99.61145568120303,99.46639425819411,99.90785660264642,99.51286147017306,99.42828904206462
2018-08-28,98.6154058731913,99.31156493539028,99.05933543403765,99.36925483885551,98.9010057482664,99.65748464219072
2018-08-29,98.27349440173124,98.89120806673914,98.85064075482123,99.27913518594251,98.48281622534026,99.17268056608756
2018-08-30,98.58115993244881,99.1633114889377,98.98729427744989,99.52615829414768,98.90674721652388,98.92559237264308
2018-08-31,98.8067408864165,98.61678931819222,99.26011741576595,100.25839635263505,99.25446872546728,98.37944226230542
2018-09-03,,,,,,97.67737098162176
2018-09-04,98.33927475840328,98.31060331956874,98.70305910229173,100.62349278229235,99.05118531190263,97.71826833777808
2018-09-05,98.3206795337587,98.34229682128729,99.00955852121824,100.31019488258382,99.23408234496378,97.06135455451704
2018-09-06,97.89773998483912,98.04609771052654,98.86479266041025,100.36648329786293,99.28328301550965,96.27834058977398
2018-09-07,95.97665910883909,95.93594804694305,95.60276908452194,97.22273346407972,96.22238519076558,94.59984493085791
2018-09-10,96.83285653534732,96.54015558537012,96.96932901583766,98.54233200643841,97.38158646366315,95.05568004635033
2018-09-12,97.12429824749387,96.84879764721033,97.36384402812752,99.12273538614151,97.71169445533656,95.00967052067446
2018-09-13,97.33109860715776,97.22398084507516,97.67506927506797,99.70386718267561,98.2756506596177,95.52003544437532
2018-09-14,96.8176305141332,96.78714601602391,96.22054522763118,98.7518920347892,97.21498401430014,95.10680174154574
2018-09-17,96.63166367997762,96.65618371059286,96.63248993747517,98.57764701323914,97.14294380722419,94.89975887600431
2018-09-18,96.11475698800498,96.24076184913984,96.07835923900787,97.8698005508085,96.02383512569482,95.2908398442492
2018-09-19,95.58250713480344,95.51716808237195,95.48480314129137,97.4578142153783,95.52764647457383,94.96877316451811
2018-09-20,95.58896538979978,95.29398866708067,96.02432103306361,97.8082353823481,96.05500423988569,95.41864408223775
2018-09-21,95.72312263675414,95.42883990459298,95.93657535383797,97.50952483980997,95.57376285051784,95.39649134765307
2018-09-24,95.85080709042467,95.58354384838954,96.2344120260069,97.79077172545728,96.07133270111065,94.92276363884223
2018-09-25,96.44025050535876,96.1980762818477,96.7532982656554,98.04591209628663,96.72756210700277,95.75860335528724
