date,ret,wealth100
2010-01-05,-0.0019975951281951954,99.80024048718047
2010-01-06,0.01565323850055389,101.36243745393895
2010-01-07,0.025600551043251096,103.95737170784687
2010-01-08,0.005755328576092511,104.55568053993251
2010-01-12,0.005713119771475039,105.15301966564523
2010-01-13,-0.006012652391228057,104.52077111050775
2010-01-14,0.005195479932458724,105.0638066793375
2010-01-15,-0.0021874365458808276,104.83398626895777
2010-01-18,0.00724269024780555,105.59326635894652
2010-01-19,0.009155860852955167,106.56006361273806
2010-01-20,0.0017381175549873173,106.74527752996393
2010-01-21,-0.003134084302325535,106.41072883130988
2010-01-22,-0.0048662687383240755,105.8929056281758
2010-01-25,-0.0015659197260098345,105.72708583840813
2010-01-26,0.0002476382646978692,105.75326791047672
2010-01-27,0.003218500417212944,106.09363484736822
2010-01-28,0.004268426440479756,106.54648772351733
2010-01-29,-0.005378839590443718,105.97339125712735
2010-02-01,-0.007503385674023644,105.17823203134091
2010-02-02,0.00585447706151343,105.79399557813893
2010-02-03,0.0019981851346027035,106.0053915674334
2010-02-04,-0.00271686928839987,105.71738877467905
2010-02-05,0.002293157218858921,105.95981536790661
2010-02-08,0.0020408163265306367,106.17605988906563
2010-02-09,0.005415871334240707,106.75109576820144
2010-02-10,0.0009810511781698228,106.85582405647574
2010-02-11,-0.0019601793201081685,106.64636747992711
2010-02-12,0.009047263998254174,107.61122532097282
2010-02-15,-0.005406720553648214,107.02940149722666
2010-02-16,0.0002718056046315809,107.05849268841396
2010-02-17,-0.0031249150838292827,106.7239439897599
2010-02-18,-0.002662232640971096,106.43982002249719
2010-02-19,0.007024096934359791,107.18746363601102
2010-02-22,0.0020807700658609374,107.4104961017804
2010-02-23,-0.0008847480273731501,107.31546487723517
2010-02-24,-0.0027921350345175844,107.01582560800591
2010-02-25,0.003977926585054137,107.44152670571351
2010-02-26,0.0015343237242548824,107.60637678910825
2010-03-01,-0.005443010597649733,107.02067413987044
2010-03-02,-0.003289116016092164,106.66867072650402
2010-03-03,0.000990900082726398,106.77436872115122
2010-03-04,0.001988920170738373,106.98673441681859
2010-03-05,-0.004323432642369562,106.52418447694039
2010-03-08,0.0006099115173141545,106.58915480392537
2010-03-09,0.003720921769666763,106.98576471044568
2010-03-10,-0.0018943513885867347,106.78309607850743
2010-03-11,0.0007900543956993467,106.86746053295064
2010-03-12,0.00011796090956939231,106.88006671579848
2010-03-15,-0.005017283771400538,106.3438190915791
2010-03-16,-0.002553207010376979,106.07230130716422
2010-03-17,0.0008959098970617863,106.16733253170945
2010-03-18,0.005936940557524473,106.79764167410113
2010-03-19,-0.0025786768845225128,106.5222450641946
2010-03-22,0.002102867546654563,106.74624723633687
2010-03-23,1.8168439603449826e-05,106.74818664908268
2010-03-24,0.0029523177965715686,107.0633412202785
2010-03-25,-0.0007245851749873022,106.98576471044568
2010-03-26,0.01773801754767601,108.8834800822311
2010-03-29,0.019236763592643813,110.97804584771731
2010-03-30,0.012337804185416745,112.34727124626664
2010-03-31,-0.014405689772737151,110.72883130987938
2010-04-01,-0.007084807510421398,109.94433885419497
2010-04-02,0.001384736150433552,110.09658275474187
2010-04-05,-0.00013211668545654032,110.08203715914824
2010-04-06,-0.0018058332819478329,109.88324735270163
2010-04-07,0.005912668996434833,110.53295062255152
2010-04-08,0.0005614724615303768,110.59501183041777
2010-04-09,-0.000955721174923263,110.48931383577056
2010-04-12,0.004168824216041589,110.94992436290295
2010-04-13,0.007193049923087669,111.74799270780811
2010-04-14,0.003019811001484074,112.0854505255809
2010-04-15,0.006505921946239557,112.81466971800941
2010-04-16,0.028588865298825095,116.03991311430903
2010-04-19,-0.0007604562737643095,115.9516698343742
2010-04-20,0.015103617843343908,117.70295954385017
2010-04-21,-0.008197396605701068,116.73810170280446
2010-04-22,0.0049175561739420726,117.31216787556735
2010-04-23,0.0031245608669416836,117.67871688452745
2010-04-26,0.0016645379259199178,117.87459757185535
2010-04-27,0.003109652261901852,118.24114658081544
2010-04-28,0.001640218149013828,118.4350878553975
2010-04-29,0.0055021083227577705,119.08673053799322
2010-04-30,0.0005130000732855855,119.14782203948656
2010-05-03,0.00034996337592563265,119.18951941352167
2010-05-04,0.0015132654804617118,119.36988479888298
2010-05-05,-0.005069090731849912,118.76478802218698
