date,ticker,predicted_return,benchmark_return,excess_return,conviction_score,tau,recommendation,regime,fold_id,test_start_month,test_end_month,realized_alpha,benchmark_mode,tau_method,model_id,groupe,risk_vol_baissiere_20d,liquidity_vmq_20j,cell,model,month,alpha,liquidity_L,vmq,strategy_label,name,regime_market,weight,weight_pct,in_portfolio
2018-07-31,CTM,0.3730325935662475,0.0,0.3730325935662475,0.3730325935662475,0.1,BUY,False,0,2018-07,2018-12,-0.20488760354408453,zero_alpha,expanding_past_quantile,c1_ridge,C1_ridge,0.057582570139179945,39529.35,,,2018-07,0.3730325935662475,,39529.35,C1 — Ridge,CTM SA,,0.018910220218105966,1.8910220218105966,1
2018-07-31,DHO,0.20877273230911927,0.0,0.20877273230911927,0.20877273230911927,0.1,BUY,False,0,2018-07,2018-12,0.06963965260336824,zero_alpha,expanding_past_quantile,c1_ridge,C1_ridge,0.22472822833327302,64475.19700000009,,,2018-07,0.20877273230911927,,64475.19700000009,C1 — Ridge,DELTA HOLDING,,0.025251965688750367,2.5251965688750366,1
2018-07-31,DRI,0.5895523748597018,0.0,0.5895523748597018,0.5895523748597018,0.1,BUY,False,0,2018-07,2018-12,-0.04812819787358765,zero_alpha,expanding_past_quantile,c1_ridge,C1_ridge,0.09465727652959369,24018.2,,,2018-07,0.5895523748597018,,24018.2,C1 — Ridge,DARI,,0.0462473599313852,4.62473599313852,1
2018-07-31,DWY,0.3333703075853195,0.0,0.3333703075853195,0.3333703075853195,0.1,BUY,False,0,2018-07,2018-12,-0.6941180173188343,zero_alpha,expanding_past_quantile,c1_ridge,C1_ridge,0.24239762631090733,44662.99249999963,,,2018-07,0.3333703075853195,,44662.99249999963,C1 — Ridge,DISWAY,,0.0,0.0,0
2018-07-31,EQD,0.3081066829812935,0.0,0.3081066829812935,0.3081066829812935,0.1,BUY,False,0,2018-07,2018-12,0.18506694289344017,zero_alpha,expanding_past_quantile,c1_ridge,C1_ridge,0.25094243794840027,2113.9,,,2018-07,0.3081066829812935,,2113.9,C1 — Ridge,CREDIT EQDOM,,0.04526120426776625,4.526120426776625,1
2018-07-31,FBR,0.23849015785702476,0.0,0.23849015785702476,0.23849015785702476,0.1,BUY,False,0,2018-07,2018-12,-0.08326589389023673,zero_alpha,expanding_past_quantile,c1_ridge,C1_ridge,0.3304261552434264,22089.581500000022,,,2018-07,0.23849015785702476,,22089.581500000022,C1 — Ridge,FENIE BROSSETTE,,0.0,0.0,0
2018-07-31,GAZ,0.20909476103122618,0.0,0.20909476103122618,0.20909476103122618,0.1,BUY,False,0,2018-07,2018-12,0.8324974336507271,zero_alpha,expanding_past_quantile,c1_ridge,C1_ridge,0.21237209477793492,268044.0,,,2018-07,0.20909476103122618,,268044.0,C1 — Ridge,AFRIQUIA GAZ ,,0.007594427484551588,0.7594427484551588,1
2018-07-31,HPS,0.29483142418219666,0.0,0.29483142418219666,0.29483142418219666,0.1,BUY,False,0,2018-07,2018-12,1.6172933681413169,zero_alpha,expanding_past_quantile,c1_ridge,C1_ridge,0.19564893929838828,71143.80999999981,,,2018-07,0.29483142418219666,,71143.80999999981,C1 — Ridge,HPS (VN 10),,0.01564906601786805,1.564906601786805,1
2018-07-31,IAM,0.026268661495563977,0.0,0.026268661495563977,0.026268661495563977,0.1,NEUTRAL,False,0,2018-07,2018-12,1.0255852738701694,zero_alpha,expanding_past_quantile,c1_ridge,C1_ridge,0.04783934389426731,11624962.482500002,,,2018-07,0.026268661495563977,,11624962.482500002,C1 — Ridge,ITISSALAT AL MAGHRIB,,0.002077904434161435,0.2077904434161435,1
2018-07-31,IBC,0.12423212266703862,0.0,0.12423212266703862,0.12423212266703862,0.1,BUY,False,0,2018-07,2018-12,0.09588905597357521,zero_alpha,expanding_past_quantile,c1_ridge,C1_ridge,0.43849729923602293,4099.1515,,,2018-07,0.12423212266703862,,4099.1515,C1 — Ridge,IB MAROC.COM SA,,0.0006605866804450243,0.06605866804450243,1
2018-07-31,IMO,0.20954973993594236,0.0,0.20954973993594236,0.20954973993594236,0.1,BUY,False,0,2018-07,2018-12,0.6654740542646042,zero_alpha,expanding_past_quantile,c1_ridge,C1_ridge,0.0625742268558658,141421.9575,,,2018-07,0.20954973993594236,,141421.9575,C1 — Ridge,IMMORENT INVEST,,0.0,0.0,0
2018-07-31,INV,0.4162828166988061,0.0,0.4162828166988061,0.4162828166988061,0.1,BUY,False,0,2018-07,2018-12,0.10700807332159606,zero_alpha,expanding_past_quantile,c1_ridge,C1_ridge,0.3245865170816667,2221.172500000003,,,2018-07,0.4162828166988061,,2221.172500000003,C1 — Ridge,INVOLYS,,0.0004078830445609517,0.04078830445609517,1
2018-07-31,JET,0.45952690592593354,0.0,0.45952690592593354,0.45952690592593354,0.1,BUY,False,0,2018-07,2018-12,0.03207192452698968,zero_alpha,expanding_past_quantile,c1_ridge,C1_ridge,0.24714088951593918,1056941.62,,,2018-07,0.45952690592593354,,1056941.62,C1 — Ridge,JET CONTRACTORS,,0.08110040553994348,8.110040553994349,1
2018-07-31,LBV,0.3833941824053413,0.0,0.3833941824053413,0.3833941824053413,0.1,BUY,False,0,2018-07,2018-12,-0.12060238490427544,zero_alpha,expanding_past_quantile,c1_ridge,C1_ridge,0.22615251408365966,686098.6,,,2018-07,0.3833941824053413,,686098.6,C1 — Ridge,LABEL VIE,,0.056050179162882234,5.605017916288223,1
