period,quarter,portfolio,ticker,weight,weight_pct,rebalance_date
2024-09,2024-Q3,P_agressif,DRI,0.2128,21.28,2024-09-30
2024-09,2024-Q3,P_agressif,SOT,0.0951,9.51,2024-09-30
2024-09,2024-Q3,P_agressif,LBV,0.0858,8.58,2024-09-30
2024-09,2024-Q3,P_agressif,MUT,0.0657,6.57,2024-09-30
2024-09,2024-Q3,P_agressif,CMT,0.0586,5.86,2024-09-30
2024-09,2024-Q3,P_agressif,JET,0.0547,5.47,2024-09-30
2024-09,2024-Q3,P_agressif,DWY,0.0471,4.71,2024-09-30
2024-09,2024-Q3,P_agressif,GAZ,0.0444,4.44,2024-09-30
2024-09,2024-Q3,P_agressif,CSR,0.0384,3.84,2024-09-30
2024-09,2024-Q3,P_agressif,SMI,0.0381,3.81,2024-09-30
2024-09,2024-Q3,P_agressif,MSA,0.0373,3.73,2024-09-30
2024-09,2024-Q3,P_agressif,HPS,0.022,2.2,2024-09-30
2024-09,2024-Q3,P_agressif,TQM,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_agressif,SNP,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_agressif,DHO,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_agressif,MIC,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_agressif,MNG,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_agressif,SID,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_agressif,WAA,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_agressif,RDS,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_agressif,EQD,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_agressif,STR,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_equilibre,DRI,0.2123,21.23,2024-09-30
2024-09,2024-Q3,P_equilibre,SOT,0.0923,9.23,2024-09-30
2024-09,2024-Q3,P_equilibre,LBV,0.0831,8.31,2024-09-30
2024-09,2024-Q3,P_equilibre,MUT,0.0725,7.25,2024-09-30
2024-09,2024-Q3,P_equilibre,CSR,0.0584,5.84,2024-09-30
2024-09,2024-Q3,P_equilibre,CMT,0.0568,5.68,2024-09-30
2024-09,2024-Q3,P_equilibre,JET,0.056,5.6,2024-09-30
2024-09,2024-Q3,P_equilibre,DWY,0.0477,4.77,2024-09-30
2024-09,2024-Q3,P_equilibre,GAZ,0.0428,4.28,2024-09-30
2024-09,2024-Q3,P_equilibre,SMI,0.0369,3.69,2024-09-30
2024-09,2024-Q3,P_equilibre,HPS,0.0213,2.13,2024-09-30
2024-09,2024-Q3,P_equilibre,TQM,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_equilibre,SNP,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_equilibre,MSA,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_equilibre,DHO,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_equilibre,MIC,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_equilibre,MNG,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_equilibre,SID,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_equilibre,WAA,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_equilibre,RDS,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_equilibre,EQD,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_equilibre,STR,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_defensif,DRI,0.2341,23.41,2024-09-30
2024-09,2024-Q3,P_defensif,SOT,0.1052,10.52,2024-09-30
2024-09,2024-Q3,P_defensif,DWY,0.0812,8.12,2024-09-30
2024-09,2024-Q3,P_defensif,MUT,0.0723,7.23,2024-09-30
2024-09,2024-Q3,P_defensif,CMT,0.0645,6.45,2024-09-30
2024-09,2024-Q3,P_defensif,JET,0.0602,6.02,2024-09-30
2024-09,2024-Q3,P_defensif,CSR,0.0422,4.22,2024-09-30
2024-09,2024-Q3,P_defensif,SMI,0.042,4.2,2024-09-30
2024-09,2024-Q3,P_defensif,LBV,0.0283,2.83,2024-09-30
2024-09,2024-Q3,P_defensif,GAZ,0.0249,2.49,2024-09-30
2024-09,2024-Q3,P_defensif,HPS,0.0242,2.42,2024-09-30
2024-09,2024-Q3,P_defensif,MIC,0.021,2.1,2024-09-30
2024-09,2024-Q3,P_defensif,WAA,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_defensif,SNP,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_defensif,TQM,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_defensif,MSA,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_defensif,SID,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_defensif,RDS,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_defensif,DHO,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_defensif,MNG,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_defensif,EQD,0.02,2.0,2024-09-30
2024-09,2024-Q3,P_defensif,STR,0.02,2.0,2024-09-30
