period,quarter,portfolio,ticker,weight,weight_pct,rebalance_date
2024-02,2024-Q1,P_agressif,MSA,0.13,13.0,2024-02-29
2024-02,2024-Q1,P_agressif,M2M,0.1143,11.43,2024-02-29
2024-02,2024-Q1,P_agressif,LBV,0.0878,8.78,2024-02-29
2024-02,2024-Q1,P_agressif,GAZ,0.0655,6.55,2024-02-29
2024-02,2024-Q1,P_agressif,DRI,0.0653,6.53,2024-02-29
2024-02,2024-Q1,P_agressif,HPS,0.061,6.1,2024-02-29
2024-02,2024-Q1,P_agressif,DWY,0.059,5.9,2024-02-29
2024-02,2024-Q1,P_agressif,MIC,0.0526,5.26,2024-02-29
2024-02,2024-Q1,P_agressif,SNP,0.0382,3.82,2024-02-29
2024-02,2024-Q1,P_agressif,JET,0.0364,3.64,2024-02-29
2024-02,2024-Q1,P_agressif,SMI,0.0362,3.62,2024-02-29
2024-02,2024-Q1,P_agressif,ATL,0.0337,3.37,2024-02-29
2024-02,2024-Q1,P_agressif,EQD,0.0303,3.03,2024-02-29
2024-02,2024-Q1,P_agressif,MNG,0.0272,2.72,2024-02-29
2024-02,2024-Q1,P_agressif,CMT,0.0224,2.24,2024-02-29
2024-02,2024-Q1,P_agressif,LES,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_agressif,CSR,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_agressif,RDS,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_agressif,TQM,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_agressif,WAA,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_agressif,DHO,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_agressif,MUT,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_equilibre,DRI,0.1641,16.41,2024-02-29
2024-02,2024-Q1,P_equilibre,MSA,0.1163,11.63,2024-02-29
2024-02,2024-Q1,P_equilibre,LBV,0.0821,8.21,2024-02-29
2024-02,2024-Q1,P_equilibre,M2M,0.0785,7.85,2024-02-29
2024-02,2024-Q1,P_equilibre,JET,0.0594,5.94,2024-02-29
2024-02,2024-Q1,P_equilibre,MIC,0.0536,5.36,2024-02-29
2024-02,2024-Q1,P_equilibre,GAZ,0.0501,5.01,2024-02-29
2024-02,2024-Q1,P_equilibre,CSR,0.0493,4.93,2024-02-29
2024-02,2024-Q1,P_equilibre,ATL,0.0425,4.25,2024-02-29
2024-02,2024-Q1,P_equilibre,SMI,0.0393,3.93,2024-02-29
2024-02,2024-Q1,P_equilibre,SNP,0.0384,3.84,2024-02-29
2024-02,2024-Q1,P_equilibre,CMT,0.0244,2.44,2024-02-29
2024-02,2024-Q1,P_equilibre,DHO,0.0219,2.19,2024-02-29
2024-02,2024-Q1,P_equilibre,HPS,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_equilibre,DWY,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_equilibre,LES,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_equilibre,WAA,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_equilibre,RDS,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_equilibre,TQM,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_equilibre,MNG,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_equilibre,EQD,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_equilibre,MUT,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_defensif,DRI,0.1965,19.65,2024-02-29
2024-02,2024-Q1,P_defensif,M2M,0.0934,9.34,2024-02-29
2024-02,2024-Q1,P_defensif,LES,0.0896,8.96,2024-02-29
2024-02,2024-Q1,P_defensif,JET,0.0768,7.68,2024-02-29
2024-02,2024-Q1,P_defensif,GAZ,0.0719,7.19,2024-02-29
2024-02,2024-Q1,P_defensif,ATL,0.0652,6.52,2024-02-29
2024-02,2024-Q1,P_defensif,MIC,0.0594,5.94,2024-02-29
2024-02,2024-Q1,P_defensif,SMI,0.0485,4.85,2024-02-29
2024-02,2024-Q1,P_defensif,SNP,0.0283,2.83,2024-02-29
2024-02,2024-Q1,P_defensif,EQD,0.0256,2.56,2024-02-29
2024-02,2024-Q1,P_defensif,DHO,0.0241,2.41,2024-02-29
2024-02,2024-Q1,P_defensif,CMT,0.0209,2.09,2024-02-29
2024-02,2024-Q1,P_defensif,HPS,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_defensif,MSA,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_defensif,DWY,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_defensif,LBV,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_defensif,MNG,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_defensif,RDS,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_defensif,TQM,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_defensif,WAA,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_defensif,CSR,0.02,2.0,2024-02-29
2024-02,2024-Q1,P_defensif,MUT,0.02,2.0,2024-02-29
