period,quarter,portfolio,ticker,weight,weight_pct,rebalance_date
2025-08,2025-08,P_agressif,ARD,0.1174,11.74,2025-08-29
2025-08,2025-08,P_agressif,JET,0.112,11.2,2025-08-29
2025-08,2025-08,P_agressif,CFG,0.1058,10.58,2025-08-29
2025-08,2025-08,P_agressif,AKT,0.0981,9.81,2025-08-29
2025-08,2025-08,P_agressif,BOA,0.097,9.7,2025-08-29
2025-08,2025-08,P_agressif,UMR,0.0687,6.87,2025-08-29
2025-08,2025-08,P_agressif,LBV,0.06,6.0,2025-08-29
2025-08,2025-08,P_agressif,CIH,0.0591,5.91,2025-08-29
2025-08,2025-08,P_agressif,S2M,0.0396,3.96,2025-08-29
2025-08,2025-08,P_agressif,DHO,0.027,2.7,2025-08-29
2025-08,2025-08,P_agressif,CDM,0.0259,2.59,2025-08-29
2025-08,2025-08,P_agressif,ALM,0.0237,2.37,2025-08-29
2025-08,2025-08,P_agressif,CMA,0.0226,2.26,2025-08-29
2025-08,2025-08,P_agressif,HPS,0.0163,1.63,2025-08-29
2025-08,2025-08,P_agressif,MNG,0.0161,1.61,2025-08-29
2025-08,2025-08,P_agressif,RIS,0.0158,1.58,2025-08-29
2025-08,2025-08,P_agressif,LES,0.0147,1.47,2025-08-29
2025-08,2025-08,P_agressif,SID,0.0106,1.06,2025-08-29
2025-08,2025-08,P_agressif,TQM,0.01,1.0,2025-08-29
2025-08,2025-08,P_agressif,TMA,0.0096,0.96,2025-08-29
2025-08,2025-08,P_agressif,RDS,0.009,0.9,2025-08-29
2025-08,2025-08,P_agressif,SMI,0.009,0.9,2025-08-29
2025-08,2025-08,P_agressif,AFM,0.0089,0.89,2025-08-29
2025-08,2025-08,P_agressif,STR,0.0086,0.86,2025-08-29
2025-08,2025-08,P_agressif,GAZ,0.0083,0.83,2025-08-29
2025-08,2025-08,P_agressif,DRI,0.0062,0.62,2025-08-29
2025-08,2025-08,P_equilibre,ARD,0.0994,9.94,2025-08-29
2025-08,2025-08,P_equilibre,BOA,0.0944,9.44,2025-08-29
2025-08,2025-08,P_equilibre,CFG,0.0938,9.38,2025-08-29
2025-08,2025-08,P_equilibre,JET,0.0867,8.67,2025-08-29
2025-08,2025-08,P_equilibre,AKT,0.083,8.3,2025-08-29
2025-08,2025-08,P_equilibre,GAZ,0.0808,8.08,2025-08-29
2025-08,2025-08,P_equilibre,DRI,0.0711,7.11,2025-08-29
2025-08,2025-08,P_equilibre,LBV,0.0531,5.31,2025-08-29
2025-08,2025-08,P_equilibre,UMR,0.0524,5.24,2025-08-29
2025-08,2025-08,P_equilibre,CIH,0.0421,4.21,2025-08-29
2025-08,2025-08,P_equilibre,TMA,0.0342,3.42,2025-08-29
2025-08,2025-08,P_equilibre,DHO,0.0239,2.39,2025-08-29
2025-08,2025-08,P_equilibre,CMA,0.0236,2.36,2025-08-29
2025-08,2025-08,P_equilibre,ALM,0.0199,1.99,2025-08-29
2025-08,2025-08,P_equilibre,CDM,0.0198,1.98,2025-08-29
2025-08,2025-08,P_equilibre,S2M,0.0187,1.87,2025-08-29
2025-08,2025-08,P_equilibre,AFM,0.0158,1.58,2025-08-29
2025-08,2025-08,P_equilibre,RIS,0.015,1.5,2025-08-29
2025-08,2025-08,P_equilibre,HPS,0.0138,1.38,2025-08-29
2025-08,2025-08,P_equilibre,MNG,0.0136,1.36,2025-08-29
2025-08,2025-08,P_equilibre,SID,0.009,0.9,2025-08-29
2025-08,2025-08,P_equilibre,TQM,0.0084,0.84,2025-08-29
2025-08,2025-08,P_equilibre,LES,0.0074,0.74,2025-08-29
2025-08,2025-08,P_equilibre,STR,0.0073,0.73,2025-08-29
2025-08,2025-08,P_equilibre,SMI,0.0068,0.68,2025-08-29
2025-08,2025-08,P_equilibre,RDS,0.006,0.6,2025-08-29
2025-08,2025-08,P_defensif,ARD,0.1014,10.14,2025-08-29
2025-08,2025-08,P_defensif,CFG,0.0956,9.56,2025-08-29
2025-08,2025-08,P_defensif,AFM,0.0871,8.71,2025-08-29
2025-08,2025-08,P_defensif,AKT,0.0859,8.59,2025-08-29
2025-08,2025-08,P_defensif,BOA,0.083,8.3,2025-08-29
2025-08,2025-08,P_defensif,DRI,0.0806,8.06,2025-08-29
2025-08,2025-08,P_defensif,JET,0.0748,7.48,2025-08-29
2025-08,2025-08,P_defensif,CMA,0.0678,6.78,2025-08-29
2025-08,2025-08,P_defensif,UMR,0.0547,5.47,2025-08-29
2025-08,2025-08,P_defensif,CIH,0.0414,4.14,2025-08-29
2025-08,2025-08,P_defensif,TMA,0.0352,3.52,2025-08-29
2025-08,2025-08,P_defensif,SID,0.0286,2.86,2025-08-29
2025-08,2025-08,P_defensif,DHO,0.0232,2.32,2025-08-29
2025-08,2025-08,P_defensif,ALM,0.0222,2.22,2025-08-29
2025-08,2025-08,P_defensif,HPS,0.0141,1.41,2025-08-29
2025-08,2025-08,P_defensif,RIS,0.0138,1.38,2025-08-29
2025-08,2025-08,P_defensif,MNG,0.0125,1.25,2025-08-29
2025-08,2025-08,P_defensif,S2M,0.0125,1.25,2025-08-29
2025-08,2025-08,P_defensif,LES,0.012,1.2,2025-08-29
2025-08,2025-08,P_defensif,SMI,0.01,1.0,2025-08-29
2025-08,2025-08,P_defensif,TQM,0.0082,0.82,2025-08-29
2025-08,2025-08,P_defensif,RDS,0.0081,0.81,2025-08-29
2025-08,2025-08,P_defensif,CDM,0.0077,0.77,2025-08-29
2025-08,2025-08,P_defensif,STR,0.0071,0.71,2025-08-29
2025-08,2025-08,P_defensif,LBV,0.0068,0.68,2025-08-29
2025-08,2025-08,P_defensif,GAZ,0.0056,0.56,2025-08-29
