period,quarter,portfolio,ticker,weight,weight_pct,rebalance_date
2023-06,2023-Q2,P_agressif,HPS,0.2261,22.61,2023-06-30
2023-06,2023-Q2,P_agressif,DRI,0.1884,18.84,2023-06-30
2023-06,2023-Q2,P_agressif,M2M,0.1485,14.85,2023-06-30
2023-06,2023-Q2,P_agressif,JET,0.0416,4.16,2023-06-30
2023-06,2023-Q2,P_agressif,GAZ,0.0404,4.04,2023-06-30
2023-06,2023-Q2,P_agressif,LBV,0.0349,3.49,2023-06-30
2023-06,2023-Q2,P_agressif,DWY,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,SNP,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,RDS,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,TQM,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,CSR,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,WAA,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,MNG,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,SID,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,DHO,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,MUT,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,CMT,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,SOT,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,MIC,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,EQD,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,AFM,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_agressif,STR,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,DRI,0.1407,14.07,2023-06-30
2023-06,2023-Q2,P_equilibre,M2M,0.1368,13.68,2023-06-30
2023-06,2023-Q2,P_equilibre,LBV,0.1255,12.55,2023-06-30
2023-06,2023-Q2,P_equilibre,HPS,0.1132,11.32,2023-06-30
2023-06,2023-Q2,P_equilibre,GAZ,0.0937,9.37,2023-06-30
2023-06,2023-Q2,P_equilibre,EQD,0.056,5.6,2023-06-30
2023-06,2023-Q2,P_equilibre,JET,0.0342,3.42,2023-06-30
2023-06,2023-Q2,P_equilibre,SNP,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,DWY,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,RDS,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,CSR,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,WAA,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,MNG,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,TQM,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,SID,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,DHO,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,CMT,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,MUT,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,SOT,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,MIC,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,AFM,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_equilibre,STR,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_defensif,DRI,0.2042,20.42,2023-06-30
2023-06,2023-Q2,P_defensif,M2M,0.1563,15.63,2023-06-30
2023-06,2023-Q2,P_defensif,AFM,0.1487,14.87,2023-06-30
2023-06,2023-Q2,P_defensif,EQD,0.0731,7.31,2023-06-30
2023-06,2023-Q2,P_defensif,GAZ,0.0442,4.42,2023-06-30
2023-06,2023-Q2,P_defensif,LBV,0.0435,4.35,2023-06-30
2023-06,2023-Q2,P_defensif,MNG,0.0278,2.78,2023-06-30
2023-06,2023-Q2,P_defensif,CSR,0.021,2.1,2023-06-30
2023-06,2023-Q2,P_defensif,HPS,0.0206,2.06,2023-06-30
2023-06,2023-Q2,P_defensif,CMT,0.0204,2.04,2023-06-30
2023-06,2023-Q2,P_defensif,JET,0.0202,2.02,2023-06-30
2023-06,2023-Q2,P_defensif,MIC,0.0201,2.01,2023-06-30
2023-06,2023-Q2,P_defensif,DWY,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_defensif,SNP,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_defensif,SID,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_defensif,WAA,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_defensif,RDS,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_defensif,TQM,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_defensif,SOT,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_defensif,MUT,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_defensif,DHO,0.02,2.0,2023-06-30
2023-06,2023-Q2,P_defensif,STR,0.02,2.0,2023-06-30
