Strategie,n_months,Rendement_total,Rendement,Volatilite,Sharpe,Sortino,CVaR,Max_DD,Turnover,Liquidite,n_positions_moy,pct_mois_positifs,ret_mensuel_moyen,wealth_final_100,duree_DD_jours
C1 A_alpha_cvar,84,0.6826763425051274,0.082,0.0991,0.845,1.277,0.0146,-0.2024,0.891,0.5059,35.4,0.5833333333333334,0.0066896840529293,168.26763425051274,579
C1 B_alpha_cvar_L,84,0.8861297089004689,0.1009,0.1076,0.948,1.426,0.0159,-0.2219,0.9424,0.7106,39.65,0.6428571428571429,0.0081193253631697,188.61297089004688,465
C2 A_alpha_cvar,84,0.7480425189084539,0.0883,0.0994,0.901,1.385,0.0146,-0.2163,0.9082,0.5081,34.61,0.6309523809523809,0.007185228760529,174.8042518908454,587
C2 B_alpha_cvar_L,84,1.0227740786860795,0.1126,0.1089,1.035,1.575,0.016,-0.226,0.9707,0.7026,38.65,0.6428571428571429,0.0090142843357634,202.27740786860795,414
C3 A_alpha_cvar,84,0.7688905172703244,0.0902,0.1054,0.873,1.341,0.0152,-0.235,0.9359,0.5228,28.64,0.5714285714285714,0.0073965272759709,176.88905172703244,583
C3 B_alpha_cvar_L,84,1.0214947350884431,0.1125,0.1139,0.994,1.511,0.0165,-0.2417,0.9857,0.7118,31.57,0.6190476190476191,0.0090391934108589,202.14947350884432,548
C4 A_alpha_cvar,84,0.8742755826477615,0.0998,0.1047,0.961,1.507,0.0148,-0.2226,0.9431,0.5171,28.48,0.6071428571428571,0.0080858191179414,187.4275582647761,559
C4 B_alpha_cvar_L,84,0.8131910903290616,0.0943,0.1146,0.844,1.282,0.0167,-0.2434,0.986,0.7131,31.52,0.5952380952380952,0.0077801153797345,181.31910903290617,510
