date,C4,C1,C2,C3,Principal,MASI,EqualWeight,dd_C4,dd_MASI,dd_EqualWeight,dd_C1,dd_C2,dd_C3,dd_Principal
2018-08-02,99.6376308248945,99.7347674010368,99.68487682551051,99.90211705624932,99.68487682551051,100.12259388222473,99.85140108404521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-03,98.93686672509018,99.21910020108017,99.26830281055317,99.18778746572752,99.26830281055317,99.88421688900996,99.40375611006982,-0.0070331268819092685,-0.0023808511542876554,-0.004483111594985045,-0.005170385547530465,-0.0041789088598316315,-0.007150294824278869,-0.0041789088598316315
2018-08-06,98.47200604217852,99.09248782361,99.4320625447831,99.03291539786674,99.4320625447831,100.04171597381257,99.51409530434562,-0.011698640092762558,-0.0008077887844905041,-0.003378077583665373,-0.006439876425882396,-0.002536134755625419,-0.008700532921571469,-0.002536134755625419
2018-08-07,98.69155111313898,99.11207165312258,99.54713530451676,99.29611712372042,99.54713530451676,100.23241756838439,99.91549309782445,-0.00949520481291033,0.0,0.0,-0.006243517322403136,-0.001381769485805373,-0.00606593684283685,-0.001381769485805373
2018-08-08,99.50362745985362,99.3926479736989,99.91962599184215,99.9477457511,99.91962599184215,100.33287644409634,99.74311873267254,-0.001344907179461008,0.0,-0.0017252015659187103,-0.0034302925274015683,0.0,0.0,0.0
2018-08-09,98.70084382783972,98.94679985716591,99.4793719061896,98.98637483437427,99.4793719061896,100.2434850716408,99.23175114533922,-0.009401939701889517,-0.0008909479686386446,-0.0068432025032975075,-0.0079006304862822,-0.004406082201393491,-0.00961873536517599,-0.004406082201393491
2018-08-10,99.32873203536845,98.79708785021684,99.4356343835909,99.70350934090123,99.4356343835909,99.63051566051712,99.23739639805305,-0.0031002221446726486,-0.00700030546787489,-0.006786702229528041,-0.009401731966241278,-0.004843809246151243,-0.0024436410082423476,-0.004843809246151243
2018-08-13,99.32528581479464,98.65030278440898,99.14285612775925,99.73614033765664,99.14285612775925,98.91197929525545,99.17371036083911,-0.0031348096849952434,-0.014161830091979799,-0.0074241012478323265,-0.010873486196314675,-0.007773946873523396,-0.0021171604407199673,-0.007773946873523396
2018-08-15,98.76573818484825,98.19236849660848,98.57491238306218,99.04111686322528,98.57491238306218,98.84812831493007,98.55937043894106,-0.008750636007981205,-0.014798221498150244,-0.013572696454149047,-0.015465007285035193,-0.013457952783868077,-0.009071028876754261,-0.013457952783868077
2018-08-16,98.42045275689304,98.09552815421073,98.78253280648342,98.91743755529274,98.78253280648342,98.78768272022205,98.73788830904245,-0.012216047871918545,-0.015400672029324713,-0.011786007877967908,-0.01643598606125629,-0.0113800784787923,-0.010308468570897511,-0.0113800784787923
2018-08-17,98.96891096834418,99.01216314477226,99.91252748774843,99.61262889169096,99.91252748774843,99.78035262768068,99.67639856572063,-0.006711519041691649,-0.0055069069680615534,-0.0023929675437794895,-0.007245259352327227,-7.104214035291712e-05,-0.0033529206375857434,-7.104214035291712e-05
2018-08-24,99.55377805554328,99.38783416832032,100.13920259519942,100.4568757334606,100.13920259519942,99.63136700692145,99.94051327347937,-0.000841577310269348,-0.006991820249126035,0.0,-0.0034785585985421807,0.0,0.0,0.0
2018-08-27,99.04821578384238,99.08567814390054,99.59761554541498,99.8539971838215,99.59761554541498,99.34872000068108,99.55526289053942,-0.005915586673151396,-0.009808912873773834,-0.0038547969219022704,-0.006508154318205395,-0.005408341945498996,-0.006001366708225153,-0.005408341945498996
2018-08-28,98.48628842545452,98.61540113915837,99.06483156996066,99.25119164742615,99.06483156996066,99.57773218344815,99.19253729790027,-0.011555296828197115,-0.007526389030309,-0.007484211868437396,-0.01122343081603061,-0.010728775518432876,-0.01200200660463957,-0.010728775518432876
2018-08-29,98.17583460812796,98.27348968411177,98.9807618127856,98.82242050014229,98.9807618127856,99.09331607937956,98.85156317615117,-0.01467112580522456,-0.012354478498455501,-0.010895982636674795,-0.014651638089746455,-0.011568304444131372,-0.016270217656927488,-0.011568304444131372
2018-08-30,98.57808965262922,98.58115520005984,99.4469041356133,99.32162957800593,99.4469041356133,98.8464256221214,98.99572509157308,-0.010633945864563454,-0.014815191935647953,-0.00945350539996681,-0.011566800936510413,-0.006913361017908848,-0.011300830800937911,-0.006913361017908848
2018-08-31,98.84859357116945,98.8067361431985,100.08902818501517,99.76065912964708,100.08902818501517,98.30071257694046,100.052369216361,-0.007919068801542695,-0.020254217153718,0.0,-0.009304992451695915,-0.0005010466319277374,-0.006930502255124593,-0.0005010466319277374
2018-09-04,98.7264909405118,98.33924277674352,99.33847406621618,99.40666806598992,99.33847406621618,97.6400677671738,99.63027318341074,-0.00914453582285557,-0.026838746902895005,-0.004218751002662335,-0.013992358539142491,-0.007996154435342295,-0.010454313453438169,-0.007996154435342295
2018-09-05,98.04577837531276,98.32064755814643,99.30133529638248,99.1556707249342,99.30133529638248,96.98367968942885,99.53483076410043,-0.015976418110335233,-0.03338085055832718,-0.005172675632911794,-0.01417880524255044,-0.00836702587101601,-0.012952871558327805,-0.00836702587101601
2018-09-06,98.414792637489,97.89770814677424,98.8705764914571,99.01874143305218,98.8705764914571,96.20129234384181,99.54254046702066,-0.012272854917180331,-0.04117876658860242,-0.00509561895768651,-0.018419446920407312,-0.012668625981281156,-0.014315936962086884,-0.012668625981281156
2018-09-07,96.14698297652365,95.97662789554346,96.88305995104072,97.08605750463332,96.88305995104072,94.52413992729504,96.72646586557795,-0.03503342883077376,-0.057894647524012965,-0.03324162512924467,-0.03768133824769193,-0.03251616309869432,-0.033554878192419424,-0.03251616309869432
2018-09-10,97.0486928944245,96.83282504360125,97.93759708876225,98.11818620553572,97.93759708876225,94.97961025361612,97.6172521202056,-0.02598353562841993,-0.05335505549333042,-0.024338425119044493,-0.029096597235412913,-0.021985450746366486,-0.023280532177111124,-0.021985450746366486
2018-09-12,97.1633194607085,97.12426666096582,98.09936617788352,98.3888891270448,98.09936617788352,94.93363754778184,98.27713075280651,-0.02483310114563464,-0.05381325730577313,-0.017743092716930864,-0.02617443052305002,-0.020370008592555777,-0.020585814473294328,-0.020370008592555777
2018-09-13,97.59176194734152,97.33106695337462,98.40610706791604,98.5981022977532,98.40610706791604,95.44359404398057,98.25696691549263,-0.020533094380259187,-0.04873061127515854,-0.017944625548904858,-0.024100927994315513,-0.017306863669458328,-0.018503197736700838,-0.017306863669458328
2018-09-14,96.70060014017602,96.8175990273389,97.87104400068192,97.84011289186174,97.87104400068192,95.03069103787641,97.75511483546047,-0.029477122854116078,-0.05284594236839424,-0.02296051956483669,-0.029249262315596214,-0.02265005647874252,-0.02604861859870944,-0.02265005647874252
2018-09-17,96.7842237605072,96.631632253663,97.51112742572762,97.41195553920758,97.51112742572762,94.82381386162216,98.10762988132115,-0.028637845367900594,-0.054907850524386514,-0.01943721423362199,-0.03111387561466905,-0.026244219060695628,-0.030310719619949356,-0.026244219060695628
2018-09-18,96.14552659256132,96.1147257297975,96.71934088219274,96.88410911398222,96.71934088219274,95.2145818612135,97.61916646125482,-0.03504804563719788,-0.05101313511862349,-0.024319291728558956,-0.036296687359614555,-0.034151077943281205,-0.035565177529091274,-0.034151077943281205
2018-09-19,95.84380457279453,95.58247604969294,96.04188863419544,96.88294238138768,96.04188863419544,94.89277292037356,97.04538487236384,-0.03807623907444502,-0.05422054780572261,-0.03005410434104383,-0.04163333869970698,-0.040916183221139435,-0.035576791792286566,-0.040916183221139435
2018-09-20,96.0081613195064,95.58893430258895,96.29405135085496,96.67077740664251,96.29405135085496,95.34228382186426,97.22519640701958,-0.03642669416504507,-0.04974035230628271,-0.028256930160521443,-0.0415685844212913,-0.03839806134554535,-0.03768879232182809,-0.03839806134554535
2018-09-21,95.8217733563371,95.72309150591302,96.08851623549532,96.78567745793453,96.08851623549532,95.32014881535146,97.1269060314718,-0.03829735248586419,-0.049960967993755157,-0.029239319446428547,-0.04022344463884597,-0.040450555374187624,-0.036545017438794014,-0.040450555374187624
2018-09-24,96.0585586793195,95.8507759180583,96.53272816584372,97.18521560927628,96.53272816584372,94.84680021453926,97.24319719496386,-0.03592088768012702,-0.054678749618165545,-0.02807701650045258,-0.038943204904272166,-0.03601461102036563,-0.03256780683549154,-0.03601461102036563
2018-09-25,96.83109134427228,96.44021914129505,97.0061874052059,97.85117272682598,97.0061874052059,95.6819710371953,97.64914808203741,-0.028167465016851856,-0.04635475002545597,-0.02401963244994909,-0.03303309713947866,-0.031286600140589815,-0.02593852324800805,-0.031286600140589815
2018-09-26,96.85658056421302,96.07246329612845,96.6287401564524,97.76091609766098,96.6287401564524,96.45584491873896,97.50095140207499,-0.02791164580748573,-0.038641686182670054,-0.02550082356139538,-0.036720435614815417,-0.035055825768232296,-0.02683698468736717,-0.035055825768232296
2018-09-27,97.4803627137631,96.5334046907686,97.29169788858806,98.39829520408676,97.29169788858806,96.8593831143954,98.15529988251647,-0.02165113816207287,-0.03461969249567276,-0.01896076373506117,-0.03209876348731444,-0.02843546416204301,-0.020492181489257244,-0.02843546416204301
2018-09-28,97.86588798965084,96.65394165135122,97.28248083476991,98.415865914009,97.28248083476991,96.5052230101906,98.43751602755904,-0.017781864347591325,-0.038149543495231475,-0.016140079454889045,-0.03089018834623125,-0.0285275065747973,-0.020317273502183708,-0.0285275065747973
2018-10-01,96.9559512585836,95.91628809968888,96.44380631105058,97.69942315084704,96.44380631105058,95.92119937681441,97.92310112555792,-0.026914324880162543,-0.04397040355700388,-0.021281535934432383,-0.03828634087041771,-0.03690259347367719,-0.027449117469369066,-0.03690259347367719
2018-10-02,96.68019633724408,95.7231961447711,96.19763772779338,97.37357605429396,96.19763772779338,96.22853542878059,97.77585689098888,-0.029681902943355598,-0.04090723958863696,-0.022753207577216106,-0.04022239546752082,-0.03936085733915162,-0.03069276897827755,-0.03936085733915162
2018-10-03,96.72326389622437,95.79126449527824,96.20539234114486,97.3885978486682,96.20539234114486,96.30089987314938,97.64180264385752,-0.029249661042140884,-0.04018599599497685,-0.024093048384398408,-0.03953990176666888,-0.03928341900181209,-0.030543234222547233,-0.03928341900181209
2018-10-04,96.66933625247252,95.6798761301694,96.11822415856686,97.3525718560768,96.11822415856686,96.44818280109992,97.60411245976425,-0.02979089875830676,-0.038718053151410525,-0.024469752948103052,-0.04065674765713889,-0.04015388911061013,-0.030901855693983182,-0.04015388911061013
2018-10-05,96.81741381194756,95.80223839477269,96.14920994088509,97.54330950773428,96.14920994088509,95.44614808319356,97.16362070427084,-0.028304737774257793,-0.04870515561891198,-0.02887236488966405,-0.03942987093408745,-0.039844462017971094,-0.029003153885223454,-0.039844462017971094
