month,date,ticker,name,recommendation,alpha,conviction_score,regime_market,liquidity_L,vmq,realized_alpha,cell,cell_name,model,tau,weight,weight_pct,in_portfolio
2018-07,2018-07-31,DRI,DARI,BUY,0.43058060511023843,0.43058060511023843,bear,0.026193309466106974,24018.2,-0.04812819787358765,2,ridge_adapt,ridge,0.1,0.046847744092229485,4.684774409222949,1
2018-07,2018-07-31,SID,SONASID,BUY,0.34542552593427744,0.34542552593427744,bear,0.1256553447962296,128754.25999999998,-0.02474047677326776,2,ridge_adapt,ridge,0.1,0.001732404494963188,0.17324044949631878,1
2018-07,2018-07-31,JET,JET CONTRACTORS,BUY,0.29668748983048776,0.29668748983048776,bear,0.9999975294466167,1056941.62,0.03207192452698968,2,ridge_adapt,ridge,0.1,0.04981755104947514,4.981755104947514,1
2018-07,2018-07-31,INV,INVOLYS,BUY,0.2558246035668167,0.2558246035668167,bear,0.0186247924578231,2221.172500000003,0.10700807332159606,2,ridge_adapt,ridge,0.1,0.008947860613675253,0.8947860613675254,1
2018-07,2018-07-31,LBV,LABEL VIE,BUY,0.22104022806316095,0.22104022806316095,bear,0.9990683093555535,686098.6,-0.12060238490427544,2,ridge_adapt,ridge,0.1,0.03938785588398729,3.938785588398729,1
2018-07,2018-07-31,CTM,CTM SA,BUY,0.2074999979969959,0.2074999979969959,bear,0.03332577579355919,39529.35,-0.20488760354408453,2,ridge_adapt,ridge,0.1,0.06267927335458151,6.267927335458151,1
2018-07,2018-07-31,S2M,S2M,BUY,0.18268736018973783,0.18268736018973783,bear,0.020880720583514163,9510.8,-0.028351476719575407,2,ridge_adapt,ridge,0.1,0.043385698325900626,4.338569832590062,1
2018-07,2018-07-31,M2M,M2M,BUY,0.17947667763507805,0.17947667763507805,bear,0.021932909534472442,12650.622500000001,0.149976804051803,2,ridge_adapt,ridge,0.1,0.010829529743705822,1.0829529743705821,1
2018-07,2018-07-31,DWY,DISWAY,BUY,0.1733041932864632,0.1733041932864632,bear,0.03607573950582562,44662.99249999963,-0.6941180173188343,2,ridge_adapt,ridge,0.1,0.01901511535936333,1.901511535936333,1
2018-07,2018-07-31,RIS,RISMA,BUY,0.1630644501587974,0.1630644501587974,bear,0.05829785994543916,76117.2725000001,0.4836646113278961,2,ridge_adapt,ridge,0.1,0.018351609142126107,1.8351609142126106,1
2018-07,2018-07-31,MDP,MDP,BUY,0.15428656261023269,0.15428656261023269,bear,0.01959271539945556,5449.359500000092,-0.042954710316575925,2,ridge_adapt,ridge,0.1,0.003375839493407201,0.33758394934072006,1
2018-07,2018-07-31,MIC,MICRODATA VN 25 DHS,BUY,0.1523097892303367,0.1523097892303367,bear,0.04673986989845904,61544.357500000006,0.06562023746804009,2,ridge_adapt,ridge,0.1,0.024823236887120112,2.482323688712011,1
2018-07,2018-07-31,COL,COLORADO,BUY,0.15134893630964583,0.15134893630964583,bear,0.9437145525420022,426211.73250000004,-0.38034778621782844,2,ridge_adapt,ridge,0.1,0.059790065924590116,5.979006592459012,1
