Strategie,n_months,Rendement_total,Rendement,Volatilite,Sharpe,Sortino,CVaR,Max_DD,Turnover,Liquidite,n_positions_moy,pct_mois_positifs,ret_mensuel_moyen,wealth_final_100,duree_DD_jours
A_knee_utopie,84,0.8131910903290616,0.0943,0.1146,0.844,1.282,0.0167,-0.2434,0.986,0.7131,31.52,0.5952380952380952,0.0077801153797345,181.31910903290617,510
B_max_alpha,84,0.9414253179753362,0.1057,0.1197,0.899,1.408,0.0174,-0.2493,1.0358,0.655,31.1,0.5952380952380952,0.0086817868165003,194.1425317975336,577
C_max_liquidite,84,1.2340435311808156,0.1295,0.1209,1.068,1.614,0.0182,-0.2563,1.0041,0.8351,31.98,0.5833333333333334,0.0103377984815061,223.4043531180816,479
D_min_cvar,84,0.8893693964362852,0.1011,0.0981,1.032,1.576,0.0139,-0.2155,0.924,0.5205,26.42,0.5714285714285714,0.0081454527687334,188.9369396436285,510
E_composite_equilibre_identique_knee,84,0.8131910903290616,0.0943,0.1146,0.844,1.282,0.0167,-0.2434,0.986,0.7131,31.52,0.5952380952380952,0.0077801153797345,181.31910903290617,510
