cell,configuration,mois,date_rebalance,portfolio,ticker,weight,recommendation,predicted_return,conviction_score,score_opt,liquidity_vmq_20j,L_sigmoid,month,mois_obj,liquidity_L_weighted,cvar_95,expected_alpha_opt,alpha,liquidity_L,vmq,name,regime_market,in_portfolio,weight_pct,realized_return_holding,contribution_gross
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,CTM,0.06267927335458151,BUY,0.2074999979969959,0.2074999979969959,0.2074999979969959,39529.35,0.03332577579355919,2018-07,2018-07,0.4267,0.008687,0.1212,0.2074999979969959,0.03332577579355919,39529.35,CTM SA,bear,1,6.267927335458151,0.07526881720430101,0.004717794768624411
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,COL,0.059790065924590116,BUY,0.15134893630964583,0.15134893630964583,0.15134893630964583,426211.73250000004,0.9437145525420022,2018-07,2018-07,0.4267,0.008687,0.1212,0.15134893630964583,0.9437145525420022,426211.73250000004,COLORADO,bear,1,5.979006592459012,-0.0641025641025641,-0.0038326965336275714
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,SBM,0.05355853417626969,NEUTRAL,-0.051970586544668435,-0.051970586544668435,-0.025985293272334217,4750205.5,1.0,2018-07,2018-07,0.4267,0.008687,0.1212,-0.051970586544668435,1.0,4750205.5,SOCIETE DE BOISSONS DU MAROC,bear,1,5.355853417626969,-0.024137931034482807,-0.0012927922042547883
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,EQD,0.0527296078023094,BUY,0.13662921860539176,0.13662921860539176,0.13662921860539176,2113.9,0.01859344689077907,2018-07,2018-07,0.4267,0.008687,0.1212,0.13662921860539176,0.01859344689077907,2113.9,CREDIT EQDOM,bear,1,5.27296078023094,0.08030592734225617,0.004234500052957922
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,ATL,0.05058286344569212,NEUTRAL,0.08200948598037375,0.08200948598037375,0.041004742990186874,357179.41000000003,0.8474669516073305,2018-07,2018-07,0.4267,0.008687,0.1212,0.08200948598037375,0.8474669516073305,357179.41000000003,ATLANTASANAD,bear,1,5.058286344569212,-0.027241139680333704,-0.0013779348485553448
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,GAZ,0.050389215460511214,NEUTRAL,0.04487339421610047,0.04487339421610047,0.022436697108050234,268044.0,0.5716788211108534,2018-07,2018-07,0.4267,0.008687,0.1212,0.04487339421610047,0.5716788211108534,268044.0,AFRIQUIA GAZ ,bear,1,5.038921546051121,0.11477272727272725,0.0057833076835359445
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,JET,0.04981755104947514,BUY,0.29668748983048776,0.29668748983048776,0.29668748983048776,1056941.62,0.9999975294466167,2018-07,2018-07,0.4267,0.008687,0.1212,0.29668748983048776,0.9999975294466167,1056941.62,JET CONTRACTORS,bear,1,4.981755104947514,0.002949852507374562,0.00014695442787455447
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,CMT,0.04951539499337173,NEUTRAL,-0.02441548065674634,-0.02441548065674634,-0.01220774032837317,497114.85,0.9811800333341677,2018-07,2018-07,0.4267,0.008687,0.1212,-0.02441548065674634,0.9811800333341677,497114.85,CMT,bear,1,4.951539499337173,-0.044347282948157374,-0.002195873232060831
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,LES,0.04803143879047442,NEUTRAL,-0.0433360448917281,-0.0433360448917281,-0.02166802244586405,1600116.9100000008,0.999999999584638,2018-07,2018-07,0.4267,0.008687,0.1212,-0.0433360448917281,0.999999999584638,1600116.9100000008,LESIEUR,bear,1,4.8031438790474414,-0.01885565669700917,-0.000905664320496595
2,C2 Ridge + régime,2018-07,2018-07-31,P_selected,DRI,0.046847744092229485,BUY,0.43058060511023843,0.43058060511023843,0.43058060511023843,24018.2,0.026193309466106974,2018-07,2018-07,0.4267,0.008687,0.1212,0.43058060511023843,0.026193309466106974,24018.2,DARI,bear,1,4.684774409222949,-0.059638109305760745,-0.0027939108829006893
